comment,noun,noun_count,sum_noun,verb,verb_count,sum_verb,adj,adj_count,sum_adj,adv,adv_count,sum_adv
"[['(แตกต่าง - VERB)', '(จาก - ADP)', '(ข้อมูล - NOUN)', '(ใน - ADP)', '(เน็ต - NOUN)', '(ชายหาด - NOUN)', '(สะอาด - NOUN)', '(สงบ - NOUN)', '(และ - CCONJ)', '(ดี - ADJ)', '(สำหรับ - ADP)', '(ครอบครัว - NOUN)'], ['(มัน - PRON)', '(สามารถ - AUX)', '(เข้า - VERB)', '(ถึง - ADP)', '(ได้ - AUX)', '(ง่าย - ADV)', '(มี - VERB)', '(ตัว - NOUN)', '(เลือก - VERB)', '(มากมาย - ADV)', '(สำหรับ - ADP)', '(อาหาร - NOUN)', '(ริม - NOUN)', '(ถนน - NOUN)', '(ราคา - NOUN)', '(ถูก - ADJ)', '(และ - CCONJ)', '(อร่อย - VERB)']]","{'(ข้อมูล - NOUN)': 1, '(เน็ต - NOUN)': 1, '(ชายหาด - NOUN)': 1, '(สะอาด - NOUN)': 1, '(สงบ - NOUN)': 1, '(ครอบครัว - NOUN)': 1, '(ตัว - NOUN)': 1, '(อาหาร - NOUN)': 1, '(ริม - NOUN)': 1, '(ถนน - NOUN)': 1, '(ราคา - NOUN)': 1}",11,11,"{'(แตกต่าง - VERB)': 1, '(เข้า - VERB)': 1, '(มี - VERB)': 1, '(เลือก - VERB)': 1, '(อร่อย - VERB)': 1}",5,5,"{'(ดี - ADJ)': 1, '(ถูก - ADJ)': 1}",2,2,"{'(ง่าย - ADV)': 1, '(มากมาย - ADV)': 1}",2,2
"[['(ชาย - NOUN)', '(หาด - NOUN)', '(ที่ - SCONJ)', '(วุ่นวาย - VERB)'], ['(แต่ - CCONJ)', '(น่า - NOUN)', '(ตื่นเต้น - ADJ)', '(พร้อม - VERB)', '(โอกาส - NOUN)', '(มากมาย - DET)', '(สำหรับ - ADP)', '(การ - NOUN)', '(เล่น - VERB)', '(กีฬา - NOUN)'], ['(ฯลฯ - PUNCT)'], ['(ร้าน - NOUN)', '(อาหาร - NOUN)', '(และ - CCONJ)', '(บาร์ - NOUN)', '(ท้องถิ่น - NOUN)', '(ที่ - SCONJ)', '(ยอด - VERB)', '(เยี่ยม - VERB)', '(ร้าน - NOUN)', '(ค้า - NOUN)'], ['(ฯลฯ - PUNCT)']]","{'(ชาย - NOUN)': 1, '(หาด - NOUN)': 1, '(น่า - NOUN)': 1, '(โอกาส - NOUN)': 1, '(การ - NOUN)': 1, '(กีฬา - NOUN)': 1, '(ร้าน - NOUN)': 2, '(อาหาร - NOUN)': 1, '(บาร์ - NOUN)': 1, '(ท้องถิ่น - NOUN)': 1, '(ค้า - NOUN)': 1}",11,12,"{'(วุ่นวาย - VERB)': 1, '(พร้อม - VERB)': 1, '(เล่น - VERB)': 1, '(ยอด - VERB)': 1, '(เยี่ยม - VERB)': 1}",5,5,{'(ตื่นเต้น - ADJ)': 1},1,1,{},0,0
"[['(นอก - NOUN)', '(จาก - ADP)', '(ทำเล - NOUN)', '(ที่ - SCONJ)', '(ตั้ง - VERB)', '(*ค่อย - AUX)', '(ไป - AUX)', '(โดย - PART)', '(เฉพาะ - ADJ)', '(อย่าง - PART)', '(ยิ่ง - ADJ)', '(เพราะ - SCONJ)', '(มี - VERB)', '(ชาย - NOUN)', '(หาด - NOUN)', '(ที่ - SCONJ)', '(ยอดเยี่ยม - VERB)', '(มากมาย - ADV)', '(รอบ - NOUN)'], ['(ๆ - PUNCT)'], ['(ป่า - NOUN)', '(ตอง - NOUN)', '(และ - CCONJ)', '(ภูเก็ต - NOUN)', '(โดย - PART)', '(ทั่วไป - VERB)']]","{'(นอก - NOUN)': 1, '(ทำเล - NOUN)': 1, '(ชาย - NOUN)': 1, '(หาด - NOUN)': 1, '(รอบ - NOUN)': 1, '(ป่า - NOUN)': 1, '(ตอง - NOUN)': 1, '(ภูเก็ต - NOUN)': 1}",8,8,"{'(ตั้ง - VERB)': 1, '(มี - VERB)': 1, '(ยอดเยี่ยม - VERB)': 1, '(ทั่วไป - VERB)': 1}",4,4,"{'(เฉพาะ - ADJ)': 1, '(ยิ่ง - ADJ)': 1}",2,2,{'(มากมาย - ADV)': 1},1,1
"[['(หาด - NOUN)', '(ป่า - NOUN)', '(ตอง - NOUN)', '(เป็น - VERB)', '(สิ่ง - NOUN)', '(ที่ - SCONJ)', '(น่า - VERB)', '(อัศจรรย์ - PART)', '(อย่าง - PART)', '(ยิ่ง - ADJ)'], ['(มี - VERB)', '(ร้าน - NOUN)', '(อาหาร - NOUN)', '(มากมาย - ADV)', '(ที่ - SCONJ)', '(จะ - AUX)', '(ช่วย - VERB)', '(ให้ - SCONJ)', '(คุณ - PRON)', '(ได้ - AUX)', '(รับ - VERB)', '(อาหาร - NOUN)', '(อร่อย - NOUN)', '(และ - CCONJ)', '(ร่มเงา - NOUN)', '(เมื่อ - SCONJ)', '(คุณ - VERB)', '(ต้องการ - VERB)', '(หยุด - VERB)', '(พัก - VERB)', '(จาก - ADP)', '(น้ำ - NOUN)'], ['(เจ็ทสกีพาราเซลลิ่ง - NOUN)', '(และ - CCONJ)', '(กิจกรรม - NOUN)', '(ทาง - NOUN)', '(น้ำ - NOUN)', '(มากมาย - ADV)', '(รอ - VERB)', '(คุณ - PRON)', '(อยู่ - VERB)', '(ที่ - ADP)', '(นี่ - NOUN)'], ['(ฉัน - PRON)', '(อยู่ - VERB)', '(ที่ - ADP)', '(นี่ - VERB)', '(เพื่อ - ADP)', '(ปี - NOUN)', '(ใหม่ - ADJ)', '(และ - CCONJ)', '(ชาย - NOUN)', '(หาด - NOUN)']]","{'(หาด - NOUN)': 2, '(ป่า - NOUN)': 1, '(ตอง - NOUN)': 1, '(สิ่ง - NOUN)': 1, '(ร้าน - NOUN)': 1, '(อาหาร - NOUN)': 2, '(อร่อย - NOUN)': 1, '(ร่มเงา - NOUN)': 1, '(น้ำ - NOUN)': 2, '(เจ็ทสกีพาราเซลลิ่ง - NOUN)': 1, '(กิจกรรม - NOUN)': 1, '(ทาง - NOUN)': 1, '(นี่ - NOUN)': 1, '(ปี - NOUN)': 1, '(ชาย - NOUN)': 1}",15,18,"{'(เป็น - VERB)': 1, '(น่า - VERB)': 1, '(มี - VERB)': 1, '(ช่วย - VERB)': 1, '(รับ - VERB)': 1, '(คุณ - VERB)': 1, '(ต้องการ - VERB)': 1, '(หยุด - VERB)': 1, '(พัก - VERB)': 1, '(รอ - VERB)': 1, '(อยู่ - VERB)': 2, '(นี่ - VERB)': 1}",12,13,"{'(ยิ่ง - ADJ)': 1, '(ใหม่ - ADJ)': 1}",2,2,{'(มากมาย - ADV)': 2},1,2
"[['(ชาย - NOUN)', '(หาด - NOUN)', '(และ - CCONJ)', '(ร้าน - NOUN)', '(อาหาร - NOUN)', '(โอเค - NOUN)', '(อย่า - NOUN)', '(มา - AUX)', '(ที่ - SCONJ)', '(นี่ - VERB)', '(สำหรับ - ADP)', '(วัน - NOUN)', '(หยุด - VERB)', '(พักผ่อน - NOUN)', '(ที่ - SCONJ)', '(ผ่อนคลาย - NOUN)'], ['(มา - AUX)', '(ที่ - SCONJ)', '(นี่ - VERB)', '(เมื่อ - SCONJ)', '(คุณ - VERB)', '(ต้องการ - VERB)', '(ปาร์ตี้ - NOUN)', '(และ - CCONJ)', '(นัด - NOUN)', '(เดท - NOUN)'], ['(พื้นที่ - NOUN)', '(มี - VERB)', '(สถานที่ - NOUN)', '(ที่ - SCONJ)', '(ดี - ADJ)', '(มาก - ADV)', '(ใน - ADP)', '(การ - NOUN)', '(เยี่ยมชม - VERB)'], ['(การ - NOUN)', '(จราจร - VERB)', '(*ว่าง - VERB)', '(และ - CCONJ)', '(ระยะ - NOUN)', '(ทาง - NOUN)', '(ไป - AUX)', '(ยัง - ADP)', '(ฉาก - NOUN)', '(ที่ - SCONJ)', '(ดี - ADJ)', '(ใน - ADP)', '(การ - NOUN)', '(เยี่ยมชม - VERB)', '(หิน - NOUN)', '(บอนด์ - PROPN)', '(เจมส์ - NOUN)', '(มัน - PRON)', '(อยู่ - VERB)', '(ห่าง - VERB)', '(ออก - AUX)', '(ไป - AUX)', '(ประมาณ - DET)', '(หนึ่ง - NUM)', '(ร้อย - NOUN)', '(กิโลเมตร - NOUN)']]","{'(ชาย - NOUN)': 1, '(หาด - NOUN)': 1, '(ร้าน - NOUN)': 1, '(อาหาร - NOUN)': 1, '(โอเค - NOUN)': 1, '(อย่า - NOUN)': 1, '(วัน - NOUN)': 1, '(พักผ่อน - NOUN)': 1, '(ผ่อนคลาย - NOUN)': 1, '(ปาร์ตี้ - NOUN)': 1, '(นัด - NOUN)': 1, '(เดท - NOUN)': 1, '(พื้นที่ - NOUN)': 1, '(สถานที่ - NOUN)': 1, '(การ - NOUN)': 3, '(ระยะ - NOUN)': 1, '(ทาง - NOUN)': 1, '(ฉาก - NOUN)': 1, '(หิน - NOUN)': 1, '(เจมส์ - NOUN)': 1, '(ร้อย - NOUN)': 1, '(กิโลเมตร - NOUN)': 1}",22,24,"{'(นี่ - VERB)': 2, '(หยุด - VERB)': 1, '(คุณ - VERB)': 1, '(ต้องการ - VERB)': 1, '(มี - VERB)': 1, '(เยี่ยมชม - VERB)': 2, '(จราจร - VERB)': 1, '(*ว่าง - VERB)': 1, '(อยู่ - VERB)': 1, '(ห่าง - VERB)': 1}",10,12,{'(ดี - ADJ)': 2},1,2,{'(มาก - ADV)': 1},1,1
"[['(*ใช่ - VERB)', '(ชาย - NOUN)', '(หาด - NOUN)', '(ที่ - SCONJ)', '(สวยงาม - ADJ)', '(แออัด - NOUN)', '(และ - CCONJ)', '(สกปรก - NOUN)'], ['(จะ - AUX)', '(หลีกเลี่ยง - VERB)', '(อย่าง - PART)', '(แน่นอน - ADJ)', '(ถ้า - SCONJ)', '(เป็น - VERB)', '(ไป - AUX)', '(ได้ - AUX)'], ['(แต่ - CCONJ)', '(ถ้า - SCONJ)', '(นั่น - PRON)', '(*ได้ - AUX)', '(รบกวน - VERB)', '(คุณ - NOUN)', '(มาก - ADV)', '(กว่า - SCONJ)', '(ปล่อย - NOUN)', '(มัน - PRON)', '(ไป - AUX)']]","{'(ชาย - NOUN)': 1, '(หาด - NOUN)': 1, '(แออัด - NOUN)': 1, '(สกปรก - NOUN)': 1, '(คุณ - NOUN)': 1, '(ปล่อย - NOUN)': 1}",6,6,"{'(*ใช่ - VERB)': 1, '(หลีกเลี่ยง - VERB)': 1, '(เป็น - VERB)': 1, '(รบกวน - VERB)': 1}",4,4,"{'(สวยงาม - ADJ)': 1, '(แน่นอน - ADJ)': 1}",2,2,{'(มาก - ADV)': 1},1,1
"[['(ฉัน - PRON)', '(ประหลาดใจ - VERB)', '(มาก - ADV)', '(ที่ - SCONJ)', '(ชายหาด - NOUN)', '(สะอาด - NOUN)', '(และ - CCONJ)', '(แม้ - NOUN)', '(กระทั่ง - NOUN)', '(ใน - ADP)', '(ช่วง - NOUN)', '(ปี - NOUN)', '(ใหม่ - ADJ)', '(มัน - PRON)', '(*เคย - AUX)', '(รู้สึก - VERB)', '(ยุ่ง - ADV)', '(เกิน - ADV)', '(ไป - AUX)'], ['(น้ำ - NOUN)', '(ใส - ADJ)', '(. - PUNCT)'], ['(มี - VERB)', '(บาร์ริมหาด - NOUN)', '(ที่ - SCONJ)', '(ดี - ADJ)', '(อยู่ - AUX)', '(ด้าน - NOUN)', '(หน้า - ADJ)', '(เช่น - ADP)', '(กัน - ADV)']]","{'(ชายหาด - NOUN)': 1, '(สะอาด - NOUN)': 1, '(แม้ - NOUN)': 1, '(กระทั่ง - NOUN)': 1, '(ช่วง - NOUN)': 1, '(ปี - NOUN)': 1, '(น้ำ - NOUN)': 1, '(บาร์ริมหาด - NOUN)': 1, '(ด้าน - NOUN)': 1}",9,9,"{'(ประหลาดใจ - VERB)': 1, '(รู้สึก - VERB)': 1, '(มี - VERB)': 1}",3,3,"{'(ใหม่ - ADJ)': 1, '(ใส - ADJ)': 1, '(ดี - ADJ)': 1, '(หน้า - ADJ)': 1}",4,4,"{'(มาก - ADV)': 1, '(ยุ่ง - ADV)': 1, '(เกิน - ADV)': 1, '(กัน - ADV)': 1}",4,4
"[['(ชาย - NOUN)', '(หาด - NOUN)', '(ที่ - SCONJ)', '(สวยงาม - ADJ)', '(มาก - ADV)'], ['(แต่ - CCONJ)', '(แออัด - NOUN)', '(มาก - ADV)'], ['(คน - NOUN)', '(เที่ยว - VERB)', '(น้ำ - NOUN)', '(มาก - ADV)', '(เกิน - ADV)', '(ไป - AUX)', '(และ - CCONJ)', '(เรือ - NOUN)', '(หาง - NOUN)', '(ยาว - ADJ)'], ['(จะ - AUX)', '(แนะนำ - VERB)', '(หาดสวรรค์ - NOUN)', '(ซึ่ง - SCONJ)', '(เป็น - VERB)', '(ชาย - NOUN)', '(หาด - NOUN)', '(ที่ - SCONJ)', '(ดี - ADJ)', '(ที่สุด - ADV)', '(ใน - ADP)', '(จังหวัดภูเก็ต - NOUN)', '(มี - VERB)', '(ค่า - NOUN)', '(เข้า - VERB)', '(ชม - NOUN)', '(สอง - NUM)', '(ร้อย - NUM)', '(บาท - NOUN)'], ['(แต่ - CCONJ)', '(มัน - PRON)', '(คุ้ม - VERB)', '(ค่า - NOUN)'], ['(ควร - AUX)', '(ไป - VERB)', '(ที่ - ADP)', '(หาดกะรน - NOUN)', '(และ - CCONJ)', '(กะตะน้ำ - NOUN)', '(ใส - ADJ)', '(มาก - ADV)'], ['(ๆ - NOUN)']]","{'(ชาย - NOUN)': 2, '(หาด - NOUN)': 2, '(แออัด - NOUN)': 1, '(คน - NOUN)': 1, '(น้ำ - NOUN)': 1, '(เรือ - NOUN)': 1, '(หาง - NOUN)': 1, '(หาดสวรรค์ - NOUN)': 1, '(จังหวัดภูเก็ต - NOUN)': 1, '(ค่า - NOUN)': 2, '(ชม - NOUN)': 1, '(บาท - NOUN)': 1, '(หาดกะรน - NOUN)': 1, '(กะตะน้ำ - NOUN)': 1, '(ๆ - NOUN)': 1}",15,18,"{'(เที่ยว - VERB)': 1, '(แนะนำ - VERB)': 1, '(เป็น - VERB)': 1, '(มี - VERB)': 1, '(เข้า - VERB)': 1, '(คุ้ม - VERB)': 1, '(ไป - VERB)': 1}",7,7,"{'(สวยงาม - ADJ)': 1, '(ยาว - ADJ)': 1, '(ดี - ADJ)': 1, '(ใส - ADJ)': 1}",4,4,"{'(มาก - ADV)': 4, '(เกิน - ADV)': 1, '(ที่สุด - ADV)': 1}",3,6
"[['(ชาย - NOUN)', '(หาด - NOUN)', '(ที่ - SCONJ)', '(ดี - ADJ)', '(สำหรับ - ADP)', '(การ - NOUN)', '(พักผ่อน - VERB)', '(และ - CCONJ)', '(ผู้คน - NOUN)', '(ที่ - SCONJ)', '(ดู - VERB)'], ['(สะอาด - NOUN)', '(อย่าง - PART)', '(สวยงาม - ADJ)', '(มี - VERB)', '(นโยบาย - NOUN)', '(ห้าม - NOUN)', '(สูบ - VERB)', '(บุหรี่ - NOUN)', '(บน - ADP)', '(ชาย - NOUN)', '(หาด - NOUN)', '(ตอน - NOUN)', '(นี้ - DET)'], ['(แต่ - CCONJ)', '(พื้นที่ - NOUN)', '(สูบ - VERB)', '(บุหรี่ - NOUN)', '(มากมาย - ADV)'], ['(อาหาร - NOUN)', '(และ - CCONJ)', '(เครื่อง - NOUN)', '(ดื่ม - NOUN)', '(ที่ - SCONJ)', '(ยอดเยี่ยมย่อ - VERB)', '(มา - AUX)', '(จาก - ADP)', '(อาหาร - NOUN)', '(ทุก - DET)', '(รสชาติ - NOUN)'], ['(เคบับ - NOUN)', '(ไก่ - NOUN)', '(และ - CCONJ)', '(มัน - PRON)', '(ฝรั่งเสียบ - VERB)', '(ไม้ - NOUN)', '(น่า - NOUN)', '(รัก - NOUN)'], ['(มี - VERB)', '(มากมาย - ADV)']]","{'(ชาย - NOUN)': 2, '(หาด - NOUN)': 2, '(การ - NOUN)': 1, '(ผู้คน - NOUN)': 1, '(สะอาด - NOUN)': 1, '(นโยบาย - NOUN)': 1, '(ห้าม - NOUN)': 1, '(บุหรี่ - NOUN)': 2, '(ตอน - NOUN)': 1, '(พื้นที่ - NOUN)': 1, '(อาหาร - NOUN)': 2, '(เครื่อง - NOUN)': 1, '(ดื่ม - NOUN)': 1, '(รสชาติ - NOUN)': 1, '(เคบับ - NOUN)': 1, '(ไก่ - NOUN)': 1, '(ไม้ - NOUN)': 1, '(น่า - NOUN)': 1, '(รัก - NOUN)': 1}",19,23,"{'(พักผ่อน - VERB)': 1, '(ดู - VERB)': 1, '(มี - VERB)': 2, '(สูบ - VERB)': 2, '(ยอดเยี่ยมย่อ - VERB)': 1, '(ฝรั่งเสียบ - VERB)': 1}",6,8,"{'(ดี - ADJ)': 1, '(สวยงาม - ADJ)': 1}",2,2,{'(มากมาย - ADV)': 2},1,2
"[['(เรา - PRON)', '(ไป - VERB)', '(ที่ - SCONJ)', '(หมึก - NOUN)', '(ผู้ - SCONJ)', '(มี - VERB)', '(ชื่อเสียง - NOUN)', '(และ - CCONJ)', '(ยิ่งใหญ่ - ADJ)', '(กว่า - SCONJ)', '(แพทริค - NOUN)', '(ที่ - SCONJ)', '(ประทับใจ - VERB)', '(ไป - AUX)', '(เกิน - ADV)', '(กว่า - SCONJ)', '(ที่ - SCONJ)', '(จะ - AUX)', '(ทำ - VERB)', '(ให้ - SCONJ)', '(แน่ใจ - VERB)', '(ว่า - SCONJ)', '(ทุก - DET)', '(อย่าง - PART)', '(ดี - ADJ)', '(ขึ้น - AUX)', '(กว่า - SCONJ)', '(ที่ - SCONJ)', '(เรา - PRON)', '(จะ - AUX)', '(จินตนาการ - VERB)', '(ได้ - AUX)'], ['(หาก - SCONJ)', '(คุณ - VERB)', '(กำลัง - AUX)', '(มอง - VERB)', '(หา - VERB)', '(รอย - NOUN)', '(สัก - NOUN)', '(นี่ - PRON)', '(เป็น - VERB)', '(สถานที่ - NOUN)', '(ที่ - SCONJ)', '(จะ - AUX)', '(ไป - VERB)', '(แน่นอน - ADV)']]","{'(หมึก - NOUN)': 1, '(ชื่อเสียง - NOUN)': 1, '(แพทริค - NOUN)': 1, '(รอย - NOUN)': 1, '(สัก - NOUN)': 1, '(สถานที่ - NOUN)': 1}",6,6,"{'(ไป - VERB)': 2, '(มี - VERB)': 1, '(ประทับใจ - VERB)': 1, '(ทำ - VERB)': 1, '(แน่ใจ - VERB)': 1, '(จินตนาการ - VERB)': 1, '(คุณ - VERB)': 1, '(มอง - VERB)': 1, '(หา - VERB)': 1, '(เป็น - VERB)': 1}",10,11,"{'(ยิ่งใหญ่ - ADJ)': 1, '(ดี - ADJ)': 1}",2,2,"{'(เกิน - ADV)': 1, '(แน่นอน - ADV)': 1}",2,2
