comment,noun,noun_count,sum_noun,verb,verb_count,sum_verb,adj,adj_count,sum_adj,adv,adv_count,sum_adv
"[['(ไป - VERB)', '(ที่ - SCONJ)', '(นี่ - PRON)', '(ใน - ADP)', '(วัน - NOUN)', '(ที่ - SCONJ)', '(อากาศ - NOUN)', '(แจ่มใส - NOUN)', '(เหลือ - VERB)', '(เชื่อ - VERB)', '(วิว - NOUN)', '(สวย - NOUN)', '(แต่ - CCONJ)', '(ไฮไลท์ - NOUN)', '(สำหรับ - ADP)', '(ฉัน - PRON)', '(คือ - SCONJ)', '(ศาลเจ้า - NOUN)', '(ช้าง - NOUN)', '(มัน - PRON)', '(น่า - AUX)', '(รัก - VERB)', '(จริง - ADJ)', '(ๆ - PUNCT)'], ['(ฉัน - PRON)', '(จะ - AUX)', '(*ทำ - VERB)', '(ให้ - SCONJ)', '(การ - NOUN)', '(เดินทาง - VERB)', '(พิเศษ - NOUN)', '(ถ้า - SCONJ)', '(คุณ - NOUN)', '(พัก - NOUN)', '(ที่ - SCONJ)', '(อีก - ADV)', '(ด้าน - NOUN)', '(หนึ่ง - NUM)', '(ของ - ADP)', '(เกาะ - NOUN)', '(แต่ - CCONJ)', '(ถ้า - SCONJ)', '(คุณ - NOUN)', '(มี - VERB)', '(เวลา - NOUN)', '(มัน - PRON)', '(เป็น - VERB)', '(สถานที่ - NOUN)', '(ที่ - SCONJ)', '(น่า - PART)', '(รัก - VERB)', '(ที่ - SCONJ)', '(จะ - AUX)', '(หยุด - VERB)']]","{'(วัน - NOUN)': 1, '(อากาศ - NOUN)': 1, '(แจ่มใส - NOUN)': 1, '(วิว - NOUN)': 1, '(สวย - NOUN)': 1, '(ไฮไลท์ - NOUN)': 1, '(ศาลเจ้า - NOUN)': 1, '(ช้าง - NOUN)': 1, '(การ - NOUN)': 1, '(พิเศษ - NOUN)': 1, '(คุณ - NOUN)': 2, '(พัก - NOUN)': 1, '(ด้าน - NOUN)': 1, '(เกาะ - NOUN)': 1, '(เวลา - NOUN)': 1, '(สถานที่ - NOUN)': 1}",16,17,"{'(ไป - VERB)': 1, '(เหลือ - VERB)': 1, '(เชื่อ - VERB)': 1, '(รัก - VERB)': 2, '(*ทำ - VERB)': 1, '(เดินทาง - VERB)': 1, '(มี - VERB)': 1, '(เป็น - VERB)': 1, '(หยุด - VERB)': 1}",9,10,{'(จริง - ADJ)': 1},1,1,{'(อีก - ADV)': 1},1,1
"[['(ทัน - VERB)', '(เวลา - NOUN)', '(เรา - PRON)', '(ก็ - SCONJ)', '(มา - VERB)', '(ถึง - ADP)', '(แหลม - NOUN)', '(เพื่อ - SCONJ)', '(ดู - AUX)', '(พระอาทิตย์ - PROPN)', '(ตก - VERB)', '(ซึ่ง - SCONJ)', '(มัน - PRON)', '(ยอดเยี่ยม - NOUN)', '(มาก - ADV)', '(มี - VERB)', '(มุมมอง - NOUN)', '(ที่ - SCONJ)', '(ยอดเยี่ยม - NOUN)', '(จาก - ADP)', '(ด้าน - NOUN)', '(บน - ADP)', '(การ - NOUN)', '(ขี่ - NOUN)', '(ไป - VERB)', '(ที่ - SCONJ)', '(แหลม - NOUN)', '(ก็ - SCONJ)', '(ยอดเยี่ยม - NOUN)', '(เช่น - SCONJ)', '(กัน - PRON)', '(ต้อง - AUX)', '(ดู - AUX)', '(สถานที่ - NOUN)', '(ถ้า - SCONJ)', '(คุณ - NOUN)', '(อยู่ - VERB)', '(ใกล้ - ADP)', '(ภูเก็ต - NOUN)', '(และ - CCONJ)', '(เวลา - NOUN)', '(ที่ - SCONJ)', '(ดี - NOUN)', '(ที่สุด - ADV)', '(สำหรับ - ADP)', '(พระอาทิตย์ - NOUN)', '(ตก - VERB)']]","{'(เวลา - NOUN)': 2, '(แหลม - NOUN)': 2, '(ยอดเยี่ยม - NOUN)': 3, '(มุมมอง - NOUN)': 1, '(ด้าน - NOUN)': 1, '(การ - NOUN)': 1, '(ขี่ - NOUN)': 1, '(สถานที่ - NOUN)': 1, '(คุณ - NOUN)': 1, '(ภูเก็ต - NOUN)': 1, '(ดี - NOUN)': 1, '(พระอาทิตย์ - NOUN)': 1}",12,16,"{'(ทัน - VERB)': 1, '(มา - VERB)': 1, '(ตก - VERB)': 2, '(มี - VERB)': 1, '(ไป - VERB)': 1, '(อยู่ - VERB)': 1}",6,7,{},0,0,"{'(มาก - ADV)': 1, '(ที่สุด - ADV)': 1}",2,2
"[['(สถานที่ - NOUN)', '(สามารถ - AUX)', '(แออัด - NOUN)', '(ใน - ADP)', '(ช่วง - NOUN)', '(พระอาทิตย์ - NOUN)', '(ตก - VERB)', '(ดิน - NOUN)', '(แต่ - CCONJ)', '(มัน - PRON)', '(ก็ - SCONJ)', '(คุ้ม - NOUN)', '(ค่า - NOUN)', '(กับ - ADP)', '(การ - NOUN)', '(เยี่ยม - NOUN)', '(ชม - NOUN)', '(เรา - PRON)', '(ไป - VERB)', '(ที่ - SCONJ)', '(นั่น - PRON)', '(ด้วย - ADP)', '(มอเตอร์ไซค์ - NOUN)', '(และ - CCONJ)', '(หยุด - VERB)', '(ที่ - SCONJ)', '(จุด - NOUN)', '(ชม - VERB)', '(วิว - NOUN)', '(คา - NOUN)', '(รอน - NOUN)', '(และ - CCONJ)', '(หาด - NOUN)', '(ใน - ADP)', '(หาน - NOUN)', '(ไป - VERB)', '(ตาม - ADP)', '(ทาง - NOUN)', '(พระอาทิตย์ - NOUN)', '(ตก - VERB)', '(ที่ - SCONJ)', '(น่า - AUX)', '(ตื่นตาตื่นใจ - VERB)', '(มอง - VERB)', '(ผ่าน - NOUN)', '(ขอบ - NOUN)', '(ฟ้า - NOUN)', '(ขับ - NOUN)', '(รถ - NOUN)', '(ประมาณ - ADV)', '(', '40', ' - NOUN)', '(นาที - NOUN)', '(จาก - ADP)', '(พื้นที่ - NOUN)', '(ป่า - NOUN)', '(ตอง - NOUN)']]","{'(สถานที่ - NOUN)': 1, '(แออัด - NOUN)': 1, '(ช่วง - NOUN)': 1, '(พระอาทิตย์ - NOUN)': 2, '(ดิน - NOUN)': 1, '(คุ้ม - NOUN)': 1, '(ค่า - NOUN)': 1, '(การ - NOUN)': 1, '(เยี่ยม - NOUN)': 1, '(ชม - NOUN)': 1, '(มอเตอร์ไซค์ - NOUN)': 1, '(จุด - NOUN)': 1, '(วิว - NOUN)': 1, '(คา - NOUN)': 1, '(รอน - NOUN)': 1, '(หาด - NOUN)': 1, '(หาน - NOUN)': 1, '(ทาง - NOUN)': 1, '(ผ่าน - NOUN)': 1, '(ขอบ - NOUN)': 1, '(ฟ้า - NOUN)': 1, '(ขับ - NOUN)': 1, '(รถ - NOUN)': 1, ' - NOUN)': 1, '(นาที - NOUN)': 1, '(พื้นที่ - NOUN)': 1, '(ป่า - NOUN)': 1, '(ตอง - NOUN)': 1}",28,29,"{'(ตก - VERB)': 2, '(ไป - VERB)': 2, '(หยุด - VERB)': 1, '(ชม - VERB)': 1, '(ตื่นตาตื่นใจ - VERB)': 1, '(มอง - VERB)': 1}",6,8,{},0,0,{'(ประมาณ - ADV)': 1},1,1
"[['(ฉัน - PRON)', '(คิด - VERB)', '(ว่า - SCONJ)', '(วัด - NOUN)', '(ไช - NOUN)', '(ธารา - NOUN)', '(ราม - NOUN)', '(เป็น - VERB)', '(วัด - NOUN)', '(ที่ - SCONJ)', '(ดี - NOUN)', '(ที่สุด - ADV)', '(และ - CCONJ)', '(เก็บรักษา - NOUN)', '(ไว้ - AUX)', '(ใน - ADP)', '(จังหวัด - NOUN)', '(ภูเก็ต - PROPN)', '(เป็น - VERB)', '(สถานที่ - NOUN)', '(ทาง - NOUN)', '(จิตวิญญาณ - NOUN)', '(ที่ - SCONJ)', '(คุณ - NOUN)', '(สามารถ - AUX)', '(เพลิดเพลิน - NOUN)', '(และ - CCONJ)', '(สัมผัส - NOUN)', '(กับ - ADP)', '(ประเพณี - NOUN)', '(บาง - ADV)', '(อย่าง - NOUN)', '(ที่ - SCONJ)', '(พระสงฆ์ - NOUN)', '(กำลัง - AUX)', '(มี - VERB)', '(หาก - SCONJ)', '(คุณ - NOUN)', '(โชค - NOUN)', '(ดี - NOUN)', '(ฉัน - PRON)', '(ได้ - AUX)', '(รับ - VERB)', '(แสง - NOUN)', '(เทียน - NOUN)', '(*แออัด - NOUN)', '(อย่าง - NOUN)', '(ที่ - SCONJ)', '(ฉัน - PRON)', '(คาด - VERB)', '(ไว้ - ADV)', '(คุณ - NOUN)', '(สามารถ - AUX)', '(มี - VERB)', '(ภาพ - NOUN)', '(ที่ - SCONJ)', '(สวยงาม - ADJ)', '(แนะนำ - VERB)', '(ให้ - SCONJ)', '(เยี่ยม - NOUN)', '(ชม - VERB)']]","{'(วัด - NOUN)': 2, '(ไช - NOUN)': 1, '(ธารา - NOUN)': 1, '(ราม - NOUN)': 1, '(ดี - NOUN)': 2, '(เก็บรักษา - NOUN)': 1, '(จังหวัด - NOUN)': 1, '(สถานที่ - NOUN)': 1, '(ทาง - NOUN)': 1, '(จิตวิญญาณ - NOUN)': 1, '(คุณ - NOUN)': 3, '(เพลิดเพลิน - NOUN)': 1, '(สัมผัส - NOUN)': 1, '(ประเพณี - NOUN)': 1, '(อย่าง - NOUN)': 2, '(พระสงฆ์ - NOUN)': 1, '(โชค - NOUN)': 1, '(แสง - NOUN)': 1, '(เทียน - NOUN)': 1, '(*แออัด - NOUN)': 1, '(ภาพ - NOUN)': 1, '(เยี่ยม - NOUN)': 1}",22,27,"{'(คิด - VERB)': 1, '(เป็น - VERB)': 2, '(มี - VERB)': 2, '(รับ - VERB)': 1, '(คาด - VERB)': 1, '(แนะนำ - VERB)': 1, '(ชม - VERB)': 1}",7,9,{'(สวยงาม - ADJ)': 1},1,1,"{'(ที่สุด - ADV)': 1, '(บาง - ADV)': 1, '(ไว้ - ADV)': 1}",3,3
"[['(หลาย - NUM)', '(ต่อ - ADP)', '(หลาย - ADV)', '(ครั้ง - NOUN)', '(ใน - ADP)', '(หลาย - ADV)', '(ปี - NOUN)', '(ที่ - SCONJ)', '(ผ่าน - VERB)', '(มา - VERB)', '(จะ - AUX)', '(ยังคง - AUX)', '(ทำ - VERB)', '(เช่น - SCONJ)', '(นี้ - DET)', '(เพราะ - SCONJ)', '(เป็น - VERB)', '(สถานที่ - NOUN)', '(โปรด - NOUN)', '(ของ - ADP)', '(ฉัน - PRON)', '(ใน - ADP)', '(ภูเก็ต - NOUN)', '(มุมมอง - NOUN)', '(ที่ - SCONJ)', '(น่า - AUX)', '(ตื่นตาตื่นใจ - VERB)', '(โดย - SCONJ)', '(รอบ - ADP)', '(พื้นที่ - NOUN)', '(และ - CCONJ)', '(น้ำ - NOUN)', '(เป็น - VERB)', '(บ้า - NOUN)', '(ถ้า - SCONJ)', '(คุณ - NOUN)', '(ชอบ - VERB)', '(การ - NOUN)', '(ผจญภัย - NOUN)', '(เดิน - VERB)', '(ออก - VERB)', '(ไป - VERB)', '(ที่ - SCONJ)', '(จุด - NOUN)', '(สวม - VERB)', '(รองเท้า - NOUN)', '(ที่ - SCONJ)', '(ดี - NOUN)', '(และ - CCONJ)', '(ปลอด - NOUN)', '(ภัย - NOUN)', '(อย่า - AUX)', '(พยายาม - VERB)', '(ถ้า - SCONJ)', '(คุณ - NOUN)', '(มี - VERB)', '(เงื่อนไข - NOUN)', '(ทาง - NOUN)', '(การ - NOUN)', '(แพทย์ - NOUN)', '(ใช้ - VERB)', '(น้ำ - NOUN)', '(และ - CCONJ)', '(ใช้ - VERB)', '(ครีม - NOUN)', '(กัน - PRON)', '(แดด - NOUN)', '(จุด - NOUN)', '(ที่ - SCONJ)', '(อาจ - AUX)', '(จะ - AUX)', '(หยาบ - NOUN)', '(ถ้า - SCONJ)', '(มี - VERB)', '(พายุ - NOUN)', '(เข้า - VERB)', '(มา - VERB)', '(ระวัง - VERB)', '(คลื่น - NOUN)', '(พวก - NOUN)', '(เขา - PRON)', '(มี - VERB)', '(วิธี - NOUN)', '(ด้อม - NOUN)', '(คุณ - NOUN)', '(ถ้า - SCONJ)', '(คุณ - NOUN)', '(เข้า - VERB)', '(ใกล้ - VERB)', '(เกิน - VERB)', '(ไป - VERB)', '(คุณ - NOUN)', '(*สามารถ - AUX)', '(ว่าย - NOUN)', '(น้ำ - NOUN)', '(รอบ - NOUN)', '(นี้ - DET)', '(และ - CCONJ)', '(โง่ - NOUN)', '(ถ้า - SCONJ)', '(คุณ - NOUN)', '(ลอง - VERB)']]","{'(ครั้ง - NOUN)': 1, '(ปี - NOUN)': 1, '(สถานที่ - NOUN)': 1, '(โปรด - NOUN)': 1, '(ภูเก็ต - NOUN)': 1, '(มุมมอง - NOUN)': 1, '(พื้นที่ - NOUN)': 1, '(น้ำ - NOUN)': 3, '(บ้า - NOUN)': 1, '(คุณ - NOUN)': 6, '(การ - NOUN)': 2, '(ผจญภัย - NOUN)': 1, '(จุด - NOUN)': 2, '(รองเท้า - NOUN)': 1, '(ดี - NOUN)': 1, '(ปลอด - NOUN)': 1, '(ภัย - NOUN)': 1, '(เงื่อนไข - NOUN)': 1, '(ทาง - NOUN)': 1, '(แพทย์ - NOUN)': 1, '(ครีม - NOUN)': 1, '(แดด - NOUN)': 1, '(หยาบ - NOUN)': 1, '(พายุ - NOUN)': 1, '(คลื่น - NOUN)': 1, '(พวก - NOUN)': 1, '(วิธี - NOUN)': 1, '(ด้อม - NOUN)': 1, '(ว่าย - NOUN)': 1, '(รอบ - NOUN)': 1, '(โง่ - NOUN)': 1}",31,40,"{'(ผ่าน - VERB)': 1, '(มา - VERB)': 2, '(ทำ - VERB)': 1, '(เป็น - VERB)': 2, '(ตื่นตาตื่นใจ - VERB)': 1, '(ชอบ - VERB)': 1, '(เดิน - VERB)': 1, '(ออก - VERB)': 1, '(ไป - VERB)': 2, '(สวม - VERB)': 1, '(พยายาม - VERB)': 1, '(มี - VERB)': 3, '(ใช้ - VERB)': 2, '(เข้า - VERB)': 2, '(ระวัง - VERB)': 1, '(ใกล้ - VERB)': 1, '(เกิน - VERB)': 1, '(ลอง - VERB)': 1}",18,25,{},0,0,{'(หลาย - ADV)': 2},1,2
"[['(นี่ - DET)', '(เป็น - VERB)', '(จุด - NOUN)', '(ชม - NOUN)', '(พระอาทิตย์ - NOUN)', '(ตก - VERB)', '(ของ - ADP)', '(ประเทศ - NOUN)', '(ไทย - PROPN)', '(ที่ - SCONJ)', '(คุณ - NOUN)', '(*ควร - AUX)', '(พลาด - NOUN)', '(เมื่อ - SCONJ)', '(อยู่ - VERB)', '(ใน - ADP)', '(ภูเก็ต - NOUN)', '(บรรยากาศ - NOUN)', '(ดี - NOUN)', '(มาก - ADV)', '(ถ้า - SCONJ)', '(คุณ - NOUN)', '(สวม - VERB)', '(รองเท้า - NOUN)', '(กีฬา - NOUN)', '(เดิน - VERB)', '(ลง - VERB)', '(ไป - VERB)', '(ที่ - SCONJ)', '(หน้าผา - NOUN)', '(เพื่อ - SCONJ)', '(ใช้ - VERB)', '(ช่วง - NOUN)', '(เวลา - NOUN)', '(ที่ - SCONJ)', '(ดี - NOUN)', '(กับ - ADP)', '(ธรรมชาติ - NOUN)']]","{'(จุด - NOUN)': 1, '(ชม - NOUN)': 1, '(พระอาทิตย์ - NOUN)': 1, '(ประเทศ - NOUN)': 1, '(คุณ - NOUN)': 2, '(พลาด - NOUN)': 1, '(ภูเก็ต - NOUN)': 1, '(บรรยากาศ - NOUN)': 1, '(ดี - NOUN)': 2, '(รองเท้า - NOUN)': 1, '(กีฬา - NOUN)': 1, '(หน้าผา - NOUN)': 1, '(ช่วง - NOUN)': 1, '(เวลา - NOUN)': 1, '(ธรรมชาติ - NOUN)': 1}",15,17,"{'(เป็น - VERB)': 1, '(ตก - VERB)': 1, '(อยู่ - VERB)': 1, '(สวม - VERB)': 1, '(เดิน - VERB)': 1, '(ลง - VERB)': 1, '(ไป - VERB)': 1, '(ใช้ - VERB)': 1}",8,8,{},0,0,{'(มาก - ADV)': 1},1,1
"[['(เช่น - PART)', '(เดียว - NOUN)', '(กับ - ADP)', '(จุด - NOUN)', '(ชม - VERB)', '(วิว - NOUN)', '(กังหัน - NOUN)', '(ลม - NOUN)', '(ดู - AUX)', '(ทะเลอันดามัน - PRON)', '(มี - VERB)', '(ที่ - SCONJ)', '(จอด - NOUN)', '(รถ - NOUN)', '(เยอะ - NOUN)', '(ขับ - NOUN)', '(ดี - NOUN)', '(และ - CCONJ)', '(เยี่ยม - NOUN)']]","{'(เดียว - NOUN)': 1, '(จุด - NOUN)': 1, '(วิว - NOUN)': 1, '(กังหัน - NOUN)': 1, '(ลม - NOUN)': 1, '(จอด - NOUN)': 1, '(รถ - NOUN)': 1, '(เยอะ - NOUN)': 1, '(ขับ - NOUN)': 1, '(ดี - NOUN)': 1, '(เยี่ยม - NOUN)': 1}",11,11,"{'(ชม - VERB)': 1, '(มี - VERB)': 1}",2,2,{},0,0,{},0,0
"[['(มัน - PRON)', '(เป็น - VERB)', '(หนึ่ง - NUM)', '(ใน - ADP)', '(จุด - NOUN)', '(ที่ - SCONJ)', '(ดี - NOUN)', '(ที่สุด - ADV)', '(บน - ADP)', '(เกาะ - NOUN)', '(อย่าง - NOUN)', '(*ต้อง - AUX)', '(สงสัย - NOUN)', '(เพื่อ - SCONJ)', '(ชม - NOUN)', '(พระอาทิตย์ - NOUN)', '(ตก - VERB)', '(แต่ - CCONJ)', '(ฝูง - NOUN)', '(ชน - NOUN)', '(ก็ - SCONJ)', '(บ้าคลั่ง - NOUN)', '(ดัง - ADP)', '(นั้น - DET)', '(ใน - ADP)', '(ความ - NOUN)', '(คิด - VERB)', '(ของ - ADP)', '(ฉัน - PRON)', '(มัน - PRON)', '(ค่อนข้าง - ADV)', '(', 'overrated', ' - NOUN)', '(เล็กน้อย - ADV)', '(มี - VERB)', '(สถานที่ - NOUN)', '(สวยงาม - ADJ)', '(อื่น - DET)', '(ๆ - PUNCT)'], ['(อีก - ADV)', '(มากมาย - ADJ)', '(แต่ - CCONJ)', '(เงียบสงบ - NOUN)', '(โดย - SCONJ)', '(*มี - VERB)', '(ฝูง - NOUN)', '(ชน - NOUN)', '(จำนวน - NOUN)', '(มาก - ADV)', '(ส่วน - CCONJ)', '(ใหญ่ - ADJ)', '(เป็น - VERB)', '(คน - NOUN)', '(จีน - PROPN)', '(พวก - NOUN)', '(เขา - PRON)', '(*สนใจ - VERB)', '(เกี่ยว - VERB)', '(กับ - ADP)', '(พระอาทิตย์ - NOUN)', '(ตก - VERB)', '(พวก - NOUN)', '(เขา - PRON)', '(คลิก - NOUN)', '(ที่ - SCONJ)', '(รูป - NOUN)', '(หัน - VERB)', '(หลัง - NOUN)', '(แล้ว - CCONJ)', '(ออก - VERB)', '(ไป - VERB)', '(โดย - SCONJ)', '(*แม้ - SCONJ)', '(แต่ - CCONJ)', '(จะ - AUX)', '(มอง - VERB)', '(ไป - VERB)', '(ที่ - SCONJ)', '(ดวง - NOUN)', '(อาทิตย์ - NOUN)', '(ที่ - SCONJ)', '(ดัง - ADP)', '(และ - CCONJ)', '(เสียง - NOUN)', '(ดัง - ADP)', '(สถานที่ - NOUN)', '(น่า - AUX)', '(จะ - AUX)', '(ยังคง - AUX)', '(มี - VERB)', '(มูลค่า - NOUN)', '(การ - NOUN)', '(เยี่ยม - NOUN)', '(ชม - NOUN)', '(แต่ - CCONJ)', '(ฉัน - PRON)', '(จะ - AUX)', '(*ไป - VERB)', '(ที่ - SCONJ)', '(นั่น - PRON)', '(อีก - ADV)', '(นอก - ADP)', '(เสีย - NOUN)', '(จาก - ADP)', '(ว่า - SCONJ)', '(จะ - AUX)', '(มี - VERB)', '(จุด - NOUN)', '(ลับ - NOUN)', '(ที่ - SCONJ)', '(ซ่อน - VERB)', '(อยู่ - VERB)', '(จาก - ADP)', '(ความ - NOUN)', '(บ้า - VERB)']]","{'(จุด - NOUN)': 2, '(ดี - NOUN)': 1, '(เกาะ - NOUN)': 1, '(อย่าง - NOUN)': 1, '(สงสัย - NOUN)': 1, '(ชม - NOUN)': 2, '(พระอาทิตย์ - NOUN)': 2, '(ฝูง - NOUN)': 2, '(ชน - NOUN)': 2, '(บ้าคลั่ง - NOUN)': 1, '(ความ - NOUN)': 2, ' - NOUN)': 1, '(สถานที่ - NOUN)': 2, '(เงียบสงบ - NOUN)': 1, '(จำนวน - NOUN)': 1, '(คน - NOUN)': 1, '(พวก - NOUN)': 2, '(คลิก - NOUN)': 1, '(รูป - NOUN)': 1, '(หลัง - NOUN)': 1, '(ดวง - NOUN)': 1, '(อาทิตย์ - NOUN)': 1, '(เสียง - NOUN)': 1, '(มูลค่า - NOUN)': 1, '(การ - NOUN)': 1, '(เยี่ยม - NOUN)': 1, '(เสีย - NOUN)': 1, '(ลับ - NOUN)': 1}",28,36,"{'(เป็น - VERB)': 2, '(ตก - VERB)': 2, '(คิด - VERB)': 1, '(มี - VERB)': 3, '(*มี - VERB)': 1, '(*สนใจ - VERB)': 1, '(เกี่ยว - VERB)': 1, '(หัน - VERB)': 1, '(ออก - VERB)': 1, '(ไป - VERB)': 2, '(มอง - VERB)': 1, '(*ไป - VERB)': 1, '(ซ่อน - VERB)': 1, '(อยู่ - VERB)': 1, '(บ้า - VERB)': 1}",15,20,"{'(สวยงาม - ADJ)': 1, '(มากมาย - ADJ)': 1, '(ใหญ่ - ADJ)': 1}",3,3,"{'(ที่สุด - ADV)': 1, '(ค่อนข้าง - ADV)': 1, '(เล็กน้อย - ADV)': 1, '(อีก - ADV)': 2, '(มาก - ADV)': 1}",5,6
"[['(วิว - NOUN)', '(สวย - NOUN)', '(จาก - ADP)', '(บน - ADP)', '(สุด - ADV)', '(แต่ - CCONJ)', '(เรา - PRON)', '(มา - VERB)', '(เมื่อ - SCONJ)', '(ดวง - NOUN)', '(อาทิตย์ - NOUN)', '(กระทบ - VERB)', '(เหนือ - NOUN)', '(เรา - PRON)', '(โดย - SCONJ)', '(ตรง - ADP)', '(ดัง - ADP)', '(นั้น - DET)', '(เรา - PRON)', '(ต้อง - AUX)', '(หา - VERB)', '(ร่มเงา - NOUN)', '(และ - CCONJ)', '(สนุก - NOUN)', '(กับ - ADP)', '(วิว - NOUN)']]","{'(วิว - NOUN)': 2, '(สวย - NOUN)': 1, '(ดวง - NOUN)': 1, '(อาทิตย์ - NOUN)': 1, '(เหนือ - NOUN)': 1, '(ร่มเงา - NOUN)': 1, '(สนุก - NOUN)': 1}",7,8,"{'(มา - VERB)': 1, '(กระทบ - VERB)': 1, '(หา - VERB)': 1}",3,3,{},0,0,{'(สุด - ADV)': 1},1,1
"[['(ถือ - VERB)', '(ได้ - AUX)', '(ว่า - SCONJ)', '(เป็น - VERB)', '(หนึ่ง - NUM)', '(ใน - ADP)', '(การ - NOUN)', '(ท่องเที่ยว - NOUN)', '(ของ - ADP)', '(จังหวัด - NOUN)', '(ภูเก็ต - PROPN)', '(เกือบ - AUX)', '(ทุก - ADV)', '(คน - NOUN)', '(ต้อง - AUX)', '(ไป - VERB)', '(เยี่ยม - NOUN)', '(ชม - NOUN)', '(ทิวทัศน์ - NOUN)', '(และ - CCONJ)', '(ถ่าย - NOUN)', '(ภาพ - NOUN)', '(พระอาทิตย์ - NOUN)', '(ตก - VERB)', '(ดิน - NOUN)', '(คน - NOUN)', '(จะ - AUX)', '(แน่น - VERB)', '(มาก - ADV)', '(ถ้า - SCONJ)', '(มัน - PRON)', '(เป็น - VERB)', '(ช่วง - NOUN)', '(วัน - NOUN)', '(หยุด - VERB)', '(เวลา - NOUN)', '(ดี - NOUN)', '(คน - NOUN)', '(ส่วน - NOUN)', '(ใหญ่ - ADJ)', '(จะ - AUX)', '(ไป - VERB)', '(ข้าง - NOUN)', '(หน้า - NOUN)', '(เพื่อ - SCONJ)', '(หา - VERB)', '(สถานที่ - NOUN)', '(แต่ - CCONJ)', '(', 'ats', ' - NOUN)', '(ที่ - SCONJ)', '(จอด - NOUN)', '(รถ - NOUN)', '(น้อย - ADJ)', '(จะ - AUX)', '(ต้อง - AUX)', '(มี - VERB)', '(จุด - NOUN)', '(ที่ - SCONJ)', '(สามารถ - AUX)', '(เดิน - VERB)', '(ลง - VERB)', '(ได้ - AUX)', '(แต่ - CCONJ)', '(ต้อง - AUX)', '(ระวัง - VERB)', '(ผู้ - NOUN)', '(สูง - VERB)', '(อายุ - NOUN)', '(และ - CCONJ)', '(เด็ก - NOUN)', '(ๆ - PUNCT)'], ['(*แนะนำ - VERB)', '(ให้ - SCONJ)', '(เดิน - VERB)', '(ลง - VERB)']]","{'(การ - NOUN)': 1, '(ท่องเที่ยว - NOUN)': 1, '(จังหวัด - NOUN)': 1, '(คน - NOUN)': 3, '(เยี่ยม - NOUN)': 1, '(ชม - NOUN)': 1, '(ทิวทัศน์ - NOUN)': 1, '(ถ่าย - NOUN)': 1, '(ภาพ - NOUN)': 1, '(พระอาทิตย์ - NOUN)': 1, '(ดิน - NOUN)': 1, '(ช่วง - NOUN)': 1, '(วัน - NOUN)': 1, '(เวลา - NOUN)': 1, '(ดี - NOUN)': 1, '(ส่วน - NOUN)': 1, '(ข้าง - NOUN)': 1, '(หน้า - NOUN)': 1, '(สถานที่ - NOUN)': 1, ' - NOUN)': 1, '(จอด - NOUN)': 1, '(รถ - NOUN)': 1, '(จุด - NOUN)': 1, '(ผู้ - NOUN)': 1, '(อายุ - NOUN)': 1, '(เด็ก - NOUN)': 1}",26,28,"{'(ถือ - VERB)': 1, '(เป็น - VERB)': 2, '(ไป - VERB)': 2, '(ตก - VERB)': 1, '(แน่น - VERB)': 1, '(หยุด - VERB)': 1, '(หา - VERB)': 1, '(มี - VERB)': 1, '(เดิน - VERB)': 2, '(ลง - VERB)': 2, '(ระวัง - VERB)': 1, '(สูง - VERB)': 1, '(*แนะนำ - VERB)': 1}",13,17,"{'(ใหญ่ - ADJ)': 1, '(น้อย - ADJ)': 1}",2,2,"{'(ทุก - ADV)': 1, '(มาก - ADV)': 1}",2,2
