comment,noun,noun_count,sum_noun,verb,verb_count,sum_verb,adj,adj_count,sum_adj,adv,adv_count,sum_adv
"[['(เป็น - VERB)', '(สถานที่ - NOUN)', '(ที่ - SCONJ)', '(ดี - VERB)', '(และ - CCONJ)', '(เป็น - VERB)', '(ที่ - SCONJ)', '(นิยม - VERB)', '(มาก - ADV)', '(ๆ - PUNCT)', '(<s/> - PUNCT)'], ['(ถ้า - SCONJ)', '(คุณ - NOUN)', '(มอง - VERB)', '(ด้วย - ADP)', '(ตัว - NOUN)', '(คุณ - NOUN)', '(เอง - DET)', '(คุณ - NOUN)', '(สามารถ - AUX)', '(หา - VERB)', '(สถานที่ - NOUN)', '(ที่ - SCONJ)', '(ดี - VERB)', '(กว่า - ADV)', '(โดย - SCONJ)', '(*ต้อง - AUX)', '(นักท่องเที่ยว - VERB)', '(<s/> - PUNCT)']]","{'(สถานที่ - NOUN)': 2, '(คุณ - NOUN)': 3, '(ตัว - NOUN)': 1}",3,6,"{'(เป็น - VERB)': 2, '(ดี - VERB)': 2, '(นิยม - VERB)': 1, '(มอง - VERB)': 1, '(หา - VERB)': 1, '(นักท่องเที่ยว - VERB)': 1}",6,8,{},0,0,"{'(มาก - ADV)': 1, '(กว่า - ADV)': 1}",2,2
"[['(การ - NOUN)', '(ค้นพบ - VERB)', '(ที่ - SCONJ)', '(ยอดเยี่ยม - VERB)', '(ใน - ADP)', '(ส่วน - NOUN)', '(ของ - ADP)', '(เรา - PRON)', '(โดย - PART)', '(*เสียค่าใช้จ่าย - VERB)', '(เรา - PRON)', '(สามารถ - AUX)', '(สำรวจ - VERB)', '(พื้นที่ - NOUN)', '(ต่างๆ - DET)', '(<s/> - PUNCT)'], ['(มากมาย - ADJ)', '(และ - CCONJ)', '(เรียนรู้ - VERB)', '(เพิ่มเติม - ADV)', '(เกี่ยวกับ - ADP)', '(ศาสนา - NOUN)', '(<s/> - PUNCT)']]","{'(การ - NOUN)': 1, '(ส่วน - NOUN)': 1, '(พื้นที่ - NOUN)': 1, '(ศาสนา - NOUN)': 1}",4,4,"{'(ค้นพบ - VERB)': 1, '(ยอดเยี่ยม - VERB)': 1, '(*เสียค่าใช้จ่าย - VERB)': 1, '(สำรวจ - VERB)': 1, '(เรียนรู้ - VERB)': 1}",5,5,{'(มากมาย - ADJ)': 1},1,1,{'(เพิ่มเติม - ADV)': 1},1,1
"[['(จะ - AUX)', '(ต้อง - AUX)', '(หยุด - VERB)', '(ใน - ADP)', '(ระหว่าง - ADP)', '(การ - NOUN)', '(เดินทาง - VERB)', '(วัน - NOUN)', '(เดียว - ADJ)', '(กับ - ADP)', '(ภูเก็ต - PROPN)', '(ด้วย - ADP)', '(คนขับ - NOUN)', '(ส่วนตัว - ADJ)', '(ที่ - SCONJ)', '(คุณ - NOUN)', '(ต้องหา - VERB)', '(ข้อเสนอ - NOUN)', '(ราคา - NOUN)', '(ถูก - AUX)', '(<s/> - PUNCT)'], ['(ผลงาน - NOUN)', '(ชิ้นเอก - NOUN)', '(ของ - ADP)', '(ศิลปะ - NOUN)', '(ไทย - PROPN)', '(ที่ - SCONJ)', '(ยอดเยี่ยม - VERB)', '(ที่ - SCONJ)', '(สร้าง - VERB)', '(ขึ้น - ADV)', '(เมื่อ - ADP)', '(หลาย - ADV)', '(สิบ - NUM)', '(ปี - NOUN)', '(ที่ผ่านมา - DET)', '(ทิวทัศน์ - NOUN)', '(อัน - SCONJ)', '(งดงาม - VERB)', '(จาก - ADP)', '(จุดสูงสุด - PROPN)', '(<s/> - PUNCT)']]","{'(การ - NOUN)': 1, '(วัน - NOUN)': 1, '(คนขับ - NOUN)': 1, '(คุณ - NOUN)': 1, '(ข้อเสนอ - NOUN)': 1, '(ราคา - NOUN)': 1, '(ผลงาน - NOUN)': 1, '(ชิ้นเอก - NOUN)': 1, '(ศิลปะ - NOUN)': 1, '(ปี - NOUN)': 1, '(ทิวทัศน์ - NOUN)': 1}",11,11,"{'(หยุด - VERB)': 1, '(เดินทาง - VERB)': 1, '(ต้องหา - VERB)': 1, '(ยอดเยี่ยม - VERB)': 1, '(สร้าง - VERB)': 1, '(งดงาม - VERB)': 1}",6,6,"{'(เดียว - ADJ)': 1, '(ส่วนตัว - ADJ)': 1}",2,2,"{'(ขึ้น - ADV)': 1, '(หลาย - ADV)': 1}",2,2
"[['(วัด - NOUN)', '(ที่ - SCONJ)', '(สะอาด - VERB)', '(และ - CCONJ)', '(สวยงาม - VERB)', '(มาก - ADV)', '(<s/> - PUNCT)'], ['(ได้รับ - VERB)', '(การ - NOUN)', '(ดูแล - VERB)', '(อย่าง - PART)', '(ดี - ADV)', '(<s/> - PUNCT)'], ['(ผู้คน - NOUN)', '(ติดตาม - VERB)', '(วินัย - NOUN)', '(ที่นี่ - DET)', '(<s/> - PUNCT)'], ['(คุณ - NOUN)', '(สามารถ - AUX)', '(มองเห็น - VERB)', '(พระพุทธรูป - NOUN)', '(องค์ - NOUN)', '(ใหญ่ - ADJ)', '(ได้ - ADV)', '(จาก - ADP)', '(ที่นี่ - NOUN)', '(บน - ADP)', '(ภูเขา - NOUN)', '(<s/> - PUNCT)']]","{'(วัด - NOUN)': 1, '(การ - NOUN)': 1, '(ผู้คน - NOUN)': 1, '(วินัย - NOUN)': 1, '(คุณ - NOUN)': 1, '(พระพุทธรูป - NOUN)': 1, '(องค์ - NOUN)': 1, '(ที่นี่ - NOUN)': 1, '(ภูเขา - NOUN)': 1}",9,9,"{'(สะอาด - VERB)': 1, '(สวยงาม - VERB)': 1, '(ได้รับ - VERB)': 1, '(ดูแล - VERB)': 1, '(ติดตาม - VERB)': 1, '(มองเห็น - VERB)': 1}",6,6,{'(ใหญ่ - ADJ)': 1},1,1,"{'(มาก - ADV)': 1, '(ดี - ADV)': 1, '(ได้ - ADV)': 1}",3,3
"[['(ราคา - NOUN)', '(โปรด - ADJ)', '(ของ - ADP)', '(ฉัน - PRON)', '(ฟรี - NOUN)', '(เหมาะ - VERB)', '(สำหรับ - ADP)', '(การ - NOUN)', '(ออก - VERB)', '(ไป - VERB)', '(เที่ยวเล่น - VERB)', '(นอกสถานที่ - ADP)', '(สถาปนิก - NOUN)', '(ที่ - SCONJ)', '(น่ารัก - VERB)', '(<s/> - PUNCT)']]","{'(ราคา - NOUN)': 1, '(ฟรี - NOUN)': 1, '(การ - NOUN)': 1, '(สถาปนิก - NOUN)': 1}",4,4,"{'(เหมาะ - VERB)': 1, '(ออก - VERB)': 1, '(ไป - VERB)': 1, '(เที่ยวเล่น - VERB)': 1, '(น่ารัก - VERB)': 1}",5,5,{'(โปรด - ADJ)': 1},1,1,{},0,0
"[['(วัด - NOUN)', '(พุทธ - PROPN)', '(ที่ - SCONJ)', '(สวยงาม - VERB)', '(มาก - ADV)', '(<s/> - PUNCT)'], ['(สถาปัตยกรรม - NOUN)', '(ที่ - SCONJ)', '(ดี - VERB)', '(<s/> - PUNCT)'], ['(*มี - VERB)', '(ค่าธรรมเนียม - NOUN)', '(แรก - ADJ)', '(เข้า - VERB)', '(<s/> - PUNCT)'], ['(แต่ - CCONJ)', '(อย่า - AUX)', '(ลืม - VERB)', '(ถอด - NOUN)', '(รองเท้า - NOUN)', '(ก่อน - ADV)', '(เข้า - VERB)', '(วัด - NOUN)', '(<s/> - PUNCT)'], ['(เป็น - VERB)', '(ที่ - NOUN)', '(น่าสนใจ - ADJ)', '(ที่ - SCONJ)', '(จะ - AUX)', '(ดู - VERB)', '(ว่า - SCONJ)', '(พวกเขา - PRON)', '(ระเบิด - VERB)', '(แครก - NOUN)', '(เกอร์ - NOUN)', '(ภายใน - ADP)', '(โดม - NOUN)', '(อิฐ - NOUN)', '(อย่างไร - ADV)', '(<s/> - PUNCT)'], ['(ป.ล. - NOUN)', '(<s/> - PUNCT)'], ['(พก - NOUN)', '(ร่ม - NOUN)', '(และ - CCONJ)', '(สวม - VERB)', '(ถุงเท้า - NOUN)', '(ถ้า - SCONJ)', '(คุณ - NOUN)', '(รัก - VERB)', '(ผิว - NOUN)', '(และ - CCONJ)', '(เท้า - NOUN)', '(ของ - ADP)', '(คุณ - NOUN)', '(<s/> - PUNCT)']]","{'(วัด - NOUN)': 2, '(สถาปัตยกรรม - NOUN)': 1, '(ค่าธรรมเนียม - NOUN)': 1, '(ถอด - NOUN)': 1, '(รองเท้า - NOUN)': 1, '(ที่ - NOUN)': 1, '(แครก - NOUN)': 1, '(เกอร์ - NOUN)': 1, '(โดม - NOUN)': 1, '(อิฐ - NOUN)': 1, '(ป.ล. - NOUN)': 1, '(พก - NOUN)': 1, '(ร่ม - NOUN)': 1, '(ถุงเท้า - NOUN)': 1, '(คุณ - NOUN)': 2, '(ผิว - NOUN)': 1, '(เท้า - NOUN)': 1}",17,19,"{'(สวยงาม - VERB)': 1, '(ดี - VERB)': 1, '(*มี - VERB)': 1, '(เข้า - VERB)': 2, '(ลืม - VERB)': 1, '(เป็น - VERB)': 1, '(ดู - VERB)': 1, '(ระเบิด - VERB)': 1, '(สวม - VERB)': 1, '(รัก - VERB)': 1}",10,11,"{'(แรก - ADJ)': 1, '(น่าสนใจ - ADJ)': 1}",2,2,"{'(มาก - ADV)': 1, '(ก่อน - ADV)': 1, '(อย่างไร - ADV)': 1}",3,3
"[['(ไป - VERB)', '(เร็ว - ADV)', '(มาก - ADV)', '(หรือ - CCONJ)', '(ช้า - ADV)', '(<s/> - PUNCT)'], ['(เวลา - NOUN)', '(กลางวัน - NOUN)', '(ยุ่ง - VERB)', '(มาก - ADV)', '(และ - CCONJ)', '(ร้อน - VERB)', '(มาก - ADV)', '(<s/> - PUNCT)']]","{'(เวลา - NOUN)': 1, '(กลางวัน - NOUN)': 1}",2,2,"{'(ไป - VERB)': 1, '(ยุ่ง - VERB)': 1, '(ร้อน - VERB)': 1}",3,3,{},0,0,"{'(เร็ว - ADV)': 1, '(มาก - ADV)': 3, '(ช้า - ADV)': 1}",3,5
"[['(วัด - NOUN)', '(ที่ - SCONJ)', '(สวยงาม - ADJ)', '(และ - CCONJ)', '(บรรยากาศ - NOUN)', '(อัน - SCONJ)', '(เงียบสงบ - VERB)', '(<s/> - PUNCT)']]","{'(วัด - NOUN)': 1, '(บรรยากาศ - NOUN)': 1}",2,2,{'(เงียบสงบ - VERB)': 1},1,1,{'(สวยงาม - ADJ)': 1},1,1,{},0,0
"[['(เยี่ยม - NOUN)', '(ชม - VERB)', '(ใน - ADP)', '(ตอนเช้า - NOUN)', '(<s/> - PUNCT)'], ['(สถานที่ - NOUN)', '(ที่ - SCONJ)', '(สวยงาม - VERB)', '(และ - CCONJ)', '(เงียบสงบ - VERB)', '(มาก - ADV)', '(<s/> - PUNCT)']]","{'(เยี่ยม - NOUN)': 1, '(ตอนเช้า - NOUN)': 1, '(สถานที่ - NOUN)': 1}",3,3,"{'(ชม - VERB)': 1, '(สวยงาม - VERB)': 1, '(เงียบสงบ - VERB)': 1}",3,3,{},0,0,{'(มาก - ADV)': 1},1,1
"[['(วัด - NOUN)', '(ฉลอง - PROPN)', '(มี - VERB)', '(วัด - NOUN)', '(ที่ - SCONJ)', '(สวยงาม - ADJ)', '(หลาย - ADV)', '(แห่ง - NOUN)', '(อยู่ - VERB)', '(ใน - ADP)', '(สภาพ - NOUN)', '(ดี - ADJ)', '(และ - CCONJ)', '(*มี - VERB)', '(พวกเขา - PRON)', '(อยู่ - VERB)', '(ใน - ADP)', '(ขั้นตอน - NOUN)', '(การ - NOUN)', '(ปรับปรุง - VERB)', '(บาง - NUM)', '(ส่วน - NOUN)', '(ภายนอก - ADJ)', '(<s/> - PUNCT)'], ['(แต่ - CCONJ)', '(มัน - PRON)', '(ไม่ได้ - VERB)', '(ส่งผลกระทบ - VERB)', '(ต่อ - ADP)', '(ประสบการณ์ - NOUN)', '(<s/> - PUNCT)'], ['(มี - VERB)', '(นักท่องเที่ยว - NOUN)', '(*มาก - ADV)', '(นัก - ADV)', '(เมื่อ - SCONJ)', '(เรา - PRON)', '(อยู่ - VERB)', '(ที่นั่น - PRON)', '(ใน - ADP)', '(ช่วง - NOUN)', '(เที่ยง - NOUN)', '(วันศุกร์ - NOUN)', '(ใน - ADP)', '(ช่วง - NOUN)', '(ฤดูท่องเที่ยว - NOUN)', '(<s/> - PUNCT)'], ['(เมื่อ - SCONJ)', '(เรา - PRON)', '(เข้า - VERB)', '(ไป - VERB)', '(ใน - ADP)', '(วัด - NOUN)', '(ที่ - SCONJ)', '(ใหญ่ - ADJ)', '(ที่สุด - ADV)', '(*มี - VERB)', '(ใคร - PRON)', '(แจก - VERB)', '(โสร่ง - NOUN)', '(<s/> - PUNCT)'], ['(แต่ - CCONJ)', '(มี - VERB)', '(บาง - ADV)', '(คน - NOUN)', '(เมื่อ - SCONJ)', '(เรา - PRON)', '(ออก - VERB)', '(ไป - VERB)', '(<s/> - PUNCT)'], ['(ดี - VERB)', '(กว่า - ADV)', '(ที่ - SCONJ)', '(จะ - AUX)', '(สวมใส่ - VERB)', '(เสื้อผ้า - NOUN)', '(ที่ - SCONJ)', '(เรียบง่าย - VERB)', '(*มี - VERB)', '(เสื้อกล้าม - NOUN)', '(และ - CCONJ)', '(หัวเข่า - VERB)', '(ปกคลุม - VERB)', '(สำหรับ - ADP)', '(ผู้หญิง - NOUN)', '(<s/> - PUNCT)'], ['(สามารถ - AUX)', '(แนะนำ - VERB)', '(ให้ - SCONJ)', '(ดู - VERB)', '(อย่าง - PART)', '(แน่นอน - ADV)', '(<s/> - PUNCT)'], ['(โดยเฉพาะ - ADP)', '(ด้าน - NOUN)', '(ใน - ADP)', '(ของวัด - NOUN)', '(หลัก - ADJ)', '(นั้น - DET)', '(งดงาม - ADJ)', '(และ - CCONJ)', '(น่าสนใจ - ADJ)', '(<s/> - PUNCT)']]","{'(วัด - NOUN)': 3, '(แห่ง - NOUN)': 1, '(สภาพ - NOUN)': 1, '(ขั้นตอน - NOUN)': 1, '(การ - NOUN)': 1, '(ส่วน - NOUN)': 1, '(ประสบการณ์ - NOUN)': 1, '(นักท่องเที่ยว - NOUN)': 1, '(ช่วง - NOUN)': 2, '(เที่ยง - NOUN)': 1, '(วันศุกร์ - NOUN)': 1, '(ฤดูท่องเที่ยว - NOUN)': 1, '(โสร่ง - NOUN)': 1, '(คน - NOUN)': 1, '(เสื้อผ้า - NOUN)': 1, '(เสื้อกล้าม - NOUN)': 1, '(ผู้หญิง - NOUN)': 1, '(ด้าน - NOUN)': 1, '(ของวัด - NOUN)': 1}",19,22,"{'(มี - VERB)': 3, '(อยู่ - VERB)': 3, '(*มี - VERB)': 3, '(ปรับปรุง - VERB)': 1, '(ไม่ได้ - VERB)': 1, '(ส่งผลกระทบ - VERB)': 1, '(เข้า - VERB)': 1, '(ไป - VERB)': 2, '(แจก - VERB)': 1, '(ออก - VERB)': 1, '(ดี - VERB)': 1, '(สวมใส่ - VERB)': 1, '(เรียบง่าย - VERB)': 1, '(หัวเข่า - VERB)': 1, '(ปกคลุม - VERB)': 1, '(แนะนำ - VERB)': 1, '(ดู - VERB)': 1}",17,24,"{'(สวยงาม - ADJ)': 1, '(ดี - ADJ)': 1, '(ภายนอก - ADJ)': 1, '(ใหญ่ - ADJ)': 1, '(หลัก - ADJ)': 1, '(งดงาม - ADJ)': 1, '(น่าสนใจ - ADJ)': 1}",7,7,"{'(หลาย - ADV)': 1, '(*มาก - ADV)': 1, '(นัก - ADV)': 1, '(ที่สุด - ADV)': 1, '(บาง - ADV)': 1, '(กว่า - ADV)': 1, '(แน่นอน - ADV)': 1}",7,7
