comment,noun,noun_count,sum_noun,verb,verb_count,sum_verb,adj,adj_count,sum_adj,adv,adv_count,sum_adv
"[['(ฉัน - PRON)', '(สวมเสื้อ - VERB)', '(คลุม - VERB)', '(ไหล่ - NOUN)', '(ใน - ADP)', '(เวลา - NOUN)', '(นั้น - DET)', '(และ - CCONJ)', '(*ทราบ - VERB)', '(เกี่ยวกับ - ADP)', '(การ - NOUN)', '(แต่งกาย - VERB)', '(ที่ - SCONJ)', '(คุณ - NOUN)', '(ต้อง - AUX)', '(ติดตาม - VERB)', '(เพื่อ - SCONJ)', '(เข้า - VERB)', '(วัด - NOUN)', '(<s/> - PUNCT)'], ['(คุณ - NOUN)', '(ต้อง - AUX)', '(สวมเสื้อ - VERB)', '(คลุม - NOUN)', '(ไหล่ - NOUN)', '(และ - CCONJ)', '(กระโปรง - NOUN)', '(หรือ - CCONJ)', '(กางเกง - NOUN)', '(ถึง - ADP)', '(หัวเข่า - NOUN)', '(<s/> - PUNCT)'], ['(แต่ - CCONJ)', '(แม้ว่า - SCONJ)', '(คุณ - NOUN)', '(จะ - AUX)', '(สวมใส่ - VERB)', '(อย่าง - NOUN)', '(อื่น - DET)', '(พวกเขา - PRON)', '(ก็ - SCONJ)', '(มี - VERB)', '(แผงลอย - NOUN)', '(และ - CCONJ)', '(กระโปรง - NOUN)', '(ให้ - SCONJ)', '(คุณ - NOUN)', '(เพื่อ - SCONJ)', '(ปกปิด - VERB)', '(ไหล่ - NOUN)', '(และ - CCONJ)', '(ขา - NOUN)', '(ของ - ADP)', '(คุณ - NOUN)', '(<s/> - PUNCT)'], ['(มี - VERB)', '(รายละเอียด - NOUN)', '(ที่ - SCONJ)', '(น่าทึ่ง - DET)', '(ใน - ADP)', '(อาคาร - NOUN)', '(พร้อม - VERB)', '(วิว - NOUN)', '(ที่ - SCONJ)', '(ยอดเยี่ยม - VERB)', '(<s/> - PUNCT)'], ['(คุ้มค่า - NOUN)', '(กับ - ADP)', '(การ - NOUN)', '(เยี่ยม - VERB)', '(ชม - VERB)', '(อย่าง - PART)', '(แน่นอน - ADV)', '(<s/> - PUNCT)']]","{'(ไหล่ - NOUN)': 3, '(เวลา - NOUN)': 1, '(การ - NOUN)': 2, '(คุณ - NOUN)': 5, '(วัด - NOUN)': 1, '(คลุม - NOUN)': 1, '(กระโปรง - NOUN)': 2, '(กางเกง - NOUN)': 1, '(หัวเข่า - NOUN)': 1, '(อย่าง - NOUN)': 1, '(แผงลอย - NOUN)': 1, '(ขา - NOUN)': 1, '(รายละเอียด - NOUN)': 1, '(อาคาร - NOUN)': 1, '(วิว - NOUN)': 1, '(คุ้มค่า - NOUN)': 1}",16,24,"{'(สวมเสื้อ - VERB)': 2, '(คลุม - VERB)': 1, '(*ทราบ - VERB)': 1, '(แต่งกาย - VERB)': 1, '(ติดตาม - VERB)': 1, '(เข้า - VERB)': 1, '(สวมใส่ - VERB)': 1, '(มี - VERB)': 2, '(ปกปิด - VERB)': 1, '(พร้อม - VERB)': 1, '(ยอดเยี่ยม - VERB)': 1, '(เยี่ยม - VERB)': 1, '(ชม - VERB)': 1}",13,15,{},0,0,{'(แน่นอน - ADV)': 1},1,1
"[['(วัด - NOUN)', '(ของ - ADP)', '(พระ - NOUN)', '(ที่ - SCONJ)', '(มี - VERB)', '(ชื่อเสียง - NOUN)', '(สอง - NUM)', '(แห่ง - NOUN)', '(คือ - SCONJ)', '(หลวงพ่อ - NOUN)', '(แช่ม - NOUN)', '(และ - CCONJ)', '(หลวงพ่อ - NOUN)', '(จวง - PROPN)', '(<s/> - PUNCT)'], ['(- - SYM)', '(<s/> - PUNCT)'], ['(ทั้งที่ - SCONJ)', '(มี - VERB)', '(ชื่อเสียง - NOUN)', '(ด้าน - NOUN)', '(ยาสมุนไพร - ADJ)', '(และ - CCONJ)', '(ดูแล - VERB)', '(ผู้บาดเจ็บ - NOUN)', '(<s/> - PUNCT)']]","{'(วัด - NOUN)': 1, '(พระ - NOUN)': 1, '(ชื่อเสียง - NOUN)': 2, '(แห่ง - NOUN)': 1, '(หลวงพ่อ - NOUN)': 2, '(แช่ม - NOUN)': 1, '(ด้าน - NOUN)': 1, '(ผู้บาดเจ็บ - NOUN)': 1}",8,10,"{'(มี - VERB)': 2, '(ดูแล - VERB)': 1}",2,3,{'(ยาสมุนไพร - ADJ)': 1},1,1,{},0,0
"[['(วัด - NOUN)', '(ฉลอง - PROPN)', '(เป็น - VERB)', '(วัด - NOUN)', '(ที่ - SCONJ)', '(สวยงาม - VERB)', '(และ - CCONJ)', '(ได้รับ - VERB)', '(ความ - NOUN)', '(นิยม - VERB)', '(มาก - ADV)', '(ที่สุด - ADV)', '(แห่ง - NOUN)', '(หนึ่ง - DET)', '(ใน - ADP)', '(จังหวัด - NOUN)', '(ภูเก็ต - PROPN)', '(<s/> - PUNCT)'], ['(ฉัน - PRON)', '(มี - VERB)', '(เวลา - NOUN)', '(สั้น - ADJ)', '(ๆ - PUNCT)', '(<s/> - PUNCT)'], ['(ใน - ADP)', '(การ - NOUN)', '(สำรวจ - VERB)', '(วัด - NOUN)', '(<s/> - PUNCT)'], ['(แต่ - CCONJ)', '(ฉัน - PRON)', '(รู้สึก - VERB)', '(ประหลาดใจ - VERB)', '(มาก - ADV)', '(<s/> - PUNCT)'], ['(มี - VERB)', '(นักท่องเที่ยว - NOUN)', '(จำนวน - NOUN)', '(มาก - ADJ)', '(<s/> - PUNCT)'], ['(แต่ - CCONJ)', '(คาด - VERB)', '(ว่า - SCONJ)', '(จะ - AUX)', '(เป็น - VERB)', '(ช่วง - NOUN)', '(ไฮ - NOUN)', '(ซี - NOUN)', '(ซั่น - VERB)', '(<s/> - PUNCT)'], ['(วัด - NOUN)', '(ที่ - SCONJ)', '(น่า - AUX)', '(ประทับใจ - VERB)', '(คุณ - NOUN)', '(ต้อง - AUX)', '(เยี่ยม - VERB)', '(ชม - VERB)', '(<s/> - PUNCT)'], ['(เพียงแค่ - AUX)', '(คุณ - NOUN)', '(ใช้ - VERB)', '(เวลา - NOUN)', '(มาก - ADV)', '(กว่า - ADV)', '(ชั่วโมง - NOUN)', '(ใน - ADP)', '(การ - NOUN)', '(สำรวจ - VERB)', '(วัด - NOUN)', '(<s/> - PUNCT)']]","{'(วัด - NOUN)': 5, '(ความ - NOUN)': 1, '(แห่ง - NOUN)': 1, '(จังหวัด - NOUN)': 1, '(เวลา - NOUN)': 2, '(การ - NOUN)': 2, '(นักท่องเที่ยว - NOUN)': 1, '(จำนวน - NOUN)': 1, '(ช่วง - NOUN)': 1, '(ไฮ - NOUN)': 1, '(ซี - NOUN)': 1, '(คุณ - NOUN)': 2, '(ชั่วโมง - NOUN)': 1}",13,20,"{'(เป็น - VERB)': 2, '(สวยงาม - VERB)': 1, '(ได้รับ - VERB)': 1, '(นิยม - VERB)': 1, '(มี - VERB)': 2, '(สำรวจ - VERB)': 2, '(รู้สึก - VERB)': 1, '(ประหลาดใจ - VERB)': 1, '(คาด - VERB)': 1, '(ซั่น - VERB)': 1, '(ประทับใจ - VERB)': 1, '(เยี่ยม - VERB)': 1, '(ชม - VERB)': 1, '(ใช้ - VERB)': 1}",14,17,"{'(สั้น - ADJ)': 1, '(มาก - ADJ)': 1}",2,2,"{'(มาก - ADV)': 3, '(ที่สุด - ADV)': 1, '(กว่า - ADV)': 1}",3,5
"[['(วัด - NOUN)', '(เหล่านี้ - DET)', '(น่า - PART)', '(ประหลาดใจ - VERB)', '(<s/> - PUNCT)'], ['(พวกเขา - PRON)', '(หรูหรา - VERB)', '(มาก - ADV)', '(<s/> - PUNCT)'], ['(มัน - PRON)', '(สวย - VERB)', '(มาก - ADV)', '(ที่ - SCONJ)', '(ได้ - VERB)', '(เห็นด้วย - ADP)', '(ตัวเอง - PRON)', '(<s/> - PUNCT)'], ['(โปรด - CCONJ)', '(ระวัง - VERB)', '(รหัส - NOUN)', '(ชุดว่ายน้ำ - NOUN)', '(สำหรับ - ADP)', '(สุภาพสตรี - NOUN)', '(ที่ - SCONJ)', '(*มี - VERB)', '(กางเกงขาสั้น - NOUN)', '(หรือ - CCONJ)', '(กางเกงขาสั้น - NOUN)', '(<s/> - PUNCT)']]","{'(วัด - NOUN)': 1, '(รหัส - NOUN)': 1, '(ชุดว่ายน้ำ - NOUN)': 1, '(สุภาพสตรี - NOUN)': 1, '(กางเกงขาสั้น - NOUN)': 2}",5,6,"{'(ประหลาดใจ - VERB)': 1, '(หรูหรา - VERB)': 1, '(สวย - VERB)': 1, '(ได้ - VERB)': 1, '(ระวัง - VERB)': 1, '(*มี - VERB)': 1}",6,6,{},0,0,{'(มาก - ADV)': 2},1,2
"[['(วัด - NOUN)', '(แห่ง - NOUN)', '(นี้ - DET)', '(มี - VERB)', '(มนต์ขลัง - NOUN)', '(มาก - ADV)', '(สถานที่ - NOUN)', '(ตั้ง - VERB)', '(อยู่ - ADV)', '(ใน - ADP)', '(พื้นที่ - NOUN)', '(ที่ - SCONJ)', '(ดี - VERB)', '(ดังนั้น - CCONJ)', '(การ - NOUN)', '(เดินทาง - VERB)', '(ที่ - SCONJ)', '(ดี - VERB)', '(พร้อม - VERB)', '(วิว - NOUN)', '(จาก - ADP)', '(ที่นี่ - NOUN)', '(ยอดเยี่ยม - NOUN)', '(และ - CCONJ)', '(สถาปัตยกรรม - NOUN)', '(และ - CCONJ)', '(งาน - NOUN)', '(ศิลปะ - NOUN)', '(ที่ - SCONJ)', '(น่าตื่นตาตื่นใจ - VERB)', '(และ - CCONJ)', '(งดงาม - ADJ)', '(<s/> - PUNCT)'], ['(วางแผน - NOUN)', '(อย่างน้อย - NOUN)', '(หนึ่ง - NUM)', '(ชั่วโมง - NOUN)', '(สำหรับ - ADP)', '(การ - NOUN)', '(เยี่ยม - VERB)', '(ชม - VERB)', '(ครั้งนี้ - NOUN)', '(เพื่อ - ADP)', '(เพลิดเพลิน - VERB)', '(และ - CCONJ)', '(ดู - VERB)', '(ทุก - ADV)', '(มุม - NOUN)', '(<s/> - PUNCT)']]","{'(วัด - NOUN)': 1, '(แห่ง - NOUN)': 1, '(มนต์ขลัง - NOUN)': 1, '(สถานที่ - NOUN)': 1, '(พื้นที่ - NOUN)': 1, '(การ - NOUN)': 2, '(วิว - NOUN)': 1, '(ที่นี่ - NOUN)': 1, '(ยอดเยี่ยม - NOUN)': 1, '(สถาปัตยกรรม - NOUN)': 1, '(งาน - NOUN)': 1, '(ศิลปะ - NOUN)': 1, '(วางแผน - NOUN)': 1, '(อย่างน้อย - NOUN)': 1, '(ชั่วโมง - NOUN)': 1, '(ครั้งนี้ - NOUN)': 1, '(มุม - NOUN)': 1}",17,18,"{'(มี - VERB)': 1, '(ตั้ง - VERB)': 1, '(ดี - VERB)': 2, '(เดินทาง - VERB)': 1, '(พร้อม - VERB)': 1, '(น่าตื่นตาตื่นใจ - VERB)': 1, '(เยี่ยม - VERB)': 1, '(ชม - VERB)': 1, '(เพลิดเพลิน - VERB)': 1, '(ดู - VERB)': 1}",10,11,{'(งดงาม - ADJ)': 1},1,1,"{'(มาก - ADV)': 1, '(อยู่ - ADV)': 1, '(ทุก - ADV)': 1}",3,3
"[['(วัด - NOUN)', '(ที่ - SCONJ)', '(มี - VERB)', '(ชื่อเสียง - NOUN)', '(ประกอบ - VERB)', '(ด้วย - ADP)', '(หลาย - ADV)', '(อาคาร - NOUN)', '(<s/> - PUNCT)'], ['(ดูเหมือน - VERB)', '(จะ - AUX)', '(เป็น - VERB)', '(ที่ - SCONJ)', '(นิยม - VERB)', '(ของ - ADP)', '(คนใน - NOUN)', '(ท้องถิ่น - NOUN)', '(ด้วย - ADV)', '(<s/> - PUNCT)'], ['(ความแตกต่าง - NOUN)', '(ที่ - SCONJ)', '(สำคัญ - VERB)', '(คือ - SCONJ)', '(คุณ - NOUN)', '(ได้ยิน - VERB)', '(เสียง - NOUN)', '(แคร็กเกอร์ - NOUN)', '(ที่ - SCONJ)', '(เปล่งเสียง - VERB)', '(ออก - VERB)', '(มา - VERB)', '(ซ้ำๆ - VERB)', '(<s/> - PUNCT)'], ['(เพื่อ - SCONJ)', '(เป็น - VERB)', '(พร - NOUN)', '(และ - CCONJ)', '(ขอบพระคุณ - NOUN)', '(พระเจ้า - NOUN)', '(<s/> - PUNCT)']]","{'(วัด - NOUN)': 1, '(ชื่อเสียง - NOUN)': 1, '(อาคาร - NOUN)': 1, '(คนใน - NOUN)': 1, '(ท้องถิ่น - NOUN)': 1, '(ความแตกต่าง - NOUN)': 1, '(คุณ - NOUN)': 1, '(เสียง - NOUN)': 1, '(แคร็กเกอร์ - NOUN)': 1, '(พร - NOUN)': 1, '(ขอบพระคุณ - NOUN)': 1, '(พระเจ้า - NOUN)': 1}",12,12,"{'(มี - VERB)': 1, '(ประกอบ - VERB)': 1, '(ดูเหมือน - VERB)': 1, '(เป็น - VERB)': 2, '(นิยม - VERB)': 1, '(สำคัญ - VERB)': 1, '(ได้ยิน - VERB)': 1, '(เปล่งเสียง - VERB)': 1, '(ออก - VERB)': 1, '(มา - VERB)': 1, '(ซ้ำๆ - VERB)': 1}",11,12,{},0,0,"{'(หลาย - ADV)': 1, '(ด้วย - ADV)': 1}",2,2
"[['(นี่ - PRON)', '(คือ - VERB)', '(สถานที่ - NOUN)', '(สำคัญ - ADJ)', '(ของ - ADP)', '(จังหวัด - NOUN)', '(ภูเก็ต - PROPN)', '(<s/> - PUNCT)'], ['(วัด - NOUN)', '(เป็น - VERB)', '(ช่วงเวลา - NOUN)', '(สำคัญ - ADJ)', '(ทาง - ADP)', '(ประวัติศาสตร์ - NOUN)', '(ของ - ADP)', '(ภูเก็ต - PROPN)', '(<s/> - PUNCT)'], ['(ชาว - NOUN)', '(ภูเก็ต - NOUN)', '(ให้ - SCONJ)', '(ความเคารพ - VERB)', '(ต่อ - ADP)', '(สถานะ - NOUN)', '(พระ - NOUN)', '(ของวัด - NOUN)', '(นี้ - DET)', '(เป็น - VERB)', '(อย่าง - PART)', '(มาก - ADV)', '(<s/> - PUNCT)']]","{'(สถานที่ - NOUN)': 1, '(จังหวัด - NOUN)': 1, '(วัด - NOUN)': 1, '(ช่วงเวลา - NOUN)': 1, '(ประวัติศาสตร์ - NOUN)': 1, '(ชาว - NOUN)': 1, '(ภูเก็ต - NOUN)': 1, '(สถานะ - NOUN)': 1, '(พระ - NOUN)': 1, '(ของวัด - NOUN)': 1}",10,10,"{'(คือ - VERB)': 1, '(เป็น - VERB)': 2, '(ความเคารพ - VERB)': 1}",3,4,{'(สำคัญ - ADJ)': 2},1,2,{'(มาก - ADV)': 1},1,1
"[['(นี่ - PRON)', '(เป็น - VERB)', '(จุด - NOUN)', '(เดียว - ADJ)', '(ใน - ADP)', '(การ - NOUN)', '(ทัวร์ - VERB)', '(ที่ - SCONJ)', '(ดี - VERB)', '(<s/> - PUNCT)'], ['(วัด - NOUN)', '(นั้น - DET)', '(งดงาม - VERB)', '(อย่างยิ่ง - ADV)', '(พร้อม - VERB)', '(รายละเอียด - NOUN)', '(ที่ - SCONJ)', '(ซับซ้อน - VERB)', '(มากมาย - ADV)', '(และ - CCONJ)', '(ยอด - NOUN)', '(แหลม - ADJ)', '(สูง - ADJ)', '(ตระหง่าน - ADV)', '(<s/> - PUNCT)'], ['(คอมเพล็กซ์ - NOUN)', '(ก็ - SCONJ)', '(ค่อนข้าง - ADV)', '(ดี - VERB)', '(เช่นกัน - ADV)', '(มี - VERB)', '(หลาย - ADV)', '(แห่ง - NOUN)', '(สำหรับ - ADP)', '(การ - NOUN)', '(ช็อป - VERB)', '(ปิ้ง - NOUN)', '(และ - CCONJ)', '(สถานที่ - NOUN)', '(ที่ - SCONJ)', '(จะ - AUX)', '(ขัดขวาง - VERB)', '(เครื่องดื่ม - NOUN)', '(เย็น - ADJ)', '(ๆ - PUNCT)', '(<s/> - PUNCT)'], ['(เพื่อ - SCONJ)', '(ลด - VERB)', '(ความร้อน - NOUN)', '(ที่ - SCONJ)', '(น่ารังเกียจ - NOUN)', '(<s/> - PUNCT)']]","{'(จุด - NOUN)': 1, '(การ - NOUN)': 2, '(วัด - NOUN)': 1, '(รายละเอียด - NOUN)': 1, '(ยอด - NOUN)': 1, '(คอมเพล็กซ์ - NOUN)': 1, '(แห่ง - NOUN)': 1, '(ปิ้ง - NOUN)': 1, '(สถานที่ - NOUN)': 1, '(เครื่องดื่ม - NOUN)': 1, '(ความร้อน - NOUN)': 1, '(น่ารังเกียจ - NOUN)': 1}",12,13,"{'(เป็น - VERB)': 1, '(ทัวร์ - VERB)': 1, '(ดี - VERB)': 2, '(งดงาม - VERB)': 1, '(พร้อม - VERB)': 1, '(ซับซ้อน - VERB)': 1, '(มี - VERB)': 1, '(ช็อป - VERB)': 1, '(ขัดขวาง - VERB)': 1, '(ลด - VERB)': 1}",10,11,"{'(เดียว - ADJ)': 1, '(แหลม - ADJ)': 1, '(สูง - ADJ)': 1, '(เย็น - ADJ)': 1}",4,4,"{'(อย่างยิ่ง - ADV)': 1, '(มากมาย - ADV)': 1, '(ตระหง่าน - ADV)': 1, '(ค่อนข้าง - ADV)': 1, '(เช่นกัน - ADV)': 1, '(หลาย - ADV)': 1}",6,6
"[['(วัด - NOUN)', '(ฉลอง - VERB)', '(เป็น - VERB)', '(สถานที่ - NOUN)', '(ที่ - SCONJ)', '(ดี - VERB)', '(ใน - ADP)', '(การ - NOUN)', '(เยี่ยม - VERB)', '(ชม - VERB)', '(ถ้า - SCONJ)', '(คุณ - NOUN)', '(ไป - VERB)', '(ที่ - ADP)', '(ภูเก็ต - PROPN)', '(<s/> - PUNCT)'], ['(มัน - PRON)', '(เป็น - VERB)', '(สถานที่ - NOUN)', '(ที่ - SCONJ)', '(ดี - VERB)', '(สำหรับ - ADP)', '(ภาพ - NOUN)', '(ที่ - SCONJ)', '(ดี - VERB)', '(และ - CCONJ)', '(เพื่อ - SCONJ)', '(ดู - VERB)', '(ศาสนา - NOUN)', '(และ - CCONJ)', '(วัฒนธรรม - NOUN)', '(อีก - ADV)', '(เล็กน้อย - ADV)', '(<s/> - PUNCT)']]","{'(วัด - NOUN)': 1, '(สถานที่ - NOUN)': 2, '(การ - NOUN)': 1, '(คุณ - NOUN)': 1, '(ภาพ - NOUN)': 1, '(ศาสนา - NOUN)': 1, '(วัฒนธรรม - NOUN)': 1}",7,8,"{'(ฉลอง - VERB)': 1, '(เป็น - VERB)': 2, '(ดี - VERB)': 3, '(เยี่ยม - VERB)': 1, '(ชม - VERB)': 1, '(ไป - VERB)': 1, '(ดู - VERB)': 1}",7,10,{},0,0,"{'(อีก - ADV)': 1, '(เล็กน้อย - ADV)': 1}",2,2
"[['(อาคาร - NOUN)', '(หลาย - NUM)', '(แห่ง - NOUN)', '(ที่ - SCONJ)', '(ควร - AUX)', '(เยี่ยม - VERB)', '(ชม - NOUN)', '(และ - CCONJ)', '(อาคาร - NOUN)', '(หลัก - ADJ)', '(ให้ - VERB)', '(ทัศนียภาพ - NOUN)', '(อัน - SCONJ)', '(งดงาม - ADJ)', '(ของ - ADP)', '(พื้นที่ - NOUN)', '(จาก - ADP)', '(ชั้น - NOUN)', '(<s/> - PUNCT)'], ['(3 - NUM)', '(<s/> - PUNCT)'], ['(ฉัน - PRON)', '(ไป - VERB)', '(เยี่ยม - VERB)', '(ชม - VERB)', '(วัด - NOUN)', '(แห่ง - NOUN)', '(นี้ - DET)', '(ซึ่ง - SCONJ)', '(เป็น - VERB)', '(ส่วนหนึ่ง - NOUN)', '(ของ - ADP)', '(ทัวร์ - NOUN)', '(หนึ่ง - NUM)', '(วัน - NOUN)', '(กับ - ADP)', '(พระพุทธรูป - NOUN)', '(ฉลอง - ADJ)', '(ซึ่ง - SCONJ)', '(น่า - AUX)', '(ประทับใจ - VERB)', '(มาก - ADV)', '(<s/> - PUNCT)']]","{'(อาคาร - NOUN)': 2, '(แห่ง - NOUN)': 2, '(ชม - NOUN)': 1, '(ทัศนียภาพ - NOUN)': 1, '(พื้นที่ - NOUN)': 1, '(ชั้น - NOUN)': 1, '(วัด - NOUN)': 1, '(ส่วนหนึ่ง - NOUN)': 1, '(ทัวร์ - NOUN)': 1, '(วัน - NOUN)': 1, '(พระพุทธรูป - NOUN)': 1}",11,13,"{'(เยี่ยม - VERB)': 2, '(ให้ - VERB)': 1, '(ไป - VERB)': 1, '(ชม - VERB)': 1, '(เป็น - VERB)': 1, '(ประทับใจ - VERB)': 1}",6,7,"{'(หลัก - ADJ)': 1, '(งดงาม - ADJ)': 1, '(ฉลอง - ADJ)': 1}",3,3,{'(มาก - ADV)': 1},1,1
