comment,noun,noun_count,sum_noun,verb,verb_count,sum_verb,adj,adj_count,sum_adj,adv,adv_count,sum_adv
"[['(ดี - ADJ)'], ['(แต่ - CCONJ)', '(ค่อนข้าง - VERB)', '(แออัด - NOUN)'], ['(หาด - NOUN)', '(อื่นๆ - PROPN)'], ['(ใน - ADP)', '(บริเวณ - NOUN)', '(ใกล้เคียง - ADV)', '(นั้น - DET)', '(ดี - ADJ)', '(กว่า - ADV)']]","{'(แออัด - NOUN)': 1, '(หาด - NOUN)': 1, '(บริเวณ - NOUN)': 1}",3,3,{'(ค่อนข้าง - VERB)': 1},1,1,{'(ดี - ADJ)': 2},1,2,"{'(ใกล้เคียง - ADV)': 1, '(กว่า - ADV)': 1}",2,2
"[['(ทราย - NOUN)', '(ที่ - DET)', '(ดี - ADJ)', '(แออัด - ADV)', '(มาก - ADV)'], ['(น้ำ - NOUN)', '(*ชัดเจน - ADJ)', '(จริงๆ - NOUN)'], ['(ฉัน - PRON)', '(เคย - PART)', '(มี - VERB)', '(คลื่น - NOUN)'], ['(แต่ - CCONJ)', '(โดย - ADP)', '(รวม - VERB)', '(แล้ว - PART)', '(เป็น - AUX)', '(ชายหาด - NOUN)', '(ที่ - DET)', '(สนุก - VERB)']]","{'(ทราย - NOUN)': 1, '(น้ำ - NOUN)': 1, '(จริงๆ - NOUN)': 1, '(คลื่น - NOUN)': 1, '(ชายหาด - NOUN)': 1}",5,5,"{'(มี - VERB)': 1, '(รวม - VERB)': 1, '(สนุก - VERB)': 1}",3,3,"{'(ดี - ADJ)': 1, '(*ชัดเจน - ADJ)': 1}",2,2,"{'(แออัด - ADV)': 1, '(มาก - ADV)': 1}",2,2
"[['(แออัด - PROPN)'], ['(แต่ - CCONJ)', '(ดี - ADJ)']]",{},0,0,{},0,0,{'(ดี - ADJ)': 1},1,1,{},0,0
"[['(หาด - NOUN)', '(สวย - NOUN)'], ['(แออัด - PROPN)', '(น้อย - ADV)', '(ถ้า - ADP)', '(คุณ - PRON)', '(เดิน - VERB)', '(ไป - PART)', '(อีกหน่อย - ADV)']]","{'(หาด - NOUN)': 1, '(สวย - NOUN)': 1}",2,2,{'(เดิน - VERB)': 1},1,1,{},0,0,"{'(น้อย - ADV)': 1, '(อีกหน่อย - ADV)': 1}",2,2
"[['(ชายหาด - NOUN)', '(สวย - VERB)', '(ดี - ADJ)'], ['(*เห็น - VERB)', '(ขยะ - NOUN)', '(ใดๆ - ADJ)'], ['(กิจกรรม - NOUN)', '(ทาง - ADP)', '(น้ำ - NOUN)', '(มากมาย - ADJ)'], ['(เก้าอี้ - NOUN)', '(อาบแดด - PROPN)']]","{'(ชายหาด - NOUN)': 1, '(ขยะ - NOUN)': 1, '(กิจกรรม - NOUN)': 1, '(น้ำ - NOUN)': 1, '(เก้าอี้ - NOUN)': 1}",5,5,"{'(สวย - VERB)': 1, '(*เห็น - VERB)': 1}",2,2,"{'(ดี - ADJ)': 1, '(ใดๆ - ADJ)': 1, '(มากมาย - ADJ)': 1}",3,3,{},0,0
"[['(สิ่ง - NOUN)', '(ที่ - DET)', '(ดี - ADJ)', '(. - ADV)']]",{'(สิ่ง - NOUN)': 1},1,1,{},0,0,{'(ดี - ADJ)': 1},1,1,{'(. - ADV)': 1},1,1
"[['(ชายหาด - NOUN)', '(ที่ - DET)', '(ดี - ADJ)'], ['(ค่อนข้าง - NOUN)', '(แออัด - NOUN)'], ['(แต่ - CCONJ)', '(*แออัด - VERB)', '(อย่าง - ADP)', '(ที่ - ADP)', '(ฉัน - PRON)', '(คาด - VERB)', '(ไว้ - ADV)'], ['(มี - VERB)', '(อะไร - PRON)', '(ให้ - VERB)', '(ทำ - VERB)', '(มากมาย - NOUN)', '(บน - ADP)', '(ถนน - NOUN)', '(หลาย - DET)', '(สาย - NOUN)', '(ที่อยู่ - VERB)', '(ใกล้ - ADP)', '(ๆ - SYM)'], ['(เช่นกัน - PROPN)']]","{'(ชายหาด - NOUN)': 1, '(ค่อนข้าง - NOUN)': 1, '(แออัด - NOUN)': 1, '(มากมาย - NOUN)': 1, '(ถนน - NOUN)': 1, '(สาย - NOUN)': 1}",6,6,"{'(*แออัด - VERB)': 1, '(คาด - VERB)': 1, '(มี - VERB)': 1, '(ให้ - VERB)': 1, '(ทำ - VERB)': 1, '(ที่อยู่ - VERB)': 1}",6,6,{'(ดี - ADJ)': 1},1,1,{'(ไว้ - ADV)': 1},1,1
"[['(แออัด - PROPN)', '(ไป - PART)', '(ด้วย - ADP)', '(กิจกรรม - NOUN)', '(มากมาย - ADJ)'], ['(คนใน - VERB)', '(ท้องถิ่น - NOUN)', '(ที่ - DET)', '(ทำ - VERB)', '(กิจกรรม - NOUN)', '(ชายหาด - NOUN)', '(นั้น - DET)', '(หยาบคาย - NOUN)', '(และ - CCONJ)', '(หยิ่งผยอง - NOUN)']]","{'(กิจกรรม - NOUN)': 2, '(ท้องถิ่น - NOUN)': 1, '(ชายหาด - NOUN)': 1, '(หยาบคาย - NOUN)': 1, '(หยิ่งผยอง - NOUN)': 1}",5,6,"{'(คนใน - VERB)': 1, '(ทำ - VERB)': 1}",2,2,{'(มากมาย - ADJ)': 1},1,1,{},0,0
"[['(ชายหาด - NOUN)', '(ที่ - DET)', '(สวยงาม - ADJ)', '(พร้อม - VERB)', '(น้ำทะเล - NOUN)', '(ใส - ADJ)'], ['(มี - VERB)', '(กิจกรรม - NOUN)', '(กีฬา - NOUN)', '(ทาง - ADP)', '(น้ำ - NOUN)', '(มากมาย - ADJ)'], ['(มัน - PRON)', '(คุ้มค่า - VERB)', '(ที่ - ADP)', '(จะ - VERB)', '(ไป - PART)', '(ที่นั่น - ADV)']]","{'(ชายหาด - NOUN)': 1, '(น้ำทะเล - NOUN)': 1, '(กิจกรรม - NOUN)': 1, '(กีฬา - NOUN)': 1, '(น้ำ - NOUN)': 1}",5,5,"{'(พร้อม - VERB)': 1, '(มี - VERB)': 1, '(คุ้มค่า - VERB)': 1, '(จะ - VERB)': 1}",4,4,"{'(สวยงาม - ADJ)': 1, '(ใส - ADJ)': 1, '(มากมาย - ADJ)': 1}",3,3,{'(ที่นั่น - ADV)': 1},1,1
"[['(ชายหาด - NOUN)', '(ที่ - DET)', '(สะอาด - ADJ)'], ['(ใช้ - VERB)', '(เวลา - NOUN)', '(ช่วง - NOUN)', '(บ่าย - NOUN)', '(ที่ - DET)', '(น่าอัศจรรย์ - VERB)']]","{'(ชายหาด - NOUN)': 1, '(เวลา - NOUN)': 1, '(ช่วง - NOUN)': 1, '(บ่าย - NOUN)': 1}",4,4,"{'(ใช้ - VERB)': 1, '(น่าอัศจรรย์ - VERB)': 1}",2,2,{'(สะอาด - ADJ)': 1},1,1,{},0,0
