id,PatongGoogle,PatongTrip,PromthepGoogle,PromthepTrip,WatGoogle,WatTrip
1,neg,pos,pos,pos,pos,pos
2,pos,pos,pos,pos,pos,pos
3,pos,pos,neg,pos,pos,pos
4,pos,pos,pos,pos,pos,pos
5,pos,pos,pos,pos,pos,pos
6,pos,neg,neg,pos,pos,pos
7,pos,pos,pos,pos,neg,pos
8,neg,pos,pos,pos,pos,pos
9,pos,pos,pos,pos,pos,pos
10,pos,pos,pos,pos,pos,pos
11,pos,pos,pos,pos,pos,pos
12,pos,pos,pos,pos,pos,pos
13,pos,pos,pos,pos,neg,pos
14,pos,neg,pos,pos,pos,pos
15,neg,neg,pos,pos,pos,pos
16,neg,pos,pos,pos,pos,pos
17,neg,neg,pos,pos,pos,pos
18,pos,pos,pos,pos,pos,pos
19,pos,neg,pos,pos,pos,pos
20,pos,pos,pos,pos,pos,pos
21,pos,neg,pos,pos,pos,pos
22,neg,pos,pos,pos,pos,pos
23,neg,pos,pos,pos,pos,pos
24,pos,pos,pos,pos,pos,pos
25,pos,pos,pos,pos,pos,pos
26,pos,pos,pos,pos,pos,pos
27,pos,pos,pos,pos,pos,pos
28,pos,pos,pos,pos,pos,pos
29,pos,pos,pos,pos,pos,pos
30,neg,neg,pos,pos,neg,pos
31,neg,pos,pos,pos,pos,pos
32,pos,neg,pos,pos,pos,pos
33,pos,pos,pos,pos,pos,pos
34,pos,pos,pos,pos,pos,pos
35,pos,pos,pos,pos,pos,pos
36,pos,pos,pos,pos,pos,pos
37,neg,pos,pos,neg,pos,pos
38,neg,neg,pos,pos,pos,pos
39,neg,neg,pos,pos,pos,pos
40,pos,neg,pos,pos,pos,pos
41,pos,pos,pos,pos,pos,pos
42,pos,pos,pos,pos,pos,pos
43,pos,pos,pos,pos,pos,pos
44,pos,pos,pos,pos,pos,pos
45,pos,pos,neg,pos,pos,pos
46,neg,neg,pos,pos,pos,pos
47,pos,neg,pos,pos,pos,pos
48,pos,pos,pos,pos,pos,pos
49,pos,pos,pos,pos,pos,pos
50,pos,pos,pos,pos,pos,pos
