id,PatongGoogle,PatongTrip,PromthepGoogle,PromthepTrip,WatGoogle,WatTrip
1,3,5,4,4,5,5
2,3,4,5,5,5,4
3,4,1,1,4,4,5
4,4,5,5,5,5,5
5,4,3,5,5,5,5
6,4,2,0,5,5,3
7,5,5,4,5,5,4
8,3,3,5,4,4,4
9,5,5,5,4,5,4
10,5,5,4,5,5,4
11,5,4,5,5,4,5
12,5,3,4,4,5,5
13,5,5,3,4,4,5
14,3,3,5,5,5,5
15,3,4,5,4,4,5
16,5,4,5,5,4,5
17,2,2,4,5,5,4
18,3,4,5,5,5,5
19,5,4,5,5,5,4
20,5,4,4,5,3,4
21,5,3,4,5,4,4
22,1,5,5,4,4,5
23,5,4,4,5,5,5
24,3,4,5,5,4,3
25,5,5,5,5,4,4
26,5,3,5,3,4,2
27,5,5,5,3,4,5
28,5,4,4,4,5,3
29,5,5,5,4,5,5
30,3,2,5,4,5,5
31,5,5,5,5,3,5
32,4,2,5,4,4,4
33,4,4,5,5,5,4
34,5,5,4,5,5,5
35,5,4,5,4,5,5
36,3,4,5,4,5,3
37,5,4,5,5,5,3
38,4,2,5,4,4,5
39,2,3,5,4,4,5
40,5,1,5,5,4,5
41,5,5,4,4,4,5
42,4,5,5,3,5,5
43,3,5,5,5,5,5
44,5,4,5,5,5,5
45,5,5,4,5,5,4
46,1,1,5,5,5,5
47,4,3,5,5,4,4
48,3,4,5,4,5,5
49,5,5,5,5,5,4
50,5,5,5,4,5,3
