word,noun,position,range,index
(ดี - ADJ),(บริเวณ - NOUN),right,3,4
(*ชัดเจน - ADJ),(น้ำ - NOUN),right,1,1
(ดี - ADJ),(ชายหาด - NOUN),right,2,2
(มากมาย - ADJ),(น้ำ - NOUN),right,1,3
(มากมาย - ADJ),(กิจกรรม - NOUN),right,3,3
(ดี - ADJ),(สิ่ง - NOUN),right,2,2
(ดี - ADJ),(ชายหาด - NOUN),right,2,2
(มากมาย - ADJ),(กิจกรรม - NOUN),right,1,4
(สวยงาม - ADJ),(ชายหาด - NOUN),right,2,2
(มากมาย - ADJ),(น้ำ - NOUN),right,1,5
(มากมาย - ADJ),(กิจกรรม - NOUN),right,4,5
(มากมาย - ADJ),(กีฬา - NOUN),right,3,5
(สะอาด - ADJ),(ชายหาด - NOUN),right,2,2
(ดี - ADJ),(คน - NOUN),right,1,4
(หลัก - ADJ),(ชายหาด - NOUN),right,1,2
(หลัก - ADJ),(ป่า - NOUN),left,1,2
(หลัก - ADJ),(พื้นที่ - NOUN),right,2,2
(ดี - ADJ),(น้ำ - NOUN),right,2,4
(สวยงาม - ADJ),(ชายหาด - NOUN),right,2,2
(สวยงาม - ADJ),(สถานที่ - NOUN),right,2,2
(สวยงาม - ADJ),(พระอาทิตย์ - NOUN),left,1,2
(ที่แล้ว - ADJ),(สถานที่ - NOUN),right,4,7
(มากมาย - ADJ),(กิจกรรม - NOUN),right,1,2
(มากมาย - ADJ),(พารา - NOUN),left,2,2
(ดี - ADJ),(ประสบการณ์ - NOUN),right,3,3
(งดงาม - ADJ),(ผู้คน - NOUN),left,4,3
(โดดเด่น - ADJ),(ผู้คน - NOUN),right,2,9
(ดี - ADJ),(ร้านอาหาร - NOUN),right,2,2
(มากมาย - ADJ),(การ - NOUN),left,3,1
(มากมาย - ADJ),(กิจกรรม - NOUN),right,1,1
(มากมาย - ADJ),(อาหาร - NOUN),right,1,2
(ดี - ADJ),(การ - NOUN),left,3,0
(ดี - ADJ),(ชายหาด - NOUN),right,2,2
(แน่นอน - ADJ),(เวลา - NOUN),left,3,12
(แปลก - ADJ),(เวลา - NOUN),right,2,17
(ส่วนใหญ่ - ADJ),(สถานที่ - NOUN),right,4,10
(ส่วนใหญ่ - ADJ),(พื้นที่ - NOUN),right,1,10
(เล็ก - ADJ),(ร้านค้า - NOUN),right,1,11
(หลากหลาย - ADJ),(ประสบการณ์ - NOUN),right,2,10
(ดี - ADJ),(แห่ง - NOUN),left,2,6
(สะอาด - ADJ),(ชายหาด - NOUN),right,2,3
(มากมาย - ADJ),(อาหาร - NOUN),right,2,4
(ร้อน - ADJ),(อาหาร - NOUN),right,2,10
(อื่นๆ - ADJ),(คน - NOUN),right,1,10
(มากมาย - ADJ),(บาร์ - NOUN),right,1,3
(สวยงาม - ADJ),(ชายหาด - NOUN),right,2,2
(สวยงาม - ADJ),(น้ำ - NOUN),left,2,2
(จริง - ADJ),(ราคา - NOUN),right,1,19
(มากมาย - ADJ),(สถานที่ - NOUN),right,2,3
(มากมาย - ADJ),(บริเวณ - NOUN),left,2,6
(ดี - ADJ),(ชายหาด - NOUN),right,2,2
(เหมาะ - ADJ),(การ - NOUN),left,2,2
(เหมาะ - ADJ),(สถานที่ - NOUN),right,2,2
(เหมาะ - ADJ),(เวลา - NOUN),left,4,2
(ดี - ADJ),(ชายหาด - NOUN),right,2,36
(ใหญ่ - ADJ),(น้ำ - NOUN),right,4,20
(ดี - ADJ),(ชายหาด - NOUN),right,4,5
(สวยงาม - ADJ),(ชายหาด - NOUN),right,2,2
(ดี - ADJ),(ร่ม - NOUN),right,4,29
(เหมาะสม - ADJ),(อาหาร - NOUN),right,2,4
(เหมาะสม - ADJ),(ราคา - NOUN),right,3,4
(สะอาด - ADJ),(ชายหาด - NOUN),right,2,2
(สวยงาม - ADJ),(ชายหาด - NOUN),right,2,2
(มากมาย - ADJ),(คุณ - NOUN),left,3,5
(มากมาย - ADJ),(วัน - NOUN),right,3,5
(*กี่ - ADJ),(การ - NOUN),left,3,3
(ใช้งาน - ADJ),(การ - NOUN),right,1,7
(*กี่ - ADJ),(บาท - NOUN),left,1,3
(ใช้งาน - ADJ),(บาท - NOUN),right,3,7
(ดี - ADJ),(ประสบการณ์ - NOUN),right,2,2
(หนัก - ADJ),(ท้องถิ่น - NOUN),right,3,6
(ดี - ADJ),(ป่า - NOUN),left,3,3
(ดี - ADJ),(หาด - NOUN),left,2,3
(ดี - ADJ),(ตอง - NOUN),left,4,3
(ยอดเยี่ยม - ADJ),(การ - NOUN),right,3,13
(ยอดเยี่ยม - ADJ),(ประสบการณ์ - NOUN),right,4,13
(แพง - ADJ),(ราคา - NOUN),right,1,2
(แพง - ADJ),(ประสบการณ์ - NOUN),right,2,2
(มากมาย - ADJ),(น้ำ - NOUN),right,1,7
(สมเหตุสมผล - ADJ),(ราคา - NOUN),right,2,18
(สวยงาม - ADJ),(ชายหาด - NOUN),right,2,2
(ดี - ADJ),(ชายหาด - NOUN),right,2,2
(ดี - ADJ),(การ - NOUN),left,2,2
(ดี - ADJ),(ชายหาด - NOUN),right,2,6
(ดี - ADJ),(คุณ - NOUN),left,4,6
(ดี - ADJ),(ตอง - NOUN),right,4,6
(ดี - ADJ),(ถนน - NOUN),left,2,6
(*กี่ - ADJ),(โรงแรม - NOUN),right,3,4
(*กี่ - ADJ),(แห่ง - NOUN),left,1,4
(*กี่ - ADJ),(บริเวณ - NOUN),left,3,4
(ส่วนตัว - ADJ),(ชายหาด - NOUN),right,3,9
(ส่วนตัว - ADJ),(ชายหาด - NOUN),left,3,9
(สวยงาม - ADJ),(ชายหาด - NOUN),right,2,7
(สวยงาม - ADJ),(คุณ - NOUN),left,1,7
(มากมาย - ADJ),(การ - NOUN),left,2,4
(มากมาย - ADJ),(ร้านอาหาร - NOUN),right,1,2
(มากมาย - ADJ),(คุณ - NOUN),left,2,8
(มากมาย - ADJ),(น้ำ - NOUN),right,1,8
(มากมาย - ADJ),(กิจกรรม - NOUN),right,3,8
(ดี - ADJ),(การ - NOUN),left,3,4
(เยี่ยม - ADJ),(การ - NOUN),right,1,8
(ดี - ADJ),(สถานที่ - NOUN),right,2,4
(ดี - ADJ),(พื้นที่ - NOUN),right,4,4
(ดี - ADJ),(การ - NOUN),left,2,8
(เยี่ยม - ADJ),(การ - NOUN),right,1,11
(ดี - ADJ),(บาร์ - NOUN),right,4,5
(สวยงาม - ADJ),(ชายหาด - NOUN),right,2,2
