word,noun,position,range,index
(ที่สุด - ADV),(สถานที่ - NOUN),right,3,3
(ขึ้น - ADV),(เวลา - NOUN),left,2,17
(กว่า - ADV),(สถานที่ - NOUN),right,3,5
(โดยเฉพาะอย่างยิ่ง - ADV),(ชายหาด - NOUN),left,3,6
(มากมาย - ADV),(ชายหาด - NOUN),right,3,12
(ที่สุด - ADV),(ชายหาด - NOUN),right,3,9
(จึง - ADV),(ชายหาด - NOUN),left,3,10
(ที่สุด - ADV),(หาด - NOUN),right,3,8
(เลย - ADV),(ป่า - NOUN),left,2,10
(เลย - ADV),(ตอง - NOUN),left,3,10
(ที่สุด - ADV),(ชายหาด - NOUN),right,4,4
(มาก - ADV),(น้ำ - NOUN),left,1,12
(เกินไป - ADV),(ถนน - NOUN),right,2,6
(มาก - ADV),(ชายหาด - NOUN),right,1,5
(เลย - ADV),(สถานที่ - NOUN),right,3,5
