noun,count
(ชายหาด - NOUN),116
(คุณ - NOUN),81
(การ - NOUN),40
(น้ำ - NOUN),34
(สถานที่ - NOUN),31
(ป่า - NOUN),24
(หาด - NOUN),23
(อาหาร - NOUN),22
(ตอง - NOUN),20
(กิจกรรม - NOUN),18
(คน - NOUN),18
(เก้าอี้ - NOUN),16
(เวลา - NOUN),15
(ถนน - NOUN),14
(บาท - NOUN),14
(ราคา - NOUN),13
(เครื่องดื่ม - NOUN),12
(พื้นที่ - NOUN),11
(ร้านอาหาร - NOUN),11
(ประสบการณ์ - NOUN),10
(ผู้คน - NOUN),10
(ท้องถิ่น - NOUN),9
(กีฬา - NOUN),9
(พระอาทิตย์ - NOUN),9
(โรงแรม - NOUN),9
(ร่ม - NOUN),9
(จังหวัด - NOUN),8
(พารา - NOUN),8
(วัน - NOUN),8
(คลื่น - NOUN),7
(สิ่ง - NOUN),7
(ลา - NOUN),7
(ประเทศ - NOUN),7
(ร้านค้า - NOUN),7
(แห่ง - NOUN),7
(บาร์ - NOUN),7
(บริการ - NOUN),7
(บริเวณ - NOUN),6
(ช่วง - NOUN),6
(ความ - NOUN),6
(เซล - NOUN),6
(อื่นๆ - NOUN),6
(นักท่องเที่ยว - NOUN),6
(อย่าง - NOUN),6
(ที่ - NOUN),6
(วันหยุด - NOUN),6
(ตลาด - NOUN),5
(เรือ - NOUN),5
(ลูก - NOUN),5
(เจ็ทสกี - NOUN),5
(ทะเล - NOUN),5
(ครั้ง - NOUN),5
(อาบแดด - NOUN),4
(น่าอัศจรรย์ - NOUN),4
(ดวงอาทิตย์ - NOUN),4
(มหาด - NOUN),4
(ตัวเลือก - NOUN),4
(เกาะ - NOUN),4
(จุด - NOUN),4
(วิว - NOUN),4
(ตัว - NOUN),4
(นาที - NOUN),4
(กล้วย - NOUN),4
(หาดทราย - NOUN),4
(ว่ายน้ำ - NOUN),4
(ผู้ขาย - NOUN),4
(ความสุข - NOUN),4
(จริงๆ - NOUN),3
(แออัด - NOUN),3
(สิ่งอำนวยความสะดวก - NOUN),3
(กลิ่น - NOUN),3
