noun,count
(ชายหาด - NOUN),57
(คุณ - NOUN),40
(การ - NOUN),18
(น้ำ - NOUN),16
(สถานที่ - NOUN),14
(อาหาร - NOUN),10
(กิจกรรม - NOUN),9
(เวลา - NOUN),9
(หาด - NOUN),8
(ถนน - NOUN),7
(กีฬา - NOUN),7
(บาท - NOUN),7
(คน - NOUN),6
(พื้นที่ - NOUN),6
(ป่า - NOUN),6
(ประสบการณ์ - NOUN),6
(โรงแรม - NOUN),6
(เครื่องดื่ม - NOUN),6
(ราคา - NOUN),6
(คลื่น - NOUN),5
(เก้าอี้ - NOUN),5
(ความ - NOUN),5
(จังหวัด - NOUN),5
(พารา - NOUN),5
(บริเวณ - NOUN),4
(ท้องถิ่น - NOUN),4
(แห่ง - NOUN),4
(บริการ - NOUN),4
(ตอง - NOUN),4
(สิ่ง - NOUN),3
(ช่วง - NOUN),3
(ตลาด - NOUN),3
(ลา - NOUN),3
(พระอาทิตย์ - NOUN),3
(ร้านค้า - NOUN),3
(ร้านอาหาร - NOUN),3
(บาร์ - NOUN),3
(สถานบันเทิง - NOUN),3
(เซล - NOUN),3
(วิว - NOUN),3
(ตัว - NOUN),3
(นักท่องเที่ยว - NOUN),3
(ชีวิตชีวา - NOUN),3
(ที่ - NOUN),3
(วัน - NOUN),3
(จริงๆ - NOUN),2
(แออัด - NOUN),2
(อาบแดด - NOUN),2
(คนใน - NOUN),2
(น้ำทะเล - NOUN),2
(น่าอัศจรรย์ - NOUN),2
(ปัญหา - NOUN),2
(กลิ่น - NOUN),2
(เมือง - NOUN),2
(ประเทศ - NOUN),2
(คา - NOUN),2
(รอน - NOUN),2
(ชื่อเสียง - NOUN),2
(ร่อน - NOUN),2
(เรือ - NOUN),2
(ดวงอาทิตย์ - NOUN),2
(ที่นั่ง - NOUN),2
(ข้าง - NOUN),2
(น้ำมะพร้าว - NOUN),2
(ลูก - NOUN),2
(ผู้คน - NOUN),2
(ปาร์ตี้ - NOUN),2
(เดือนธันวาคม - NOUN),2
(อากาศ - NOUN),2
(เงิน - NOUN),2
(ระยะทาง - NOUN),2
(ตัวเลือก - NOUN),2
(ระยะ - NOUN),2
(อื่นๆ - NOUN),2
(จุด - NOUN),2
(ไม่ใช่ - NOUN),2
(รถ - NOUN),2
(นาที - NOUN),2
(ผ้าขนหนู - NOUN),2
(กล้วย - NOUN),2
(ทอด - NOUN),2
(แว่นตา - NOUN),2
(กันแดด - NOUN),2
(หาดทราย - NOUN),2
(ผลไม้ - NOUN),2
(ตอนเย็น - NOUN),2
(อย่าง - NOUN),2
(น้ำลง - NOUN),2
(ยาม - NOUN),2
(ค่ำคืน - NOUN),2
(ร่ม - NOUN),2
(ขา - NOUN),2
(ว่ายน้ำ - NOUN),2
(รีสอร์ท - NOUN),2
(ทะเล - NOUN),2
(ทราย - NOUN),1
(ขยะ - NOUN),1
(สาย - NOUN),1
(หยิ่งผยอง - NOUN),1
(บ่าย - NOUN),1
(สิ่งอำนวยความสะดวก - NOUN),1
(ดี - NOUN),1
(ห้า - NOUN),1
(ดาว - NOUN),1
(พลาสติก - NOUN),1
(นัก - NOUN),1
(น่าขยะแขยง - NOUN),1
(หลัก - NOUN),1
(สถานที่ท่องเที่ยว - NOUN),1
(น่าตื่นตาตื่นใจ - NOUN),1
(กรณี - NOUN),1
(เดือน - NOUN),1
(ขี่ - NOUN),1
(เชือก - NOUN),1
(แสง - NOUN),1
(ที่อยู่ - NOUN),1
(ฟลุต - NOUN),1
(ที่นี่ - NOUN),1
(พฤติกรรม - NOUN),1
(สภาพแวดล้อม - NOUN),1
(ตอนกลางคืน - NOUN),1
(ริมทะเล - NOUN),1
