noun,count
(ชายหาด - NOUN),59
(คุณ - NOUN),41
(การ - NOUN),22
(ป่า - NOUN),18
(น้ำ - NOUN),18
(สถานที่ - NOUN),17
(ตอง - NOUN),16
(หาด - NOUN),15
(อาหาร - NOUN),12
(คน - NOUN),12
(เก้าอี้ - NOUN),11
(กิจกรรม - NOUN),9
(ร้านอาหาร - NOUN),8
(ผู้คน - NOUN),8
(ราคา - NOUN),7
(บาท - NOUN),7
(ถนน - NOUN),7
(ร่ม - NOUN),7
(เครื่องดื่ม - NOUN),6
(พระอาทิตย์ - NOUN),6
(เวลา - NOUN),6
(ท้องถิ่น - NOUN),5
(วันหยุด - NOUN),5
(พื้นที่ - NOUN),5
(ครั้ง - NOUN),5
(ประเทศ - NOUN),5
(วัน - NOUN),5
(บาร์ - NOUN),4
(ร้านค้า - NOUN),4
(สิ่ง - NOUN),4
(เจ็ทสกี - NOUN),4
(อย่าง - NOUN),4
(ลา - NOUN),4
(ประสบการณ์ - NOUN),4
(อื่นๆ - NOUN),4
(ความสุข - NOUN),4
(ครอบครัว - NOUN),3
(ภูเก็ต - NOUN),3
(พารา - NOUN),3
(เซล - NOUN),3
(ปีใหม่ - NOUN),3
(ช่วง - NOUN),3
(มหาด - NOUN),3
(จังหวัด - NOUN),3
(ลูก - NOUN),3
(จำนวน - NOUN),3
(นักท่องเที่ยว - NOUN),3
(เกาะ - NOUN),3
(โลก - NOUN),3
(แห่ง - NOUN),3
(ที่ - NOUN),3
(เรือ - NOUN),3
(โรงแรม - NOUN),3
(ทะเล - NOUN),3
(ผู้ขาย - NOUN),3
(บริการ - NOUN),3
(ร้าน - NOUN),3
(ตัวเลือก - NOUN),2
(ริมถนน - NOUN),2
(โอกาส - NOUN),2
(น่าอัศจรรย์ - NOUN),2
(หิน - NOUN),2
(น่ารัก - NOUN),2
(คลื่น - NOUN),2
(เตียง - NOUN),2
(อาบแดด - NOUN),2
(ร่มเงา - NOUN),2
(เลา - NOUN),2
(นจ์ - NOUN),2
(มุม - NOUN),2
(เรือใบ - NOUN),2
(หาดทราย - NOUN),2
(ริ - NOUN),2
(สิ่งอำนวยความสะดวก - NOUN),2
(สระว่ายน้ำ - NOUN),2
(สระน้ำ - NOUN),2
(เด็กๆ - NOUN),2
(กล้วย - NOUN),2
(บริเวณ - NOUN),2
(กีฬา - NOUN),2
(นาที - NOUN),2
(ว่ายน้ำ - NOUN),2
(ไอศ - NOUN),2
(ครีม - NOUN),2
(ยา - NOUN),2
(กระโดดร่ม - NOUN),2
(ส่วนใหญ่ - NOUN),2
(รถเข็น - NOUN),2
(ตลาด - NOUN),2
(ลูกชาย - NOUN),2
(มิตร - NOUN),2
(ดวงอาทิตย์ - NOUN),2
(จุด - NOUN),2
(ข้อมูล - NOUN),1
(เน็ต - NOUN),1
(สงบ - NOUN),1
(น่าตื่นเต้น - NOUN),1
(ทำเล - NOUN),1
(หยุดพัก - NOUN),1
(ปาร์ตี้ - NOUN),1
(นัด - NOUN),1
(เดท - NOUN),1
(การจราจร - NOUN),1
(ระยะทาง - NOUN),1
(ฉาก - NOUN),1
(บอนด์ - NOUN),1
(กิโลเมตร - NOUN),1
(ไม่ใช่ - NOUN),1
(สวรรค์ - NOUN),1
(ค่า - NOUN),1
(รน - NOUN),1
(กะ - NOUN),1
(นโยบาย - NOUN),1
(สูบบุหรี่ - NOUN),1
(ตอนนี้ - NOUN),1
(รสชาติ - NOUN),1
(เค - NOUN),1
(บับ - NOUN),1
(ไก่ - NOUN),1
(มันฝรั่ง - NOUN),1
(เสียบ - NOUN),1
(ไม้ - NOUN),1
(ผู้มีชื่อเสียง - NOUN),1
(แพทริค - NOUN),1
(รอยสัก - NOUN),1
(แปด - NOUN),1
(ขนาด - NOUN),1
(แว่นตา - NOUN),1
(กันแดด - NOUN),1
(เครื่องประดับ - NOUN),1
(รีวิว - NOUN),1
(คาด - NOUN),1
(ตอนเช้า - NOUN),1
(กลางคืน - NOUN),1
(คำพูด - NOUN),1
(ของปลอม - NOUN),1
(ชาวยุโรป - NOUN),1
(สินค้า - NOUN),1
(ข้อ - NOUN),1
(ฟรี - NOUN),1
(หัว - NOUN),1
(พัทยา - NOUN),1
(ช้าง - NOUN),1
(ชื่อ - NOUN),1
(ตง - NOUN),1
(รองเท้าแตะ - NOUN),1
(พริบตา - NOUN),1
(บรรยากาศ - NOUN),1
(ตอนกลางคืน - NOUN),1
(คลับ - NOUN),1
(ฝักบัว - NOUN),1
(ห้องน้ำ - NOUN),1
(ทะเลอันดามัน - NOUN),1
(คนรัก - NOUN),1
(วันคริสต์มาส - NOUN),1
(เก้า - NOUN),1
(ต้น - NOUN),1
(ที่ว่าง - NOUN),1
(หมู่ - NOUN),1
(นักว่ายน้ำ - NOUN),1
(ร้านกาแฟ - NOUN),1
(สัปดาห์ - NOUN),1
(จอห์น - NOUN),1
(ที่นั่น - NOUN),1
(เงียบสงบ - NOUN),1
(คืน - NOUN),1
(เครื่องเล่น - NOUN),1
(ชนิด - NOUN),1
(แล่น - NOUN),1
(รับประทานอาหาร - NOUN),1
(ลิง - NOUN),1
(ห้อง - NOUN),1
(ที่นี่ - NOUN),1
(เจ็ต - NOUN),1
(สกี - NOUN),1
(ลูกสาว - NOUN),1
(จริงๆ - NOUN),1
(แพนเค้ก - NOUN),1
(มีเสียง - NOUN),1
(คู่รัก - NOUN),1
(สมบูรณ์แบบ - NOUN),1
(นำเสนอ - NOUN),1
(ประเภท - NOUN),1
(อ่างอาบน้ำ - NOUN),1
(ขายของ - NOUN),1
(เย็น - NOUN),1
(แว่นกันแดด - NOUN),1
(ต่างชาติ - NOUN),1
(บันทึกการเดินทาง - NOUN),1
(ที่มา - NOUN),1
(เวีย - NOUN),1
(กลิ่น - NOUN),1
(นักธุรกิจ - NOUN),1
(พัก - NOUN),1
(โอ - NOUN),1
(รีสอร์ท - NOUN),1
(ขี่ - NOUN),1
(เรือยาว - NOUN),1
(ทริป - NOUN),1
(สถานที่ท่องเที่ยว - NOUN),1
(ทั้งหมด - NOUN),1
(ร่มชูชีพ - NOUN),1
(ออกอากาศ - NOUN),1
(น่าขยะแขยง - NOUN),1
(วินาที - NOUN),1
(อย่างเช่น - NOUN),1
(ฤดูท่องเที่ยว - NOUN),1
(น้ำผลไม้ - NOUN),1
(พ่อค้า - NOUN),1
(ยอดเยี่ยม - NOUN),1
(เอเชีย - NOUN),1
(อาหารทะเล - NOUN),1
(มื้อ - NOUN),1
(กลางวัน - NOUN),1
(มื้อค่ำ - NOUN),1
(อากาศ - NOUN),1
(ฤดูหนาว - NOUN),1
(เดือน - NOUN),1
(ตอน - NOUN),1
(เหนือ - NOUN),1
(เจ้าหน้าที่ - NOUN),1
(ความปลอดภัย - NOUN),1
(วันที่ - NOUN),1
(แออัด - NOUN),1
(หลานสาว - NOUN),1
(ชื่อเสียง - NOUN),1
(ผู้ - NOUN),1
(น่าจะ - NOUN),1
(ขยะ - NOUN),1
(เสียง - NOUN),1
(บนสวรรค์ - NOUN),1
(สา - NOUN),1
(อายุ - NOUN),1
(ขวบ - NOUN),1
(เดินผ่าน - NOUN),1
(ชาวบ้าน - NOUN),1
(พึมพำ - NOUN),1
(ทัศนคติ - NOUN),1
(sh * t - NOUN),1
(เออ - NOUN),1
(เบล - NOUN),1
(ทราย - NOUN),1
(ผ้าเช็ดตัว - NOUN),1
(ผู้หญิง - NOUN),1
(ผลไม้ - NOUN),1
(สมเหตุสมผล - NOUN),1
(จอง - NOUN),1
(ค่าธรรมเนียม - NOUN),1
(ตัว - NOUN),1
(สิทธิพิเศษ - NOUN),1
(ความรู้ - NOUN),1
(ภาษา - NOUN),1
(แสงอาทิตย์ - NOUN),1
(ผิว - NOUN),1
(เสื้อผ้า - NOUN),1
(ห้า - NOUN),1
(กิโลกรัม - NOUN),1
(เงินได้ - NOUN),1
(เอ็ด - NOUN),1
(แคนาดา - NOUN),1
(อย่างน้อย - NOUN),1
(ร้านขายยา - NOUN),1
