noun,count
(วัด - NOUN),62
(คุณ - NOUN),53
(สถานที่ - NOUN),37
(การ - NOUN),36
(เวลา - NOUN),13
(พระพุทธรูป - NOUN),11
(ความ - NOUN),11
(สถาปัตยกรรม - NOUN),10
(แห่ง - NOUN),9
(คน - NOUN),9
(อาคาร - NOUN),8
(ผู้คน - NOUN),6
(ของวัด - NOUN),6
(ท้องถิ่น - NOUN),6
(จังหวัด - NOUN),6
(สิ่ง - NOUN),6
(ศาสนา - NOUN),5
(องค์ - NOUN),5
(นักท่องเที่ยว - NOUN),5
(พระพุทธเจ้า - NOUN),5
(พื้นที่ - NOUN),4
(ราคา - NOUN),4
(แครก - NOUN),4
(เกอร์ - NOUN),4
(เสื้อผ้า - NOUN),4
(อย่าง - NOUN),4
(พิธีกรรม - NOUN),4
(พระวิหาร - NOUN),4
(วัฒนธรรม - NOUN),4
(ชั่วโมง - NOUN),4
(ตัว - NOUN),3
(ส่วน - NOUN),3
(รองเท้า - NOUN),3
(ที่ - NOUN),3
(บรรยากาศ - NOUN),3
(ประสบการณ์ - NOUN),3
(ด้าน - NOUN),3
(ประเทศ - NOUN),3
(มุมมอง - NOUN),3
(ไหล่ - NOUN),3
(คนใน - NOUN),3
(สถานที่ท่องเที่ยว - NOUN),3
(ช่วงเวลา - NOUN),3
(คอมเพล็กซ์ - NOUN),3
(ความสุข - NOUN),3
(ความสำคัญ - NOUN),3
(วัน - NOUN),2
(ทิวทัศน์ - NOUN),2
(วินัย - NOUN),2
(ภูเขา - NOUN),2
(ค่าธรรมเนียม - NOUN),2
(อิฐ - NOUN),2
(เยี่ยม - NOUN),2
(ตอนเช้า - NOUN),2
(ช่วง - NOUN),2
(สมาธิ - NOUN),2
(เกาะ - NOUN),2
(จำนวน - NOUN),2
(บริเวณ - NOUN),2
(ส่วนลด - NOUN),2
(รายการ - NOUN),2
(คำ - NOUN),2
(กระโปรง - NOUN),2
(รายละเอียด - NOUN),2
(วิว - NOUN),2
(อาหาร - NOUN),2
(วิหาร - NOUN),2
(หลัก - NOUN),2
(ครั้ง - NOUN),2
(ชาย - NOUN),2
(โชคดี - NOUN),2
(เมฆ - NOUN),2
(คำอธิบาย - NOUN),2
(ตา - NOUN),2
(แว่นกันแดด - NOUN),2
(ชื่อเสียง - NOUN),2
(สีสัน - NOUN),2
(หมวก - NOUN),2
(ระเบียบ - NOUN),2
(ชีวิต - NOUN),2
(ที่จอดรถ - NOUN),2
(รอบๆ - NOUN),2
(ปล่องไฟ - NOUN),2
(จุด - NOUN),2
(ไกด์ - NOUN),2
(ประวัติ - NOUN),2
(ขนาด - NOUN),2
(กอง - NOUN),2
(เสียง - NOUN),2
(คนขับ - NOUN),1
(ข้อเสนอ - NOUN),1
(ผลงาน - NOUN),1
(ชิ้นเอก - NOUN),1
(ศิลปะ - NOUN),1
(ปี - NOUN),1
(ที่นี่ - NOUN),1
(ฟรี - NOUN),1
(สถาปนิก - NOUN),1
(ถอด - NOUN),1
(โดม - NOUN),1
(ป.ล. - NOUN),1
(พก - NOUN),1
(ร่ม - NOUN),1
(ถุงเท้า - NOUN),1
(ผิว - NOUN),1
