ADJ,ADJ_COUNT,ADP,ADP_COUNT,ADV,ADV_COUNT,AUX,AUX_COUNT,CCONJ,CCONJ_COUNT,DET,DET_COUNT,INTJ,INTJ_COUNT,NOUN,NOUN_COUNT,NUM,NUM_COUNT,PART,PART_COUNT,PRON,PRON_COUNT,PROPN,PROPN_COUNT,PUNCT,PUNCT_COUNT,SCONJ,SCONJ_COUNT,SYM,SYM_COUNT,VERB,VERB_COUNT,X,X_COUNT
(*ดี - ADJ),2,(ใน - ADP),5,(ที่นี่ - ADV),2,(เป็น - AUX),1,(และ - CCONJ),6,(ที่ - DET),5, , ,(อย่า - NOUN),3, , ,(มา - PART),3,(ฉัน - PRON),3,(ไทย - PROPN),2, , , , ,(ๆ - SYM),1,(มี - VERB),3,(เป็น - AUX),1
(ดี - ADJ),2,(ที่ - ADP),3,(ที่สุด - ADV),2, , , , ,(บาง - DET),1, , ,(สถานที่ - NOUN),2, , ,(ไป - PART),3,(คุณ - PRON),3,(แออัด - PROPN),1, , , , , , ,(ให้ - VERB),3, , 
(ดัง - ADJ),1,(ของ - ADP),2,(จริงๆ - ADV),1, , , , ,(หลาย - DET),1, , ,(ประเทศ - NOUN),2, , ,(กำลัง - PART),1,(มัน - PRON),2, , , , , , , , ,(เลวร้าย - VERB),2, , 
(ใดๆ - ADJ),1,(เช่น - ADP),1,(สุด - ADV),1, , , , , , , , ,(คน - NOUN),2, , ,(ยัง - PART),1, , , , , , , , , , ,(จะ - VERB),2, , 
(อื่น - ADJ),1,(เพื่อ - ADP),1,(ไม่ว่า - ADV),1, , , , , , , , ,(การ - NOUN),2, , , , , , , , , , , , , , ,(น่าขยะแขยง - VERB),1, , 
(มากมาย - ADJ),1,(กับ - ADP),1,(เลย - ADV),1, , , , , , , , ,(น้ำ - NOUN),1, , , , , , , , , , , , , , ,(แออัด - VERB),1, , 
(ความสำคัญ - ADJ),1,(กว่า - ADP),1,(ขึ้น - ADV),1, , , , , , , , ,(กลิ่น - NOUN),1, , , , , , , , , , , , , , ,(เกินไป - VERB),1, , 
(ย้าย - ADJ),1, , ,(มาก - ADV),1, , , , , , , , ,(กรณี - NOUN),1, , , , , , , , , , , , , , ,(น่าเกลียด - VERB),1, , 
 , , , ,(กว่า - ADV),1, , , , , , , , ,(ชายหาด - NOUN),1, , , , , , , , , , , , , , ,(มีเสียง - VERB),1, , 
 , , , , , , , , , , , , , ,(หาด - NOUN),1, , , , , , , , , , , , , , ,(*แนะนำ - VERB),1, , 
 , , , , , , , , , , , , , ,(รอน - NOUN),1, , , , , , , , , , , , , , ,(ที่นั่น - VERB),1, , 
 , , , , , , , , , , , , , ,(ผู้คน - NOUN),1, , , , , , , , , , , , , , ,(แทน - VERB),1, , 
 , , , , , , , , , , , , , ,(อย่าง - NOUN),1, , , , , , , , , , , , , , ,(คา - VERB),1, , 
 , , , , , , , , , , , , , ,(เวลา - NOUN),1, , , , , , , , , , , , , , ,(*สะอาด - VERB),1, , 
 , , , , , , , , , , , , , ,(ประสบการณ์ - NOUN),1, , , , , , , , , , , , , , ,(รบกวน - VERB),1, , 
 , , , , , , , , , , , , , ,(ชีวิต - NOUN),1, , , , , , , , , , , , , , ,(พยายาม - VERB),1, , 
 , , , , , , , , , , , , , ,(รถยนต์ - NOUN),1, , , , , , , , , , , , , , ,(ขาย - VERB),1, , 
 , , , , , , , , , , , , , ,(จักรยาน - NOUN),1, , , , , , , , , , , , , , ,(กลางคืน - VERB),1, , 
 , , , , , , , , , , , , , ,(คนเดินเท้า - NOUN),1, , , , , , , , , , , , , , ,(ปีใหม่ - VERB),1, , 
 , , , , , , , , , , , , , ,(ทารุณ - NOUN),1, , , , , , , , , , , , , , ,(ผู้ควบคุม - VERB),1, , 
 , , , , , , , , , , , , , ,(เด็กๆ - NOUN),1, , , , , , , , , , , , , , ,(การจราจร - VERB),1, , 
 , , , , , , , , , , , , , ,(ฝันร้าย - NOUN),1, , , , , , , , , , , , , , ,(กรีดร้อง - VERB),1, , 
 , , , , , , , , , , , , , ,(ป่า - NOUN),1, , , , , , , , , , , , , , ,(ย้าย - VERB),1, , 
 , , , , , , , , , , , , , ,(ภูเก็ต - NOUN),1, , , , , , , , , , , , , , ,(ผลักดัน - VERB),1, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,(ได้รับ - VERB),1, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,(ร้องไห้ - VERB),1, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,(ทำลาย - VERB),1, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,(เดินทาง - VERB),1, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,(ตอง - VERB),1, , 
