ADJ,ADJ_COUNT,ADP,ADP_COUNT,ADV,ADV_COUNT,AUX,AUX_COUNT,CCONJ,CCONJ_COUNT,DET,DET_COUNT,INTJ,INTJ_COUNT,NOUN,NOUN_COUNT,NUM,NUM_COUNT,PART,PART_COUNT,PRON,PRON_COUNT,PROPN,PROPN_COUNT,PUNCT,PUNCT_COUNT,SCONJ,SCONJ_COUNT,SYM,SYM_COUNT,VERB,VERB_COUNT,X,X_COUNT
(ดี - ADJ),26,(ใน - ADP),34,(มาก - ADV),20,(เป็น - AUX),18,(และ - CCONJ),56,(ที่ - DET),75, , ,(ชายหาด - NOUN),56,(หนึ่ง - NUM),9,(ไป - PART),17,(คุณ - PRON),28,(แออัด - PROPN),4, - PUNCT),8, , ,(ๆ - SYM),7,(มี - VERB),30,(เป็น - AUX),18
(มากมาย - ADJ),13,(กับ - ADP),25,(ที่สุด - ADV),7,(ไม่ใช่ - AUX),1,(แต่ - CCONJ),22,(นี้ - DET),6, , ,(การ - NOUN),16,(สอง - NUM),8,(ได้ - PART),7,(ฉัน - PRON),15,(เช่นกัน - PROPN),4,(- - PUNCT),2, , , , ,(สามารถ - VERB),18,(ไม่ใช่ - AUX),1
(สวยงาม - ADJ),10,(สำหรับ - ADP),12,(มากมาย - ADV),6,(คือ - AUX),1,(หรือ - CCONJ),8,(นั้น - DET),4, , ,(น้ำ - NOUN),15,(สิบ - NUM),4,(ขึ้น - PART),4,(มัน - PRON),7,(เพลิดเพลิน - PROPN),4,(. - PUNCT),1, , , , ,(จะ - VERB),15,(คือ - AUX),1
(สะอาด - ADJ),4,(ทาง - ADP),10,(ก็ - ADV),6, , ,(กับ - CCONJ),2,(ทั้งหมด - DET),4, , ,(สถานที่ - NOUN),12,(สาม - NUM),3,(ลง - PART),3,(อะไร - PRON),3,(ที่นี่ - PROPN),3, , , , , , ,(อยู่ - VERB),9, , 
(อบอุ่น - ADJ),2,(ที่ - ADP),9,(ไว้ - ADV),5, , , , ,(ทุก - DET),4, , ,(อาหาร - NOUN),10,(ร้อย - NUM),2,(แล้ว - PART),2,(นี้ - PRON),3,(บาร์ - PROPN),3, , , , , , ,(ให้ - VERB),8, , 
(*กี่ - ADJ),2,(ใกล้ - ADP),9,(ใกล้เคียง - ADV),4, , , , ,(ทั้ง - DET),4, , ,(คุณ - NOUN),9,(ห้า - NUM),1,(ยังคง - PART),2,(ที่ - PRON),3,(สถานบันเทิง - PROPN),3, , , , , , ,(เพลิดเพลิน - VERB),8, , 
(*ชัดเจน - ADJ),1,(ของ - ADP),8,(น้อย - ADV),3, , , , ,(บาง - DET),3, , ,(กิจกรรม - NOUN),8,(7/11 - NUM),1,(มา - PART),2,(พวกเขา - PRON),3,(เซล - PROPN),3, , , , , , ,(เดิน - VERB),7, , 
(ใดๆ - ADJ),1,(หาก - ADP),7,(สะอาด - ADV),2, , , , ,(ที่นี่ - DET),2, , ,(เวลา - NOUN),8,(แปด - NUM),1,(ยัง - PART),2,(นี่ - PRON),3,(อื่นๆ - PROPN),2, , , , , , ,(ทำ - VERB),6, , 
(ใส - ADJ),1,(บน - ADP),6,(ยัง - ADV),2, , , , ,(ซึ่ง - DET),2, , ,(หาด - NOUN),7,(สี่ - NUM),1,(เคย - PART),1,(นั่น - PRON),2,(ปาร์ตี้ - PROPN),2, , , , , , ,(ต้องการ - VERB),6, , 
(พิเศษ - ADJ),1,(ถ้า - ADP),5,(กว่า - ADV),1, , , , ,(หลาย - DET),1, , ,(ถนน - NOUN),7, , ,(ไม่ได้ - PART),1,(ที่นี่ - PRON),1,(ไม่ใช่ - PROPN),2, , , , , , ,(ซื้อ - VERB),5, , 
(หลัก - ADJ),1,(อย่าง - ADP),5,(แออัด - ADV),1, , , , ,(อัน - DET),1, , ,(กีฬา - NOUN),7, , ,(กำลัง - PART),1,(นั่ง - PRON),1,(เครื่องดื่ม - PROPN),2, , , , , , ,(พร้อม - VERB),4, , 
(ที่แล้ว - ADJ),1,(เช่น - ADP),5,(อีกหน่อย - ADV),1, , , , ,(อีก - DET),1, , ,(ภูเก็ต - NOUN),7, , , , ,(ในทางกลับกัน - PRON),1,(อาบแดด - PROPN),1, , , , , , ,(*มี - VERB),4, , 
(งาม - ADJ),1,(โดย - ADP),4,(. - ADV),1, , , , , , , , ,(บาท - NOUN),7, , , , ,(ที่นั่น - PRON),1,(ดี - PROPN),1, , , , , , ,(สะอาด - VERB),4, , 
(งดงาม - ADJ),1,(จาก - ADP),4,(ที่นั่น - ADV),1, , , , , , , , ,(พื้นที่ - NOUN),6, , , , ,(เขา - PRON),1,(น่ากลัว - PROPN),1, , , , , , ,(ได้รับ - VERB),4, , 
(โดดเด่น - ADJ),1,(ด้วย - ADP),3,(อย่างยิ่ง - ADV),1, , , , , , , , ,(ราคา - NOUN),6, , , , ,(เอง - PRON),1,(โปรด - PROPN),1, , , , , , ,(ความ - VERB),4, , 
(อุ่น - ADJ),1,(ยัง - ADP),3,(แค่ - ADV),1, , , , , , , , ,(เก้าอี้ - NOUN),5, , , , , , ,(ฟลุต - PROPN),1, , , , , , ,(นำ - VERB),4, , 
(แน่นอน - ADJ),1,(ตลอด - ADP),3,(เกิน - ADV),1, , , , , , , , ,(ป่า - NOUN),5, , , , , , ,(เตอร์ - PROPN),1, , , , , , ,(ไป - VERB),4, , 
(แปลก - ADJ),1,(เพื่อ - ADP),3,(จริง - ADV),1, , , , , , , , ,(จังหวัด - NOUN),5, , , , , , ,(วิว - PROPN),1, , , , , , ,(เครื่องดื่ม - VERB),4, , 
(ส่วนใหญ่ - ADJ),1,(ตาม - ADP),3,(หน่อย - ADV),1, , , , , , , , ,(พารา - NOUN),5, , , , , , ,(โมง - PROPN),1, , , , , , ,(รับ - VERB),4, , 
(เล็ก - ADJ),1,(เมื่อ - ADP),2,(ตรงกลาง - ADV),1, , , , , , , , ,(ประสบการณ์ - NOUN),5, , , , , , ,(โรงแรม - PROPN),1, , , , , , ,(ค่อนข้าง - VERB),3, , 
(หลากหลาย - ADJ),1,(ก่อน - ADP),2,(ด้วย - ADV),1, , , , , , , , ,(บริเวณ - NOUN),4, , , , , , ,(โรตี - PROPN),1, , , , , , ,(รวม - VERB),3, , 
(สั้น - ADJ),1,(แห่ง - ADP),2,(เพียงแค่ - ADV),1, , , , , , , , ,(ท้องถิ่น - NOUN),4, , , , , , ,(จีน - PROPN),1, , , , , , ,(*แออัด - VERB),3, , 
(โรงแรม - ADJ),1,(กว่า - ADP),2,(เอง - ADV),1, , , , , , , , ,(คน - NOUN),4, , , , , , ,(ฟรุ๊ต - PROPN),1, , , , , , ,(ใช้ - VERB),3, , 
(ร้อน - ADJ),1,(แม้ - ADP),2,(ตั้งแต่ - ADV),1, , , , , , , , ,(ว่ายน้ำ - NOUN),4, , , , , , ,(cover-ups - PROPN),1, , , , , , ,(น่ารัก - VERB),3, , 
