ADJ,ADJ_COUNT,ADP,ADP_COUNT,ADV,ADV_COUNT,AUX,AUX_COUNT,CCONJ,CCONJ_COUNT,DET,DET_COUNT,INTJ,INTJ_COUNT,NOUN,NOUN_COUNT,NUM,NUM_COUNT,PART,PART_COUNT,PRON,PRON_COUNT,PROPN,PROPN_COUNT,PUNCT,PUNCT_COUNT,SCONJ,SCONJ_COUNT,SYM,SYM_COUNT,VERB,VERB_COUNT,X,X_COUNT
(สกปรก - ADJ),3,(ของ - ADP),7,(มาก - ADV),5,(เป็น - AUX),4,(และ - CCONJ),12,(ที่ - DET),12, , ,(ชายหาด - NOUN),8,(หนึ่ง - NUM),2,(ไป - PART),6,(ฉัน - PRON),8,(โดยทั่วไป - PROPN),1, - PUNCT),3, , , , ,(จะ - VERB),7,(เป็น - AUX),4
(ดี - ADJ),1,(ใน - ADP),5,(ที่สุด - ADV),3,(*เป็น - AUX),1,(แต่ - CCONJ),2,(ทุก - DET),2, , ,(ป่า - NOUN),4,(สิบ - NUM),2,(มา - PART),2,(มัน - PRON),4,(ไม่ใช่ - PROPN),1, , , , , , ,(มี - VERB),6,(*เป็น - AUX),1
(*กี่ - ADJ),1,(เพราะ - ADP),4,(เลย - ADV),2,(ไม่ใช่ - AUX),1, , ,(นี้ - DET),2, , ,(หาด - NOUN),4,(ยี่ - NUM),1,(เคย - PART),1,(พวกเขา - PRON),4,(เป็นไปได้ - PROPN),1, , , , , , ,(หลีกเลี่ยง - VERB),2,(ไม่ใช่ - AUX),1
(มาก - ADJ),1,(ถ้า - ADP),3,(เกินไป - ADV),2, , , , ,(ซึ่ง - DET),1, , ,(ภูเก็ต - NOUN),3,(สอง - NUM),1,(ออก - PART),1,(คุณ - PRON),2,(ไทย - PROPN),1, , , , , , ,(เลวร้าย - VERB),2, , 
(น้อย - ADJ),1,(อย่าง - ADP),2,(ไม่ค่อย - ADV),1, , , , ,(ที่นี่ - DET),1, , ,(สกปรก - NOUN),3,(พัน - NUM),1,(ลง - PART),1,(เรา - PRON),2,(สหรัฐอเมริกา - PROPN),1, , , , , , ,(*มี - VERB),2, , 
(ดัง - ADJ),1,(กว่า - ADP),1,(โดยเฉพาะอย่างยิ่ง - ADV),1, , , , ,(ทั้งหมด - DET),1, , ,(ตอง - NOUN),3, , ,(ไม่ได้ - PART),1,(นั่น - PRON),1,(นักท่องเที่ยว - PROPN),1, , , , , , ,(พูด - VERB),2, , 
(ใหญ่ - ADJ),1,(จาก - ADP),1,(มากมาย - ADV),1, , , , ,(บาง - DET),1, , ,(สถานที่ - NOUN),3, , , , ,(ที่ - PRON),1,(อย่า - PROPN),1, , , , , , ,(ไม่ใช่ - VERB),2, , 
(ส่วนตัว - ADJ),1,(เพื่อ - ADP),1,(แน่นอน - ADV),1, , , , , , , , ,(ถนน - NOUN),2, , , , ,(ที่นี่ - PRON),1,(เก้าอี้ - PROPN),1, , , , , , ,(ตั้ง - VERB),1, , 
 , ,(กับ - ADP),1,(คุณ - ADV),1, , , , , , , , ,(คน - NOUN),2, , , , ,(น่าจะ - PRON),1, , , , , , , , ,(ยอดเยี่ยม - VERB),1, , 
 , ,(ทาง - ADP),1,(จึง - ADV),1, , , , , , , , ,(น้ำ - NOUN),2, , , , ,(นี่ - PRON),1, , , , , , , , ,(ตอง - VERB),1, , 
 , ,(สำหรับ - ADP),1,(เตียง - ADV),1, , , , , , , , ,(ส่วนใหญ่ - NOUN),2, , , , , , , , , , , , , , ,(สวยงาม - VERB),1, , 
 , ,(ใกล้ - ADP),1, , , , , , , , , , ,(เรือ - NOUN),2, , , , , , , , , , , , , , ,(แออัด - VERB),1, , 
 , ,(ว่า - ADP),1, , , , , , , , , , ,(มิตร - NOUN),2, , , , , , , , , , , , , , ,(ไม่ได้ - VERB),1, , 
 , ,(ที่ - ADP),1, , , , , , , , , , ,(นอกจาก - NOUN),1, , , , , , , , , , , , , , ,(ปล่อย - VERB),1, , 
 , ,(โดย - ADP),1, , , , , , , , , , ,(ทำเล - NOUN),1, , , , , , , , , , , , , , ,(สั่ง - VERB),1, , 
 , , , , , , , , , , , , , ,(รอบๆ - NOUN),1, , , , , , , , , , , , , , ,(*สามารถ - VERB),1, , 
 , , , , , , , , , , , , , ,(รบกวน - NOUN),1, , , , , , , , , , , , , , ,(สัมผัส - VERB),1, , 
 , , , , , , , , , , , , , ,(ประเทศ - NOUN),1, , , , , , , , , , , , , , ,(กะ - VERB),1, , 
 , , , , , , , , , , , , , ,(นักท่องเที่ยว - NOUN),1, , , , , , , , , , , , , , ,(ใกล้ - VERB),1, , 
