ADJ,ADJ_COUNT,ADP,ADP_COUNT,ADV,ADV_COUNT,AUX,AUX_COUNT,CCONJ,CCONJ_COUNT,DET,DET_COUNT,INTJ,INTJ_COUNT,NOUN,NOUN_COUNT,NUM,NUM_COUNT,PART,PART_COUNT,PRON,PRON_COUNT,PROPN,PROPN_COUNT,PUNCT,PUNCT_COUNT,SCONJ,SCONJ_COUNT,SYM,SYM_COUNT,VERB,VERB_COUNT,X,X_COUNT
(ดี - ADJ),21,(ใน - ADP),36,(มาก - ADV),29,(เป็น - AUX),27,(และ - CCONJ),77,(ที่ - DET),78, , ,(ชายหาด - NOUN),53,(สอง - NUM),11,(ไป - PART),16,(มัน - PRON),30,(อื่นๆ - PROPN),6, , , , ,(ๆ - SYM),4,(มี - VERB),48,(เป็น - AUX),27
(มากมาย - ADJ),20,(สำหรับ - ADP),20,(ที่สุด - ADV),7,(*เหมือน - AUX),1,(แต่ - CCONJ),17,(ทุก - DET),14, , ,(การ - NOUN),22,(หนึ่ง - NUM),9,(มา - PART),10,(คุณ - PRON),26,(ไทย - PROPN),5, , , , , , ,(จะ - VERB),29,(*เหมือน - AUX),1
(สวยงาม - ADJ),4,(ของ - ADP),16,(ก็ - ADV),6,(ไม่ใช่ - AUX),1,(หรือ - CCONJ),8,(บาง - DET),6, , ,(น้ำ - NOUN),16,(ร้อย - NUM),4,(อยู่ - PART),4,(ฉัน - PRON),21,(เก้าอี้ - PROPN),4, , , , , , ,(ให้ - VERB),13,(ไม่ใช่ - AUX),1
(เยี่ยม - ADJ),3,(ที่ - ADP),14,(ที่นี่ - ADV),5, , ,(กับ - CCONJ),3,(นี้ - DET),6, , ,(ป่า - NOUN),14,(สิบ - NUM),4,(ได้ - PART),4,(เรา - PRON),14,(เด็กๆ - PROPN),3, , , , , , ,(สามารถ - VERB),10, , 
(ยอดเยี่ยม - ADJ),3,(กับ - ADP),14,(ง่าย - ADV),3, , ,(ดัง - CCONJ),1,(หลาย - DET),4, , ,(สถานที่ - NOUN),14,(สาม - NUM),3,(กำลัง - PART),3,(ที่ - PRON),3,(เซล - PROPN),2, , , , , , ,(ได้ - VERB),8, , 
(สูง - ADJ),2,(จาก - ADP),11,(ยัง - ADV),3, , , , ,(ทั้งหมด - DET),4, , ,(ตอง - NOUN),12,13 - NUM),1,(เคย - PART),3,(นี่ - PRON),3,(แออัด - PROPN),2, , , , , , ,(ไป - VERB),8, , 
(อื่นๆ - ADJ),2,(ถ้า - ADP),11,(กว่า - ADV),3, , , , ,(นั้น - DET),2, , ,(อาหาร - NOUN),11,(100s - NUM),1,(ออก - PART),2,(พวกเขา - PRON),3,(เข้าถึง - PROPN),2, , , , , , ,(เกินไป - VERB),7, , 
(*ดี - ADJ),2,(บน - ADP),10,(มากมาย - ADV),2, , , , ,(ซึ่ง - DET),1, , ,(คุณ - NOUN),11,(พัน - NUM),1,(*เคย - PART),2,(ในขณะที่ - PRON),1,(บาร์ - PROPN),2, , , , , , ,(ต้องการ - VERB),6, , 
(ทั่วไป - ADJ),2,(อย่าง - ADP),8,(เกินไป - ADV),2, , , , ,(เกือบ - DET),1, , ,(คน - NOUN),10,(5 - NUM),1,(ยังคง - PART),1,(อะไร - PRON),1,(เครื่องดื่ม - PROPN),2, , , , , , ,(เดิน - VERB),6, , 
(ทั่ว - ADJ),2,(ว่า - ADP),8,(เกิน - ADV),2, , , , ,(อีก - DET),1, , ,(หาด - NOUN),9,(01/01/2020 - NUM),1,(แล้ว - PART),1,(เอง - PRON),1,(เจ็ทสกี - PROPN),2, , , , , , ,(ค่อนข้าง - VERB),6, , 
