ADJ,ADJ_COUNT,ADP,ADP_COUNT,ADV,ADV_COUNT,AUX,AUX_COUNT,CCONJ,CCONJ_COUNT,DET,DET_COUNT,INTJ,INTJ_COUNT,NOUN,NOUN_COUNT,NUM,NUM_COUNT,PART,PART_COUNT,PRON,PRON_COUNT,PROPN,PROPN_COUNT,PUNCT,PUNCT_COUNT,SCONJ,SCONJ_COUNT,SYM,SYM_COUNT,VERB,VERB_COUNT,X,X_COUNT
(เยอะ - ADJ),1,(จาก - ADP),1,(มาก - ADV),2,(ไม่ใช่ - AUX),1,(และ - CCONJ),1,(ที่ - DET),3, , ,(แผนที่ - NOUN),3, , ,(ไป - PART),1,(มัน - PRON),2,(เป็นบ้า - PROPN),1, , , , , , ,(ถูกต้อง - VERB),2,(ไม่ใช่ - AUX),1
(ที่ผ่านมา - ADJ),1,(ที่ - ADP),1, , , , , , , , , , ,(คน - NOUN),2, , , , ,(นี่ - PRON),1,(แออัด - PROPN),1, , , , , , ,(แออัด - VERB),1, , 
(มาก - ADJ),1,(เมื่อ - ADP),1, , , , , , , , , , ,(พระอาทิตย์ - NOUN),1, , , , ,(คุณ - PRON),1, , , , , , , , ,(ไร้สาระ - VERB),1, , 
(ผิด - ADJ),1,(เพราะ - ADP),1, , , , , , , , , , ,(ที่อื่น - NOUN),1, , , , , , , , , , , , , , ,(พยายาม - VERB),1, , 
 , ,(ติดตาม - ADP),1, , , , , , , , , , ,(โปรด - NOUN),1, , , , , , , , , , , , , , ,(ดึง - VERB),1, , 
 , ,(ของ - ADP),1, , , , , , , , , , ,(ระบบ - NOUN),1, , , , , , , , , , , , , , ,(ตก - VERB),1, , 
 , , , , , , , , , , , , , ,(สถานที่ - NOUN),1, , , , , , , , , , , , , , ,(*แตกต่าง - VERB),1, , 
 , , , , , , , , , , , , , ,(นักท่องเที่ยว - NOUN),1, , , , , , , , , , , , , , ,(*คุ้ม - VERB),1, , 
 , , , , , , , , , , , , , ,(จำนวน - NOUN),1, , , , , , , , , , , , , , ,(จะ - VERB),1, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,(ผู้ดูแล - VERB),1, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,(เปลี่ยน - VERB),1, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,(ให้ - VERB),1, , 
