ADJ,ADJ_COUNT,ADP,ADP_COUNT,ADV,ADV_COUNT,AUX,AUX_COUNT,CCONJ,CCONJ_COUNT,DET,DET_COUNT,INTJ,INTJ_COUNT,NOUN,NOUN_COUNT,NUM,NUM_COUNT,PART,PART_COUNT,PRON,PRON_COUNT,PROPN,PROPN_COUNT,PUNCT,PUNCT_COUNT,SCONJ,SCONJ_COUNT,SYM,SYM_COUNT,VERB,VERB_COUNT,X,X_COUNT
(ดี - ADJ),27,(ใน - ADP),45,(มาก - ADV),26,(เป็น - AUX),25,(และ - CCONJ),60,(ที่ - DET),93, , ,(พระอาทิตย์ - NOUN),37,(สิบ - NUM),12,(ไป - PART),27,(คุณ - PRON),35,(เพลิดเพลิน - PROPN),6, , , , ,(ๆ - SYM),12,(มี - VERB),32,(เป็น - AUX),25
(สวยงาม - ADJ),16,(เพื่อ - ADP),23,(ที่สุด - ADV),13,(เหมือน - AUX),2,(แต่ - CCONJ),13,(นี้ - DET),9, , ,(สถานที่ - NOUN),33,(หนึ่ง - NUM),7,(มา - PART),12,(มัน - PRON),19,(แหลม - PROPN),5, , , , , , ,(ตก - VERB),31,(เหมือน - AUX),2
(เล็ก - ADJ),6,(ของ - ADP),23,(ก็ - ADV),9,(คือ - AUX),1,(หรือ - CCONJ),5,(นั้น - DET),8, , ,(การ - NOUN),32,(ห้า - NUM),4,(ลง - PART),8,(ฉัน - PRON),18,(ไทย - PROPN),2, , , , , , ,(จะ - VERB),23,(คือ - AUX),1
(ยอดเยี่ยม - ADJ),5,(สำหรับ - ADP),20,(ที่นี่ - ADV),8, , ,(กับ - CCONJ),4,(บาง - DET),5, , ,(จุด - NOUN),25,(สาม - NUM),4,(ขึ้น - PART),6,(เรา - PRON),5,(เช่นกัน - PROPN),2, , , , , , ,(สามารถ - VERB),19, , 
(มาก - ADJ),5,(ที่ - ADP),16,(ประมาณ - ADV),6, , , , ,(ทุก - DET),4, , ,(ภูเก็ต - NOUN),19,(สอง - NUM),4,(ได้ - PART),5,(เขา - PRON),4,(ฟรี - PROPN),2, , , , , , ,(ชม - VERB),16, , 
(มากมาย - ADJ),4,(จาก - ADP),14,(ที่นั่น - ADV),4, , , , ,(ซึ่ง - DET),4, , ,(ชม - NOUN),16,(5 - NUM),2,(ยัง - PART),3,(นี่ - PRON),4,(ง่ายดาย - PROPN),2, , , , , , ,(ให้ - VERB),14, , 
(เยี่ยม - ADJ),4,(กับ - ADP),12,(ยัง - ADV),3, , , , ,(ที่นี่ - DET),2, , ,(มุมมอง - NOUN),12,(สี่ - NUM),1,(*เคย - PART),2,(นอกจากนี้ - PRON),3,(เครื่องดื่ม - PROPN),2, , , , , , ,(ต้อง - VERB),14, , 
(เหมาะ - ADJ),4,(ว่า - ADP),10,(กว่า - ADV),3, , , , ,(อัน - DET),2, , ,(นาที - NOUN),11,(หก - NUM),1,(ออก - PART),1,(ที่นี่ - PRON),3,(วิว - PROPN),2, , , , , , ,(ดู - VERB),13, , 
(แท้จริง - ADJ),2,(ถึง - ADP),8,(สุด - ADV),3, , , , ,(ทั้ง - DET),2, , ,(คุณ - NOUN),11,(ยี่ - NUM),1,(อยู่ - PART),1,(นั้น - PRON),2,(จริงๆ - PROPN),1, , , , , , ,(เดิน - VERB),12, , 
(งดงาม - ADJ),2,(ยัง - ADP),8,(ใกล้ - ADV),2, , , , ,(ดังนั้น - DET),1, , ,(เวลา - NOUN),9,(15 - NUM),1,(ยังคง - PART),1,(นี้ - PRON),2,(มอเตอร์ไซค์ - PROPN),1, , , , , , ,(ไป - VERB),12, , 
(เย็น - ADJ),2,(ถ้า - ADP),7,(ดังนั้น - ADV),2, , , , ,(ทั้งหมด - DET),1, , ,(ภาพ - NOUN),8,(เจ็ด - NUM),1, , ,(อะไร - PRON),2,(อย่า - PROPN),1, , , , , , ,(อยู่ - VERB),11, , 
(*กี่ - ADJ),2,(เมื่อ - ADP),6,(ไป - ADV),2, , , , ,(หลาย - DET),1, , ,(ช่วง - NOUN),7, , , , ,(พวกเขา - PRON),2,(เด็กๆ - PROPN),1, , , , , , ,(ใช้ - VERB),10, , 
(เรียบร้อย - ADJ),2,(เพราะ - ADP),6,(แค่ - ADV),2, , , , ,(แต่ละ - DET),1, , ,(จังหวัด - NOUN),6, , , , ,(ภูเขา - PRON),1,(บาท - PROPN),1, , , , , , ,(วิว - VERB),8, , 
(ไกล - ADJ),2,(ระหว่าง - ADP),5,(ยาก - ADV),2, , , , ,(นอกจากนี้ - DET),1, , ,(นักท่องเที่ยว - NOUN),6, , , , ,(กัน - PRON),1,(นักท่องเที่ยว - PROPN),1, , , , , , ,(น่าตื่นตาตื่นใจ - VERB),8, , 
(พิเศษ - ADJ),2,(อย่าง - ADP),5,(สิบ - ADV),1, , , , , , , , ,(มหาสมุทร - NOUN),6, , , , ,(ยอดเขา - PRON),1,(ทะเลอันดามัน - PROPN),1, , , , , , ,(เห็น - VERB),8, , 
(ง่าย - ADJ),2,(บน - ADP),5,(เยี่ยม - ADV),1, , , , , , , , ,(เส้นทาง - NOUN),6, , , , ,(ใคร - PRON),1,(สูบบุหรี่ - PROPN),1, , , , , , ,(เดินทาง - VERB),7, , 
(ยิ่งใหญ่ - ADJ),1,(ทาง - ADP),5,(โดยเฉพาะ - ADV),1, , , , , , , , ,(วิว - NOUN),6, , , , ,(ที่ - PRON),1,(ระมัดระวัง - PROPN),1, , , , , , ,(*มี - VERB),6, , 
(สวย - ADJ),1,(หาก - ADP),4,(ลิง - ADV),1, , , , , , , , ,(อย่า - NOUN),5, , , , , , ,(จีน - PROPN),1, , , , , , ,(ได้ - VERB),5, , 
(ลื่น - ADJ),1,(กว่า - ADP),3,(ด้วย - ADV),1, , , , , , , , ,(บริเวณ - NOUN),5, , , , , , ,(แผ่ - PROPN),1, , , , , , ,(ตกดิน - VERB),5, , 
(จุดสูงสุด - ADJ),1,(แห่ง - ADP),3,(ยี่ - ADV),1, , , , , , , , ,(เกาะ - NOUN),5, , , , , , ,(ดูเหมือน - PROPN),1, , , , , , ,(สวยงาม - VERB),5, , 
(ยาก - ADJ),1,(แก่ - ADP),3,(เหนื่อย - ADV),1, , , , , , , , ,(จำนวน - NOUN),5, , , , , , ,(เอ - PROPN),1, , , , , , ,(รอบๆ - VERB),5, , 
(น่าทึ่ง - ADJ),1,(ด้วย - ADP),3,(สะอาด - ADV),1, , , , , , , , ,(ความ - NOUN),4, , , , , , ,(ซี่ - PROPN),1, , , , , , ,(นั่ง - VERB),5, , 
(ปกติ - ADJ),1,(โดย - ADP),3,(เซล - ADV),1, , , , , , , , ,(อย่าง - NOUN),4, , , , , , ,(สวยงาม - PROPN),1, , , , , , ,(ควร - VERB),4, , 
(เกิน - ADJ),1,(ก่อน - ADP),2,(ใกล้เคียง - ADV),1, , , , , , , , ,(ทิวทัศน์ - NOUN),4, , , , , , ,(เงียบสงบ - PROPN),1, , , , , , ,(หา - VERB),4, , 
(ด้านบน - ADJ),1,(จน - ADP),2,(รอบๆ - ADV),1, , , , , , , , ,(ระยะ - NOUN),4, , , , , , ,(น่ากลัว - PROPN),1, , , , , , ,(คลิก - VERB),4, , 
(ส่วนตัว - ADJ),1,(อย่างไรก็ตาม - ADP),2,(เล็กน้อย - ADV),1, , , , , , , , ,(แหลม - NOUN),4, , , , , , ,(เดียวกัน - PROPN),1, , , , , , ,(ทำให้ - VERB),4, , 
(ด้านล่าง - ADJ),1,(แม้ - ADP),2,(มหัศจรรย์ - ADV),1, , , , , , , , ,(ทะเล - NOUN),4, , , , , , ,(เก้า - PROPN),1, , , , , , ,(เส้นทาง - VERB),3, , 
(สดชื่น - ADJ),1,(รอบ - ADP),1,(สาย - ADV),1, , , , , , , , ,(ร้านค้า - NOUN),4, , , , , , ,(วมัน - PROPN),1, , , , , , ,(อาจ - VERB),3, , 
(*แปลกใหม่ - ADJ),1,(ตาม - ADP),1,(จึง - ADV),1, , , , , , , , ,(ดวงอาทิตย์ - NOUN),4, , , , , , ,(โมง - PROPN),1, , , , , , ,(ปีน - VERB),3, , 
(ใหญ่ - ADJ),1,(อยู่ - ADP),1,(ก่อน - ADV),1, , , , , , , , ,(ถนน - NOUN),4, , , , , , ,(งดงาม - PROPN),1, , , , , , ,(มองเห็น - VERB),3, , 
(อย่างไรก็ตาม - ADJ),1,(แบบจำลอง - ADP),1,(เพียงแค่ - ADV),1, , , , , , , , ,(พลาด - NOUN),3, , , , , , ,(ไม่ใช่ - PROPN),1, , , , , , ,(ระวัง - VERB),3, , 
