ADJ,ADJ_COUNT,ADP,ADP_COUNT,ADV,ADV_COUNT,AUX,AUX_COUNT,CCONJ,CCONJ_COUNT,DET,DET_COUNT,INTJ,INTJ_COUNT,NOUN,NOUN_COUNT,NUM,NUM_COUNT,PART,PART_COUNT,PRON,PRON_COUNT,PROPN,PROPN_COUNT,PUNCT,PUNCT_COUNT,SCONJ,SCONJ_COUNT,SYM,SYM_COUNT,VERB,VERB_COUNT,X,X_COUNT
(ดี - ADJ),34,(ใน - ADP),53,(มาก - ADV),27,(เป็น - AUX),40,(และ - CCONJ),70,(ที่ - DET),110, , ,(พระอาทิตย์ - NOUN),47,(สิบ - NUM),10,(ไป - PART),39,(คุณ - PRON),47,(แหลม - PROPN),4,(- - PUNCT),3, , ,(ๆ - SYM),8,(มี - VERB),48,(เป็น - AUX),40
(สวยงาม - ADJ),15,(ของ - ADP),33,(ที่สุด - ADV),10,(คือ - AUX),7,(แต่ - CCONJ),21,(นี้ - DET),12, , ,(การ - NOUN),32,(หนึ่ง - NUM),9,(มา - PART),10,(ฉัน - PRON),32,(ไทย - PROPN),4, - PUNCT),1, , , , ,(จะ - VERB),39,(คือ - AUX),7
(ยอดเยี่ยม - ADJ),7,(ที่ - ADP),25,(ก็ - ADV),9, , ,(หรือ - CCONJ),3,(ทุก - DET),5, , ,(สถานที่ - NOUN),30,(สาม - NUM),5,(ลง - PART),9,(มัน - PRON),32,(ไวย์ - PROPN),4,(( - PUNCT),1, , , , ,(ตก - VERB),34, , 
(เยี่ยม - ADJ),7,(ถ้า - ADP),21,(ประมาณ - ADV),5, , ,(กับ - CCONJ),2,(อีก - DET),4, , ,(จุด - NOUN),28,(สี่ - NUM),4,(ขึ้น - PART),5,(เรา - PRON),30,(เพลิดเพลิน - PROPN),4, , , , , , ,(สามารถ - VERB),17, , 
(มากมาย - ADJ),5,(จาก - ADP),21,(จึง - ADV),5, , , , ,(ซึ่ง - DET),4, , ,(ชม - NOUN),20,(สอง - NUM),3,(ออก - PART),4,(นี่ - PRON),8,(ที่นี่ - PROPN),3, , , , , , ,(ชม - VERB),16, , 
(เล็ก - ADJ),5,(เพื่อ - ADP),17,(ที่นี่ - ADV),4, , , , ,(บาง - DET),4, , ,(เวลา - NOUN),19,(ยี่ - NUM),2,(ยัง - PART),4,(ที่นี่ - PRON),4,(งดงาม - PROPN),2, , , , , , ,(ต้อง - VERB),15, , 
(มาก - ADJ),3,(กับ - ADP),16,(จริงๆ - ADV),4, , , , ,(นั้น - DET),4, , ,(ภูเก็ต - NOUN),16,(พัน - NUM),2,(กำลัง - PART),3,(ตัวเอง - PRON),4,(จำกัด - PROPN),2, , , , , , ,(ตกดิน - VERB),13, , 
(ดัง - ADJ),3,(สำหรับ - ADP),15,(ดังนั้น - ADV),4, , , , ,(หลาย - DET),2, , ,(มุมมอง - NOUN),15,(40 - NUM),1,(ยังคง - PART),3,(เธอ - PRON),4,(เช่นกัน - PROPN),1, , , , , , ,(ให้ - VERB),13, , 
(น้อย - ADJ),3,(ว่า - ADP),10,(ไว้ - ADV),3, , , , ,(เกือบ - DET),2, , ,(วิว - NOUN),14,(4/5 - NUM),1,(อยู่ - PART),3,(กัน - PRON),3,(ไช - PROPN),1, , , , , , ,(เดิน - VERB),13, , 
(งดงาม - ADJ),3,(อย่าง - ADP),8,(ที่นั่น - ADV),3, , , , ,(อัน - DET),1, , ,(คน - NOUN),9,(3/5 - NUM),1,(ได้ - PART),3,(เขา - PRON),3,(เทียน - PROPN),1, , , , , , ,(อยู่ - VERB),11, , 
