ADJ,ADJ_COUNT,ADP,ADP_COUNT,ADV,ADV_COUNT,AUX,AUX_COUNT,CCONJ,CCONJ_COUNT,DET,DET_COUNT,INTJ,INTJ_COUNT,NOUN,NOUN_COUNT,NUM,NUM_COUNT,PART,PART_COUNT,PRON,PRON_COUNT,PROPN,PROPN_COUNT,PUNCT,PUNCT_COUNT,SCONJ,SCONJ_COUNT,SYM,SYM_COUNT,VERB,VERB_COUNT,X,X_COUNT
(สวยงาม - ADJ),17,(ใน - ADP),69,(มาก - ADV),30,(เป็น - AUX),40,(และ - CCONJ),93,(ที่ - DET),108, , ,(วัด - NOUN),47,(หนึ่ง - NUM),10,(ไป - PART),24,(คุณ - PRON),42,(ไทย - PROPN),5,(. - PUNCT),1, , ,(ๆ - SYM),8,(มี - VERB),48,(เป็น - AUX),40
(ดี - ADJ),15,(ของ - ADP),30,(ที่สุด - ADV),8,(คือ - AUX),6,(แต่ - CCONJ),18,(นั้น - DET),13, , ,(สถานที่ - NOUN),37,(สอง - NUM),3,(ได้ - PART),4,(ฉัน - PRON),19,(เกอร์ - PROPN),4,(- - PUNCT),1, , , , ,(จะ - VERB),31,(คือ - AUX),6
(ใหญ่ - ADJ),12,(กับ - ADP),16,(ก็ - ADV),5,(เต็มไปด้วย - AUX),1,(หรือ - CCONJ),9,(นี้ - DET),11, , ,(การ - NOUN),36,(สิบ - NUM),1,(ขึ้น - PART),3,(มัน - PRON),19,(เช่นกัน - PROPN),3, , , , , , ,(สามารถ - VERB),19,(เต็มไปด้วย - AUX),1
(มากมาย - ADJ),11,(เมื่อ - ADP),13,(กว่า - ADV),4, , ,(กับ - CCONJ),1,(บาง - DET),8, , ,(ชม - NOUN),17,(15.00 - NUM),1,(เข้า - PART),2,(เรา - PRON),17,(เพลิดเพลิน - PROPN),2, , , , , , ,(วัด - VERB),15, , 
(ยอดเยี่ยม - ADJ),9,(เพื่อ - ADP),12,(ไว้ - ADV),3, , ,(แล้ว - CCONJ),1,(หลาย - DET),6, , ,(เวลา - NOUN),13,(สาม - NUM),1,(ออก - PART),2,(ที่ - PRON),6,(ไหล่ - PROPN),2, , , , , , ,(ให้ - VERB),15, , 
(เยี่ยม - ADJ),5,(ด้วย - ADP),10,(ประมาณ - ADV),3, , , , ,(ทุก - DET),5, , ,(พระพุทธรูป - NOUN),12, , ,(อยู่ - PART),2,(พวกเขา - PRON),6,(คอมเพล็กซ์ - PROPN),2, , , , , , ,(ต้อง - VERB),13, , 
(งดงาม - ADJ),4,(อย่าง - ADP),9,(ที่นี่ - ADV),3, , , , ,(อีก - DET),5, , ,(ภูเก็ต - NOUN),11, , ,(ยัง - PART),2,(นี่ - PRON),5,(เหล่านี้ - PROPN),2, , , , , , ,(อยู่ - VERB),12, , 
(หลัก - ADJ),4,(จาก - ADP),8,(ที่นั่น - ADV),2, , , , ,(ดังนั้น - DET),5, , ,(คุณ - NOUN),11, , ,(มา - PART),2,(ตัวเอง - PRON),3,(ฟรี - PROPN),1, , , , , , ,(เข้า - VERB),11, , 
(เล็ก - ADJ),4,(สำหรับ - ADP),8,(ล้อมรอบ - ADV),2, , , , ,(อัน - DET),3, , ,(สถาปัตยกรรม - NOUN),10, , ,(กำลัง - PART),1,(กัน - PRON),3,(เหมาะ - PROPN),1, , , , , , ,(เห็น - VERB),9, , 
(เดียว - ADJ),3,(ว่า - ADP),8,(เพียง - ADV),2, , , , ,(ทั้ง - DET),3, , ,(คน - NOUN),9, , ,(ยังคง - PART),1,(ที่นี่ - PRON),2,(วันศุกร์ - PROPN),1, , , , , , ,(ได้รับ - VERB),8, , 
(ความสำคัญ - ADJ),3,(ที่ - ADP),7,(ยัง - ADV),2, , , , ,(ที่นี่ - DET),3, , ,(ของวัด - NOUN),7, , ,(แล้ว - PART),1,(อะไร - PRON),2,(โสร่ง - PROPN),1, , , , , , ,(*มี - VERB),8, , 
(แรก - ADJ),2,(โดย - ADP),6,(จึง - ADV),2, , , , ,(ซึ่ง - DET),3, , ,(พระพุทธเจ้า - NOUN),7, , , , ,(นอกจากนี้ - PRON),2,(ซื้อของ - PROPN),1, , , , , , ,(ใช้ - VERB),8, , 
(แน่นอน - ADJ),2,(เกี่ยวกับ - ADP),6,(จริงๆ - ADV),2, , , , ,(ทั้งหมด - DET),2, , ,(อาคาร - NOUN),7, , , , ,(นี้ - PRON),2,(ที่ระลึก - PROPN),1, , , , , , ,(สงบ - VERB),7, , 
(เหมาะ - ADJ),2,(ถ้า - ADP),5,(เยี่ยม - ADV),2, , , , ,(แต่ละ - DET),2, , ,(ผู้คน - NOUN),6, , , , ,(เอง - PRON),1,(ทันที - PROPN),1, , , , , , ,(สวยงาม - VERB),6, , 
(สำคัญ - ADJ),2,(บน - ADP),5,(ด้วย - ADV),1, , , , ,(ที่ผ่านมา - DET),1, , ,(ภายใน - NOUN),6, , , , ,(ใคร - PRON),1,(โปสการ์ด - PROPN),1, , , , , , ,(เงียบสงบ - VERB),6, , 
(มาก - ADJ),2,(แห่ง - ADP),5,(จุดสูงสุด - ADV),1, , , , ,(ที่นั่น - DET),1, , ,(เยี่ยม - NOUN),6, , , , ,(ใช่ - PRON),1,(แครก - PROPN),1, , , , , , ,(ถูก - VERB),5, , 
(เหมาะสม - ADJ),2,(เพราะ - ADP),4,(อย่างไร - ADV),1, , , , ,(ทุกแห่ง - DET),1, , ,(ท้องถิ่น - NOUN),6, , , , ,(พระองค์ - PRON),1,(เงียบสงบ - PROPN),1, , , , , , ,(ดู - VERB),5, , 
(ที่นี่ - ADJ),1,(หาก - ADP),4,(เร็ว - ADV),1, , , , ,(ที่ไหน - DET),1, , ,(จังหวัด - NOUN),6, , , , ,(ไม่ค่อย - PRON),1,(สงบ - PROPN),1, , , , , , ,(ไม่ได้ - VERB),5, , 
(โปรด - ADJ),1,(ทาง - ADP),3,(ช้า - ADV),1, , , , , , , , ,(ความ - NOUN),6, , , , ,(ที่นั่น - PRON),1,(เมฆ - PROPN),1, , , , , , ,(ทำ - VERB),5, , 
(อิฐ - ADJ),1,(ถึง - ADP),3,(*มาก - ADV),1, , , , , , , , ,(สิ่ง - NOUN),6, , , , ,(นั้น - PRON),1,(ดังนั้น - PROPN),1, , , , , , ,(รู้สึก - VERB),5, , 
(ร้อน - ADJ),1,(กว่า - ADP),3,(จดจำ - ADV),1, , , , , , , , ,(ศาสนา - NOUN),5, , , , , , ,(แสง - PROPN),1, , , , , , ,(พร้อม - VERB),5, , 
(เงียบสงบ - ADJ),1,(ระหว่าง - ADP),2,(กางเกงขาสั้น - ADV),1, , , , , , , , ,(องค์ - NOUN),5, , , , , , ,(โฟกัส - PROPN),1, , , , , , ,(ไป - VERB),5, , 
(โดยเฉพาะ - ADJ),1,(ต่อ - ADP),2,(เลย - ADV),1, , , , , , , , ,(พลาด - NOUN),5, , , , , , ,(นักท่องเที่ยว - PROPN),1, , , , , , ,(เยี่ยม - VERB),5, , 
(เย็น - ADJ),1,(นอก - ADP),2,(ตามปกติ - ADV),1, , , , , , , , ,(พื้นที่ - NOUN),4, , , , , , ,(ที่นี่ - PROPN),1, , , , , , ,(แสดง - VERB),5, , 
(*เคารพ - ADJ),1,(แก่ - ADP),2,(เรียบร้อย - ADV),1, , , , , , , , ,(ราคา - NOUN),4, , , , , , ,(โปรด - PROPN),1, , , , , , ,(ความ - VERB),5, , 
(เก่าแก่ - ADJ),1,(จึง - ADP),2,(ไกล - ADV),1, , , , , , , , ,(อย่า - NOUN),4, , , , , , ,(คนใน - PROPN),1, , , , , , ,(ฉลอง - VERB),4, , 
(*กี่ - ADJ),1,(ตาม - ADP),2,(เงียบ - ADV),1, , , , , , , , ,(พวกเขา - NOUN),4, , , , , , ,(แขนยาว - PROPN),1, , , , , , ,(น่า - VERB),4, , 
(อื่น - ADJ),1,(แม้ - ADP),2,(ชม - ADV),1, , , , , , , , ,(แห่ง - NOUN),4, , , , , , ,(เช่นเดียวกับ - PROPN),1, , , , , , ,(เดิน - VERB),4, , 
(สูง - ADJ),1,(ก่อน - ADP),1,(น้อย - ADV),1, , , , , , , , ,(เสื้อผ้า - NOUN),4, , , , , , ,(โกลาหล - PROPN),1, , , , , , ,(อธิบาย - VERB),4, , 
(ยังคง - ADJ),1,(ซึ่ง - ADP),1,(แน่นอน - ADV),1, , , , , , , , ,(อย่าง - NOUN),4, , , , , , ,(แคร็กเกอร์ - PROPN),1, , , , , , ,(นิยม - VERB),3, , 
(งานแต่งงาน - ADJ),1,(เต็มไปด้วย - ADP),1,(ตลอดไป - ADV),1, , , , , , , , ,(แต่งกาย - NOUN),4, , , , , , ,(ดัง - PROPN),1, , , , , , ,(นักท่องเที่ยว - VERB),3, , 
(สง่างาม - ADJ),1,(แม้ว่า - ADP),1,(ต่างๆ - ADV),1, , , , , , , , ,(พิธีกรรม - NOUN),4, , , , , , ,(เจดีย์ - PROPN),1, , , , , , ,(สำรวจ - VERB),3, , 
(ความสุข - ADJ),1,(หลัง - ADP),1,(แออัด - ADV),1, , , , , , , , ,(พระวิหาร - NOUN),4, , , , , , ,(ดี - PROPN),1, , , , , , ,(เรียนรู้ - VERB),3, , 
(โชคดี - ADJ),1,(พักผ่อน - ADP),1,(ใกล้ - ADV),1, , , , , , , , ,(วัฒนธรรม - NOUN),4, , , , , , ,(ท่องเที่ยว - PROPN),1, , , , , , ,(เดินทาง - VERB),3, , 
(นอก - ADJ),1,(ดังนั้น - ADP),1,(สุด - ADV),1, , , , , , , , ,(สงบสุข - NOUN),4, , , , , , ,(ไกด์ - PROPN),1, , , , , , ,(ดูแล - VERB),3, , 
(ส่วนหนึ่ง - ADJ),1,(หัวเราะ - ADP),1,(ตาม - ADV),1, , , , , , , , ,(ชั่วโมง - NOUN),4, , , , , , ,(อย่า - PROPN),1, , , , , , ,(ออก - VERB),3, , 
(ร้อย - ADJ),1,(ใต้ - ADP),1,(ดัง - ADV),1, , , , , , , , ,(รูปปั้น - NOUN),4, , , , , , ,(ซับซ้อน - PROPN),1, , , , , , ,(น่าสนใจ - VERB),3, , 
(พระพุทธรูป - ADJ),1,(หมายถึง - ADP),1,(นาน - ADV),1, , , , , , , , ,(ตัว - NOUN),3, , , , , , ,(เนื่องจาก - PROPN),1, , , , , , ,(สวมใส่ - VERB),3, , 
(อยาก - ADJ),1,(ชม - ADP),1,(ง่าย - ADV),1, , , , , , , , ,(ส่วน - NOUN),3, , , , , , ,(อังกฤษ - PROPN),1, , , , , , ,(ซื้อ - VERB),3, , 
(ใดๆ - ADJ),1,(แล้ว - ADP),1,(เงียบสงบ - ADV),1, , , , , , , , ,(รองเท้า - NOUN),3, , , , , , ,(ไม่เชิง - PROPN),1, , , , , , ,(น่าทึ่ง - VERB),3, , 
(สวย - ADJ),1,(ใกล้ - ADP),1,(. - ADV),1, , , , , , , , ,(แครก - NOUN),3, , , , , , ,(อาคาร - PROPN),1, , , , , , ,(คนใน - VERB),3, , 
(โง่เขลา - ADJ),1, , ,(ทั้งคู่ - ADV),1, , , , , , , , ,(บรรยากาศ - NOUN),3, , , , , , ,(มอบ - PROPN),1, , , , , , ,(สงสัย - VERB),3, , 
(*ดี - ADJ),1, , ,(มิเช่นนั้น - ADV),1, , , , , , , , ,(ประสบการณ์ - NOUN),3, , , , , , , , , , , , , , ,(ชอบ - VERB),3, , 
(*ใหญ่ - ADJ),1, , ,(หน่อย - ADV),1, , , , , , , , ,(ด้าน - NOUN),3, , , , , , , , , , , , , , ,(ทำให้ - VERB),3, , 
(ครึ่ง - ADJ),1, , ,(ขึ้น - ADV),1, , , , , , , , ,(สวยงาม - NOUN),3, , , , , , , , , , , , , , ,(ควร - VERB),3, , 
(ความจริง - ADJ),1, , ,(ดังนั้น - ADV),1, , , , , , , , ,(หลังจาก - NOUN),3, , , , , , , , , , , , , , ,(*ได้รับอนุญาต - VERB),3, , 
(โกลาหล - ADJ),1, , ,(แค่ - ADV),1, , , , , , , , ,(ประเทศ - NOUN),3, , , , , , , , , , , , , , ,(*ต้อง - VERB),2, , 
(รอบๆ - ADJ),1, , ,(ตัวเอง - ADV),1, , , , , , , , ,(สถานที่ท่องเที่ยว - NOUN),3, , , , , , , , , , , , , , ,(ต่างๆ - VERB),2, , 
(หลากหลาย - ADJ),1, , ,(เรื่องราว - ADV),1, , , , , , , , ,(ช่วงเวลา - NOUN),3, , , , , , , , , , , , , , ,(เพิ่มเติม - VERB),2, , 
(เรียบร้อย - ADJ),1, , , , , , , , , , , , ,(ศักดิ์สิทธิ์ - NOUN),3, , , , , , , , , , , , , , ,(หยุด - VERB),2, , 
(ท่องเที่ยว - ADJ),1, , , , , , , , , , , , ,(วัน - NOUN),2, , , , , , , , , , , , , , ,(สร้าง - VERB),2, , 
(ฉลอง - ADJ),1, , , , , , , , , , , , ,(ทิวทัศน์ - NOUN),2, , , , , , , , , , , , , , ,(ติดตาม - VERB),2, , 
(ที่สุด - ADJ),1, , , , , , , , , , , , ,(วินัย - NOUN),2, , , , , , , , , , , , , , ,(มองเห็น - VERB),2, , 
(ยานพาหนะ - ADJ),1, , , , , , , , , , , , ,(ภูเขา - NOUN),2, , , , , , , , , , , , , , ,(ถอด - VERB),2, , 
(แปลกประหลาด - ADJ),1, , , , , , , , , , , , ,(พุทธ - NOUN),2, , , , , , , , , , , , , , ,(ระเบิด - VERB),2, , 
(จัดสรร - ADJ),1, , , , , , , , , , , , ,(ค่าธรรมเนียม - NOUN),2, , , , , , , , , , , , , , ,(รัก - VERB),2, , 
(ทัวร์ - ADJ),1, , , , , , , , , , , , ,(สวม - NOUN),2, , , , , , , , , , , , , , ,(แนะนำ - VERB),2, , 
 , , , , , , , , , , , , , ,(ตอนเช้า - NOUN),2, , , , , , , , , , , , , , ,(ตั้ง - VERB),2, , 
 , , , , , , , , , , , , , ,(ภายนอก - NOUN),2, , , , , , , , , , , , , , ,(แตกต่าง - VERB),2, , 
 , , , , , , , , , , , , , ,(นักท่องเที่ยว - NOUN),2, , , , , , , , , , , , , , ,(ใส่ - VERB),2, , 
 , , , , , , , , , , , , , ,(ช่วง - NOUN),2, , , , , , , , , , , , , , ,(รอบๆ - VERB),2, , 
 , , , , , , , , , , , , , ,(หัวเข่า - NOUN),2, , , , , , , , , , , , , , ,(สัมผัส - VERB),2, , 
 , , , , , , , , , , , , , ,(สมาธิ - NOUN),2, , , , , , , , , , , , , , ,(มุมมอง - VERB),2, , 
 , , , , , , , , , , , , , ,(ทำพิธี - NOUN),2, , , , , , , , , , , , , , ,(สวมเสื้อ - VERB),2, , 
 , , , , , , , , , , , , , ,(เกาะ - NOUN),2, , , , , , , , , , , , , , ,(คลุม - VERB),2, , 
 , , , , , , , , , , , , , ,(จำนวน - NOUN),2, , , , , , , , , , , , , , ,(กระโปรง - VERB),2, , 
 , , , , , , , , , , , , , ,(บริเวณ - NOUN),2, , , , , , , , , , , , , , ,(ชม - VERB),2, , 
 , , , , , , , , , , , , , ,(ส่วนลด - NOUN),2, , , , , , , , , , , , , , ,(สะดุดตา - VERB),2, , 
 , , , , , , , , , , , , , ,(รายการ - NOUN),2, , , , , , , , , , , , , , ,(ค่อนข้าง - VERB),2, , 
 , , , , , , , , , , , , , ,(คำ - NOUN),2, , , , , , , , , , , , , , ,(อาจ - VERB),2, , 
 , , , , , , , , , , , , , ,(รายละเอียด - NOUN),2, , , , , , , , , , , , , , ,(ประทับใจ - VERB),2, , 
 , , , , , , , , , , , , , ,(วิว - NOUN),2, , , , , , , , , , , , , , ,(*ควร - VERB),2, , 
 , , , , , , , , , , , , , ,(อาหาร - NOUN),2, , , , , , , , , , , , , , ,(ได้ - VERB),2, , 
 , , , , , , , , , , , , , ,(วิหาร - NOUN),2, , , , , , , , , , , , , , ,(คำอธิบาย - VERB),2, , 
 , , , , , , , , , , , , , ,(ครั้ง - NOUN),2, , , , , , , , , , , , , , ,(ตกแต่ง - VERB),2, , 
 , , , , , , , , , , , , , ,(ชาย - NOUN),2, , , , , , , , , , , , , , ,(นับถือ - VERB),2, , 
 , , , , , , , , , , , , , ,(ชื่นชม - NOUN),2, , , , , , , , , , , , , , ,(ปิด - VERB),2, , 
 , , , , , , , , , , , , , ,(ถ่ายภาพ - NOUN),2, , , , , , , , , , , , , , ,(แต่งตัว - VERB),2, , 
 , , , , , , , , , , , , , ,(ที่ - NOUN),2, , , , , , , , , , , , , , ,(วาง - VERB),2, , 
 , , , , , , , , , , , , , ,(ตา - NOUN),2, , , , , , , , , , , , , , ,(ต้องการ - VERB),2, , 
 , , , , , , , , , , , , , ,(แว่นกันแดด - NOUN),2, , , , , , , , , , , , , , ,(ประกอบ - VERB),2, , 
 , , , , , , , , , , , , , ,(ชื่อเสียง - NOUN),2, , , , , , , , , , , , , , ,(ประหลาดใจ - VERB),2, , 
 , , , , , , , , , , , , , ,(อื่นๆ - NOUN),2, , , , , , , , , , , , , , ,(มอง - VERB),1, , 
 , , , , , , , , , , , , , ,(สีสัน - NOUN),2, , , , , , , , , , , , , , ,(หา - VERB),1, , 
 , , , , , , , , , , , , , ,(หมวก - NOUN),2, , , , , , , , , , , , , , ,(ค้นพบ - VERB),1, , 
 , , , , , , , , , , , , , ,(ความสุข - NOUN),2, , , , , , , , , , , , , , ,(*เสียค่าใช้จ่าย - VERB),1, , 
 , , , , , , , , , , , , , ,(ระเบียบ - NOUN),2, , , , , , , , , , , , , , ,(คนขับ - VERB),1, , 
 , , , , , , , , , , , , , ,(ชีวิต - NOUN),2, , , , , , , , , , , , , , ,(ต้องหา - VERB),1, , 
 , , , , , , , , , , , , , ,(ที่จอดรถ - NOUN),2, , , , , , , , , , , , , , ,(สะอาด - VERB),1, , 
 , , , , , , , , , , , , , ,(ปล่องไฟ - NOUN),2, , , , , , , , , , , , , , ,(เที่ยวเล่น - VERB),1, , 
 , , , , , , , , , , , , , ,(จุด - NOUN),2, , , , , , , , , , , , , , ,(น่ารัก - VERB),1, , 
 , , , , , , , , , , , , , ,(ทัวร์ - NOUN),2, , , , , , , , , , , , , , ,(ยุ่ง - VERB),1, , 
 , , , , , , , , , , , , , ,(ประวัติ - NOUN),2, , , , , , , , , , , , , , ,(ส่งผลกระทบ - VERB),1, , 
 , , , , , , , , , , , , , ,(ขนาด - NOUN),2, , , , , , , , , , , , , , ,(แจก - VERB),1, , 
 , , , , , , , , , , , , , ,(กอง - NOUN),2, , , , , , , , , , , , , , ,(เรียบง่าย - VERB),1, , 
