word,noun,position,range,index
(ดัง - ADJ),(คน - NOUN),right,4,4
(อื่น - ADJ),(ชายหาด - NOUN),right,1,3
(อื่น - ADJ),(หาด - NOUN),left,3,3
(ดี - ADJ),(เวลา - NOUN),left,3,16
(มากมาย - ADJ),(ผู้คน - NOUN),right,1,5
(ย้าย - ADJ),(คน - NOUN),left,3,2
(ดี - ADJ),(สถานที่ - NOUN),right,2,4
(ดี - ADJ),(อาหาร - NOUN),right,2,3
(สกปรก - ADJ),(ชายหาด - NOUN),left,2,3
(สกปรก - ADJ),(น้ำ - NOUN),right,1,3
(น้อย - ADJ),(น้ำ - NOUN),left,2,11
(สกปรก - ADJ),(น้ำ - NOUN),right,1,14
(มาก - ADJ),(คน - NOUN),right,2,3
(น้อย - ADJ),(บริเวณ - NOUN),right,2,11
(ดัง - ADJ),(ถนน - NOUN),left,3,1
(ใหญ่ - ADJ),(ถนน - NOUN),right,1,5
(ส่วนตัว - ADJ),(พื้นที่ - NOUN),right,1,2
