word,noun,position,range,index
(เยอะ - ADJ),(คน - NOUN),right,1,1
(มาก - ADV),(คน - NOUN),right,2,2
(แออัด - VERB),(คน - NOUN),right,4,4
(ที่ผ่านมา - ADJ),(พระอาทิตย์ - NOUN),left,2,5
(ดึง - VERB),(พระอาทิตย์ - NOUN),left,4,3
(ตก - VERB),(พระอาทิตย์ - NOUN),right,1,8
(*แตกต่าง - VERB),(พระอาทิตย์ - NOUN),right,2,9
(ดึง - VERB),(คน - NOUN),left,1,3
(พยายาม - VERB),(คน - NOUN),left,2,2
(ที่ผ่านมา - ADJ),(คน - NOUN),right,1,5
(ตก - VERB),(คน - NOUN),right,4,8
(เปลี่ยน - VERB),(สถานที่ - NOUN),left,2,3
(ผู้ดูแล - VERB),(สถานที่ - NOUN),left,4,1
(ให้ - VERB),(สถานที่ - NOUN),right,1,6
(ถูกต้อง - VERB),(สถานที่ - NOUN),right,2,7
(ถูกต้อง - VERB),(นักท่องเที่ยว - NOUN),left,2,7
(ให้ - VERB),(นักท่องเที่ยว - NOUN),left,3,6
(มาก - ADJ),(นักท่องเที่ยว - NOUN),right,2,11
(ถูกต้อง - VERB),(จำนวน - NOUN),left,3,7
(ให้ - VERB),(จำนวน - NOUN),left,4,6
(มาก - ADJ),(จำนวน - NOUN),right,1,11
