word,tf-idf-pos,tf-idf-neg,tf-idf-val,node-label
(เสียค่าใช้จ่าย - VERB),0.9956130378462474,0,0.9956130378462474,pos
(ปกติ - ADJ),0.6637420252308316,0,0.6637420252308316,pos
(*พร้อม - VERB),0.6637420252308316,0,0.6637420252308316,pos
(ยุ่งยาก - ADJ),0.6637420252308316,0,0.6637420252308316,pos
(สมเหตุสมผล - ADJ),0.4829131657224324,0,0.4829131657224324,pos
(ดัง - ADJ),0.4225490200071284,0,0.4225490200071284,pos
(บ้า - ADJ),0.41920548961947257,0,0.41920548961947257,pos
(ตุ๊กตุ๊ก - VERB),0.398245215138499,0,0.398245215138499,pos
(ช้าง - VERB),0.3318710126154158,0,0.3318710126154158,pos
(กำแพง - VERB),0.3318710126154158,0,0.3318710126154158,pos
(ตะวันออก - VERB),0.3318710126154158,0,0.3318710126154158,pos
(น่าอัศจรรย์ - VERB),0.3318710126154158,0,0.3318710126154158,pos
(ใกล้เคียง - VERB),0.3318710126154158,0,0.3318710126154158,pos
(เปิด - VERB),0.3318710126154158,0,0.3318710126154158,pos
(คล้าย - VERB),0.3318710126154158,0,0.3318710126154158,pos
(ครีม - VERB),0.2844608679560707,0,0.2844608679560707,pos
(ไอศ - VERB),0.2844608679560707,0,0.2844608679560707,pos
(อาหารว่าง - ADJ),0.2844608679560707,0,0.2844608679560707,pos
(น่า - VERB),0.28169934667141894,0,0.28169934667141894,pos
(เงียบสงบ - ADJ),0.28169934667141894,0,0.28169934667141894,pos
(ตรงข้าม - VERB),0.26687306526766,0,0.26687306526766,pos
(*เหมาะ - ADJ),0.24890325946156186,0,0.24890325946156186,pos
(พา - VERB),0.2414565828612162,0,0.2414565828612162,pos
(ประกอบ - VERB),0.22124734174361052,0,0.22124734174361052,pos
(ถ่าย - VERB),0.22124734174361052,0,0.22124734174361052,pos
(ง่าย - ADJ),0.2112745100035642,0,0.2112745100035642,pos
(สงบสุข - VERB),0.1991226075692495,0,0.1991226075692495,pos
(เบื้องหน้า - VERB),0.1991226075692495,0,0.1991226075692495,pos
(ทั่ว - ADJ),0.1991226075692495,0,0.1991226075692495,pos
(เคย - VERB),0.1991226075692495,0,0.1991226075692495,pos
(ไวย์ - VERB),0.1991226075692495,0,0.1991226075692495,pos
(เป็นบ้า - VERB),0.18964057863738046,0,0.18964057863738046,pos
(ร้ายแรง - ADJ),0.18102055233568135,0,0.18102055233568135,pos
