word,noun,position,range,index
(จริง - ADV),(น้ำ - NOUN),right,2,2
(สนุก - ADV),(หาด - NOUN),right,2,8
(สนุก - ADV),(ชาย - NOUN),right,3,8
(มากมาย - ADV),(น้ำ - NOUN),right,1,3
(มากมาย - ADV),(ทาง - NOUN),right,2,3
(มากมาย - ADV),(กิจกรรม - NOUN),right,3,3
(มากมาย - ADV),(ถนน - NOUN),left,2,4
(หลาย - ADV),(ถนน - NOUN),right,1,7
(ไป - ADV),(กิจกรรม - NOUN),left,2,1
(มากมาย - ADV),(กิจกรรม - NOUN),right,1,4
(มากมาย - ADV),(น้ำ - NOUN),right,1,5
(มากมาย - ADV),(ทาง - NOUN),right,2,5
(มากมาย - ADV),(กิจกรรม - NOUN),right,4,5
(มากมาย - ADV),(กีฬา - NOUN),right,3,5
(มากมาย - ADV),(ความ - NOUN),right,2,11
(มากมาย - ADV),(สิ่ง - NOUN),right,4,11
(มากมาย - ADV),(นัก - NOUN),right,2,6
(มาก - ADV),(ความ - NOUN),right,2,9
(ที่สุด - ADV),(ความ - NOUN),right,3,10
(ที่สุด - ADV),(จังหวัดภูเก็ต - NOUN),left,2,10
(มาก - ADV),(จังหวัดภูเก็ต - NOUN),left,3,9
(มาก - ADV),(นิยม - NOUN),right,1,9
(ที่สุด - ADV),(นิยม - NOUN),right,2,10
(แล้ว - ADV),(เดือน - NOUN),right,2,7
(มาก - ADV),(หาด - NOUN),left,4,4
(มาก - ADV),(หาด - NOUN),right,3,11
(มาก - ADV),(ชาย - NOUN),left,3,4
(มาก - ADV),(ชาย - NOUN),right,4,11
(มาก - ADV),(จังหวัดภูเก็ต - NOUN),left,2,11
(มาก - ADV),(ชื่อเสียง - NOUN),right,1,4
(มากมาย - ADV),(กิจกรรม - NOUN),right,1,2
(สนุก - ADV),(น้ำ - NOUN),left,4,3
(สนุก - ADV),(การ - NOUN),left,2,3
(ไป - ADV),(ของ - NOUN),left,3,4
(เกิน - ADV),(การ - NOUN),right,2,11
(จริง - ADV),(การ - NOUN),right,3,12
(ก่อน - ADV),(สถานที่ - NOUN),left,4,3
(มาก - ADV),(ประสบการณ์ - NOUN),right,4,4
(ไป - ADV),(หาด - NOUN),left,4,4
(ไป - ADV),(ชาย - NOUN),left,3,4
(ไป - ADV),(โรง - NOUN),right,2,4
(ไป - ADV),(แรม - NOUN),right,1,4
(มาก - ADV),(ชาย - NOUN),left,4,4
(มาก - ADV),(อาหาร - NOUN),right,3,4
(มาก - ADV),(ร้าน - NOUN),right,4,4
(ไป - ADV),(หาด - NOUN),right,3,4
(ไป - ADV),(ชาย - NOUN),right,4,4
(มาก - ADV),(อากาศ - NOUN),right,2,2
(มาก - ADV),(อากาศ - NOUN),left,1,2
(มากมาย - ADV),(กิจกรรม - NOUN),right,1,1
(มากมาย - ADV),(หาด - NOUN),left,2,3
(มากมาย - ADV),(อาหาร - NOUN),right,1,3
(ที่สุด - ADV),(การ - NOUN),left,2,1
(ไป - ADV),(ทาง - NOUN),right,2,3
(ไป - ADV),(ระยะ - NOUN),right,3,3
(มากมาย - ADV),(ตัว - NOUN),right,3,3
(ไป - ADV),(ร้าน - NOUN),left,2,7
(ไป - ADV),(ค้า - NOUN),left,3,7
(มาก - ADV),(ความ - NOUN),right,2,9
(ที่สุด - ADV),(ความ - NOUN),right,3,10
(ไป - ADV),(สิ่ง - NOUN),left,2,15
(มาก - ADV),(นิยม - NOUN),right,1,9
(ที่สุด - ADV),(นิยม - NOUN),right,2,10
(ที่สุด - ADV),(เกาะ - NOUN),left,2,10
(มาก - ADV),(เกาะ - NOUN),left,3,9
