noun,count
(หาด - NOUN),129
(ชาย - NOUN),109
(น้ำ - NOUN),63
(การ - NOUN),44
(อาหาร - NOUN),36
(ๆ - NOUN),33
(สถานที่ - NOUN),33
(คน - NOUN),24
(ร้าน - NOUN),23
(ทาง - NOUN),21
(ตอง - NOUN),21
(วัน - NOUN),20
(กิจกรรม - NOUN),18
(เวลา - NOUN),18
(ความ - NOUN),18
(เก้าอี้ - NOUN),16
(ตัว - NOUN),15
(เครื่อง - NOUN),15
(ร่ม - NOUN),15
(ถนน - NOUN),14
(พวก - NOUN),14
(บาท - NOUN),14
(ป่า - NOUN),14
(สิ่ง - NOUN),13
(ราคา - NOUN),13
(ชายหาด - NOUN),11
(แดด - NOUN),11
(กีฬา - NOUN),11
(พื้นที่ - NOUN),11
(ประสบการณ์ - NOUN),11
(สะอาด - NOUN),11
(ท้องถิ่น - NOUN),9
(ภูเก็ต - NOUN),9
(ผู้คน - NOUN),9
(ตอน - NOUN),9
(ทะเล - NOUN),8
(ค่า - NOUN),8
(ช่วง - NOUN),8
(จังหวัดภูเก็ต - NOUN),8
(พระอาทิตย์ - NOUN),8
(เรือ - NOUN),8
(แห่ง - NOUN),8
(โรง - NOUN),8
(แรม - NOUN),8
(ภัย - NOUN),8
(คุณ - NOUN),8
(ดื่ม - NOUN),8
(คลื่น - NOUN),7
(นัก - NOUN),7
(น่า - NOUN),7
(ค้า - NOUN),7
(ลูก - NOUN),7
(สิบ - NOUN),7
(ว่าย - NOUN),7
(บริเวณ - NOUN),6
(อาบ - NOUN),6
(อย่า - NOUN),6
(ถนนบางลา - NOUN),6
(ข้าง - NOUN),6
(เพลิดเพลิน - NOUN),6
(บาร์ - NOUN),6
(รอบ - NOUN),6
(รถ - NOUN),6
(อย่าง - NOUN),6
(สงบ - NOUN),6
(แออัด - NOUN),5
(ตลาด - NOUN),5
(เดือน - NOUN),5
(ระยะ - NOUN),5
(ส่วน - NOUN),5
(วิว - NOUN),5
(ผ้า - NOUN),5
(เจ็ทสกี - NOUN),5
(ร้อย - NOUN),5
(สกปรก - NOUN),5
(ครั้ง - NOUN),5
(นั่น - NOUN),4
(เสียง - NOUN),4
(ชื่อเสียง - NOUN),4
(อาทิตย์ - NOUN),4
(พักผ่อน - NOUN),4
(อากาศ - NOUN),4
(เกาะ - NOUN),4
(จุด - NOUN),4
(นาที - NOUN),4
(สี - NOUN),4
(ผลไม้ - NOUN),4
(แปด - NOUN),4
(ผ่อนคลาย - NOUN),4
(ปี - NOUN),4
(ริม - NOUN),4
(รัก - NOUN),4
(ขณะ - NOUN),4
(สระ - NOUN),4
(ขยะ - NOUN),3
(อัศจรรย์ - NOUN),3
(ดวง - NOUN),3
(คืน - NOUN),3
(สถาน - NOUN),3
(บันเทิง - NOUN),3
(พาราเซล - NOUN),3
(เงิน - NOUN),3
(พัก - NOUN),3
(ชีวิต - NOUN),3
(ปาร์ตี้ - NOUN),3
(ข้อ - NOUN),3
(บริการ - NOUN),3
(เช็ด - NOUN),3
(กล้วย - NOUN),3
(ด้าน - NOUN),3
(ชีวิตชีวา - NOUN),3
(มิตร - NOUN),3
(แม้ - NOUN),3
(เตียง - NOUN),3
(ชาว - NOUN),3
(สวยงาม - NOUN),3
(บุหรี่ - NOUN),3
(เด็ก - NOUN),3
(ครอบครัว - NOUN),3
(จำนวน - NOUN),3
(โลก - NOUN),3
(ทราย - NOUN),2
(หยาบคาย - NOUN),2
(ห้า - NOUN),2
(ปัญหา - NOUN),2
(คะแนน - NOUN),2
(กลิ่น - NOUN),2
(พาราร่อน - NOUN),2
(ขี่ - NOUN),2
(เชือก - NOUN),2
(นอก - NOUN),2
(แสง - NOUN),2
(ใช้จ่าย - NOUN),2
(โปรด - NOUN),2
(ชม - NOUN),2
(ธันวาคม - NOUN),2
(เจ้าหน้าที่ - NOUN),2
(เท้า - NOUN),2
(ขนหนู - NOUN),2
(เคบับ - NOUN),2
(ไก่ - NOUN),2
(ทอด - NOUN),2
(หมู่ - NOUN),2
(แว่น - NOUN),2
(เยอะ - NOUN),2
(ฟ้า - NOUN),2
(อบอุ่น - NOUN),2
(อ่าง - NOUN),2
(ขนาด - NOUN),2
(กิโลเมตร - NOUN),2
(ค่ำคืน - NOUN),2
(สบาย - NOUN),2
(ขา - NOUN),2
(บ้าน - NOUN),2
(มากมาย - NOUN),2
(jetski - NOUN),2
(กระโดด - NOUN),2
(ห้อง - NOUN),2
(งาน - NOUN),2
(ยอด - NOUN),2
(ฟรี - NOUN),2
(สมเหตุสมผล - NOUN),2
(สินค้า - NOUN),2
(ฝูง - NOUN),2
(หน้า - NOUN),2
(ชนิด - NOUN),2
(โอกาส - NOUN),2
(นี่ - NOUN),2
(วุ่นวาย - NOUN),2
(เอเชีย - NOUN),2
(เงา - NOUN),2
(เลานจ์ - NOUN),2
(เจ็ด - NOUN),2
(แสน - NOUN),2
(หมื่น - NOUN),2
(มุม - NOUN),2
(เช่า - NOUN),2
(สาว - NOUN),2
(ฤดู - NOUN),2
(เข็น - NOUN),2
(bhats - NOUN),2
(ลอง - NOUN),2
(สนุก - NOUN),1
(หน่อย - NOUN),1
(สาย - NOUN),1
(หยิ่ง - NOUN),1
(ผยอง - NOUN),1
(บางลา - NOUN),1
(ดาว - NOUN),1
(พลาสติก - NOUN),1
(ช้อป - NOUN),1
(เมืองน่า - NOUN),1
(หาดหลัก - NOUN),1
(ตื้น - NOUN),1
(กรณี - NOUN),1
(หาดคารอน - NOUN),1
(เครื่องหมาย - NOUN),1
(มะพร้าว - NOUN),1
(ฟลุต - NOUN),1
(พฤติกรรม - NOUN),1
(สภาพ - NOUN),1
(บาร์ปาร์ตี้ - NOUN),1
(หน้าที่ - NOUN),1
(แผง - NOUN),1
(สกู๊ตเตอร์ - NOUN),1
(มุ้งวอลเลย์ - NOUN),1
(บอล - NOUN),1
(แลก - NOUN),1
(หอ - NOUN),1
(ปลา - NOUN),1
(กลาง - NOUN),1
(สปา - NOUN),1
(เพื่อน - NOUN),1
(โมง - NOUN),1
(นั่ง - NOUN),1
(จาน - NOUN),1
(โรตีแพน - NOUN),1
(นมหวาน - NOUN),1
(ผักบุ้ง - NOUN),1
(กุ้ง - NOUN),1
(หมู - NOUN),1
(ผักจีน - NOUN),1
(ย่าน - NOUN),1
(ช็อปปิ้ง - NOUN),1
(นวด - NOUN),1
(เกรฟฟรุ๊ต - NOUN),1
(cover - NOUN),1
(ups - NOUN),1
(แว่นตา - NOUN),1
(knockoff - NOUN),1
(rayans - NOUN),1
(รา - NOUN),1
(คา - NOUN),1
(เท่า - NOUN),1
(ลืม - NOUN),1
(สวม - NOUN),1
(เมืองบาร์ - NOUN),1
(หาดคา - NOUN),1
(รอน - NOUN),1
(ผับ - NOUN),1
(กะตะกะรน - NOUN),1
(ช้อปปิ้ง - NOUN),1
(เล - NOUN),1
(หมัด - NOUN),1
(ชั่วโมง - NOUN),1
(สวน - NOUN),1
(สาธารณะ - NOUN),1
(โดนัท - NOUN),1
(บล็อก - NOUN),1
(ไมค์ - NOUN),1
(แพ็ค - NOUN),1
(เกจการ - NOUN),1
(พูด - NOUN),1
(เหนียว - NOUN),1
(หาดทราย - NOUN),1
(เยี่ยม - NOUN),1
(เสื่อ - NOUN),1
(ยนต์ - NOUN),1
(จักรยาน - NOUN),1
(กรีด - NOUN),1
(ร้อง - NOUN),1
(ผลักดัน - NOUN),1
(ฝัน - NOUN),1
(แหล่ง - NOUN),1
(บานา - NOUN),1
(ดิน - NOUN),1
(ชน - NOUN),1
(รีสอร์ท - NOUN),1
(รีสอร์ทโนโวเทล - NOUN),1
(ทะเล. - NOUN),1
(ข้อมูล - NOUN),1
(เน็ต - NOUN),1
(ทำเล - NOUN),1
(อร่อย - NOUN),1
(ร่มเงา - NOUN),1
(เจ็ทสกีพาราเซลลิ่ง - NOUN),1
(โอเค - NOUN),1
(นัด - NOUN),1
(เดท - NOUN),1
(ฉาก - NOUN),1
(หิน - NOUN),1
(เจมส์ - NOUN),1
(ปล่อย - NOUN),1
(กระทั่ง - NOUN),1
(บาร์ริมหาด - NOUN),1
(หาง - NOUN),1
(หาดสวรรค์ - NOUN),1
(หาดกะรน - NOUN),1
(กะตะน้ำ - NOUN),1
(นโยบาย - NOUN),1
(ห้าม - NOUN),1
(รสชาติ - NOUN),1
(ไม้ - NOUN),1
(หมึก - NOUN),1
(แพทริค - NOUN),1
(รอย - NOUN),1
(สัก - NOUN),1
(s - NOUN),1
(เนื่อง - NOUN),1
(ประดับ - NOUN),1
(รี - NOUN),1
(คาด - NOUN),1
(คำ - NOUN),1
(ปลอม - NOUN),1
(ร้องเรียน - NOUN),1
(หนาแน่น - NOUN),1
(หัวหิน - NOUN),1
(พัทยา - NOUN),1
(ช้าง - NOUN),1
(ชื่อ - NOUN),1
(หาดกะตง - NOUN),1
(สามหมื่น - NOUN),1
(รองเท้า - NOUN),1
(แตะ - NOUN),1
(เล่น - NOUN),1
(พริบตา - NOUN),1
(ใบ - NOUN),1
(ช่าง - NOUN),1
(บรรยากาศ - NOUN),1
(มหัศจรรย์ - NOUN),1
(คลับ - NOUN),1
(ฝัก - NOUN),1
(บัว - NOUN),1
(ห้องน้ำ - NOUN),1
(ทะเลอันดามัน - NOUN),1
(skidoos - NOUN),1
(ว่าว - NOUN),1
(คริสต์มาส - NOUN),1
(เก้า - NOUN),1
(แผน - NOUN),1
(ต้น - NOUN),1
(ตุลาคม - NOUN),1
(กาแฟ - NOUN),1
(สัปดาห์ - NOUN),1
(จอห์น - NOUN),1
(เงียบ - NOUN),1
(แล่น - NOUN),1
(รับประทาน - NOUN),1
(เจ็ทสกีพาราเซล - NOUN),1
(ลิง - NOUN),1
(ลาก - NOUN),1
