word,noun,position,range,index
(กว่า - ADV),(สถานที่ - NOUN),right,3,13
(เพิ่มเติม - ADV),(ศาสนา - NOUN),left,2,3
(ส่วนตัว - ADJ),(คุณ - NOUN),left,2,13
(เดียว - ADJ),(การ - NOUN),right,3,8
(เดียว - ADJ),(วัน - NOUN),right,1,8
(ดี - ADV),(การ - NOUN),right,3,4
(ใหญ่ - ADJ),(พระพุทธรูป - NOUN),right,2,5
(ได้ - ADV),(พระพุทธรูป - NOUN),right,3,6
(ใหญ่ - ADJ),(องค์ - NOUN),right,1,5
(ได้ - ADV),(องค์ - NOUN),right,2,6
(โปรด - ADJ),(ราคา - NOUN),right,1,1
(มาก - ADV),(วัด - NOUN),right,4,4
(ก่อน - ADV),(วัด - NOUN),left,2,5
(ก่อน - ADV),(รองเท้า - NOUN),right,1,5
(อย่างไร - ADV),(เกอร์ - NOUN),right,4,14
(มาก - ADV),(เวลา - NOUN),right,3,3
(สวยงาม - ADJ),(วัด - NOUN),right,2,2
(สวยงาม - ADJ),(วัด - NOUN),right,2,5
(หลาย - ADV),(วัด - NOUN),right,3,6
(ภายนอก - ADJ),(การ - NOUN),right,4,22
(หลาย - ADV),(แห่ง - NOUN),left,1,6
(สวยงาม - ADJ),(แห่ง - NOUN),left,2,5
(ดี - ADJ),(แห่ง - NOUN),right,4,11
(*มาก - ADV),(นักท่องเที่ยว - NOUN),right,1,2
(นัก - ADV),(นักท่องเที่ยว - NOUN),right,2,3
(ใหญ่ - ADJ),(วัด - NOUN),right,2,7
(ที่สุด - ADV),(วัด - NOUN),right,3,8
(บาง - ADV),(คน - NOUN),left,1,2
(กว่า - ADV),(เสื้อผ้า - NOUN),left,4,1
(หลัก - ADJ),(ของวัด - NOUN),right,1,4
(งดงาม - ADJ),(ของวัด - NOUN),right,3,6
(สวยงาม - ADV),(วัด - NOUN),right,3,3
(เป็นอย่างดี - ADV),(การ - NOUN),right,2,4
(ใหญ่ - ADJ),(วัด - NOUN),right,2,4
(ที่สุด - ADV),(วัด - NOUN),right,3,5
(อยู่ - ADV),(พื้นที่ - NOUN),left,2,1
(ฉลอง - ADJ),(พื้นที่ - NOUN),right,1,4
(ฉลอง - ADJ),(นักท่องเที่ยว - NOUN),left,3,4
(มาก - ADJ),(นักท่องเที่ยว - NOUN),right,2,9
(ทุก - ADV),(นักท่องเที่ยว - NOUN),right,3,10
(ฉลอง - ADJ),(จำนวน - NOUN),left,4,4
(มาก - ADJ),(จำนวน - NOUN),right,1,9
(ทุก - ADV),(จำนวน - NOUN),right,2,10
(ทุก - ADV),(วัน - NOUN),left,1,10
(มาก - ADJ),(วัน - NOUN),left,2,9
(ใหญ่ - ADJ),(พระพุทธรูป - NOUN),right,2,9
(ใหญ่ - ADJ),(องค์ - NOUN),right,1,9
(เย็น - ADJ),(คุณ - NOUN),right,4,11
(มาก - ADV),(นักท่องเที่ยว - NOUN),right,4,8
(ทันที - ADV),(คุณ - NOUN),left,2,19
(บาง - ADV),(คุณ - NOUN),right,2,23
(บาง - ADV),(แห่ง - NOUN),left,1,13
(บาง - ADV),(คน - NOUN),left,1,27
(บาง - ADV),(ราคา - NOUN),right,4,13
(บาง - ADV),(อย่าง - NOUN),left,1,23
(บาง - ADV),(อย่าง - NOUN),right,3,27
(แน่นอน - ADV),(การ - NOUN),right,4,6
(ด้วย - ADV),(วัด - NOUN),right,3,4
(สามชั้น - ADV),(วัด - NOUN),right,4,5
(อีก - ADV),(วัด - NOUN),left,1,0
(ตรงข้าม - ADV),(วัด - NOUN),right,3,4
